time;prec;;;;;;;;;;;;;
30/06/2008;null;;;;;time;n;n_barr;n-n_barr;m_barr;m_barr - n_barr;n-n_barr/m_barr - n_barr;*3;
31/07/2008;26,8;;;;;2008;756,2;1114,328571;-358,1285714;1652,266667;537,9380952;-0,665743093;-1,997229279;seco
31/08/2008;204,4;;;;;2009;1643;1114,328571;528,6714286;;537,9380952;0,98277373;2,948321191;muito chuvoso
30/09/2008;77,8;;;;;2010;766,8;1114,328571;-347,5285714;;537,9380952;-0,646038224;-1,938114671;seco
31/10/2008;171,6;;;;;2011;921,6;1114,328571;-192,7285714;;537,9380952;-0,35827277;-1,07481831;seco
30/11/2008;203;;;;;2012;1506;1114,328571;391,6714286;;537,9380952;0,728097586;2,184292758;muito chuvoso
31/12/2008;72,6;;;;;2013;1243,6;1114,328571;129,2714286;;537,9380952;0,240309117;0,72092735;chuvoso
31/01/2009;203;;;;;2014;833,2;1114,328571;-281,1285714;;537,9380952;-0,522603946;-1,567811839;seco
28/02/2009;131,2;;;;;2015;2199,6;1114,328571;1085,271429;;537,9380952;2,017465277;6,052395832;extremamente chuvoso
31/03/2009;44;;;;;2016;2004,8;1114,328571;890,4714286;;537,9380952;1,655341825;4,966025476;extremamente chuvoso
30/04/2009;22;;;;;2017;1718,8;1114,328571;604,4714286;;537,9380952;1,123682137;3,371046412;muito chuvoso
31/05/2009;264,4;;;;;2018;1103,8;1114,328571;-10,52857143;;537,9380952;-0,019572087;-0,058716262;seco
30/06/2009;59,8;;;;;2019;903,2;1114,328571;-211,1285714;;537,9380952;-0,392477449;-1,177432347;seco
31/07/2009;107,6;;;;dados faltantes;2020;0;1114,328571;-1114,328571;;537,9380952;-2,071481052;-6,214443156;extremamente seco
31/08/2009;78,4;;;;dados faltantes;2021;0;1114,328571;-1114,328571;;537,9380952;-2,071481052;-6,214443156;extremamente seco
30/09/2009;135,2;;;;;;;;;;;;;
31/10/2009;192,6;;;;;;;;;;;;;
30/11/2009;173,2;;;;;;;;;;;;;
31/12/2009;231,6;;;;;;;;;;;;;
31/01/2010;225,4;;;;;;;;;;;;;
28/02/2010;160,4;;;;;;;;;;;;;
31/03/2010;127;;;;;;;;;;;;;
30/04/2010;87,4;;;;;;;;;;;;;
31/05/2010;124,8;;;;;;;;;;;;;
30/06/2010;41,8;;;;;;;;;;;;;
31/07/2010;null;;;;;;;;;;;;;
31/08/2010;null;;;;;;;;;;;;;
30/09/2010;null;;;;;;;;;;;;;
