time;prec;;;;;;;;;;;;
30/09/2008;null;;;;time;n;n_barr;n-n_barr;m_barr;m_barr - n_barr;n-n_barr/m_barr - n_barr;*3;
31/10/2008;95,6;;;;2008;361,6;762,0428571;-400,4428571;1275,7;513,6571429;-0,779591723;-2,33877517;muito seco
30/11/2008;147,4;;;;2009;1425;762,0428571;662,9571429;;513,6571429;1,290660808;3,871982423;muito chuvoso
31/12/2008;118,6;;;;2010;886,4;762,0428571;124,3571429;;513,6571429;0,242101457;0,726304372;chuvoso
31/01/2009;211;;;;2011;362,6;762,0428571;-399,4428571;;513,6571429;-0,777644899;-2,332934698;muito seco
28/02/2009;92,4;;;;2012;1334,4;762,0428571;572,3571429;;513,6571429;1,114278563;3,342835688;muito chuvoso
31/03/2009;225;;;;2013;1644,8;762,0428571;882,7571429;;513,6571429;1,7185727;5,1557181;extremamente chuvoso
30/04/2009;3,2;;;;2014;1280,8;762,0428571;518,7571429;;513,6571429;1,009928802;3,029786406;muito chuvoso
31/05/2009;62,6;;;;2015;112,4;762,0428571;-649,6428571;;513,6571429;-1,264740238;-3,794220714;muito seco
30/06/2009;78,8;;;;2016;707,2;762,0428571;-54,84285714;;513,6571429;-0,106769385;-0,320308154;seco
31/07/2009;90;;;;2017;1082,8;762,0428571;320,7571429;;513,6571429;0,62445767;1,873373011;chuvoso
31/08/2009;134;;;;2018;410,6;762,0428571;-351,4428571;;513,6571429;-0,684197352;-2,052592057;muito seco
30/09/2009;121,4;;;;2019;637,8;762,0428571;-124,2428571;;513,6571429;-0,241878963;-0,72563689;seco
31/10/2009;142,4;;;;2020;422,2;762,0428571;-339,8428571;;513,6571429;-0,661614195;-1,984842585;seco
30/11/2009;94,8;;;dados faltantes;2021;0;762,0428571;-762,0428571;;513,6571429;-1,483563244;-4,450689732;extremamente seco
31/12/2009;169,4;;;;;;;;;;;;
31/01/2010;297,4;;;;;;;;;;;;
28/02/2010;122,2;;;;;;;;;;;;
31/03/2010;178;;;;;;;;;;;;
30/04/2010;103,2;;;;;;;;;;;;
31/05/2010;46,6;;;;;;;;;;;;
30/06/2010;10,8;;;;;;;;;;;;
31/07/2010;13,4;;;;;;;;;;;;
31/08/2010;7,8;;;;;;;;;;;;
30/09/2010;59,4;;;;;;;;;;;;
31/10/2010;47,6;;;;;;;;;;;;
30/11/2010;0;;;;;;;;;;;;
