time;prec;;;;;;;;;;;;
30/11/2012;null;;;;time;n;n_barr;n-n_barr;m_barr;m_barr - n_barr;n-n_barr/m_barr - n_barr;*3;
31/12/2012;130,6;;;;2013;1362,4;827,8222222;534,5777778;1457;629,1777778;0,849645039;2,548935118;muito chuvoso
31/01/2013;215,8;;;;2014;1763,4;827,8222222;935,5777778;;-827,8222222;-1,130167508;-3,390502523;muito seco
28/02/2013;265,4;;;;2015;1315,8;827,8222222;487,9777778;;-827,8222222;-0,589471706;-1,768415119;seco
31/03/2013;183,2;;;;2016;396,8;827,8222222;-431,0222222;;-827,8222222;0,520670031;1,562010093;chuvoso
30/04/2013;45,6;;;;2017;270,4;827,8222222;-557,4222222;;-827,8222222;0,67335982;2,020079459;muito chuvo 
31/05/2013;24,4;;;;2018;1386,4;827,8222222;558,5777778;;-827,8222222;-0,674755718;-2,024267153;muito seco
30/06/2013;73;;;;2019;948,6;827,8222222;120,7777778;;-827,8222222;-0,145898207;-0,43769462;seco
31/07/2013;25,4;;;falta de dados;2020;6,6;827,8222222;-821,2222222;;-827,8222222;0,992027274;2,976081821;chuvoso
31/08/2013;0;;;falta de dados;2021;0;827,8222222;-827,8222222;;-827,8222222;1;3;muito chuvoso
30/09/2013;52,2;;;;;;;;;;;;
31/10/2013;119,4;;;;;;;;;;;;
30/11/2013;175,8;;;;;;;;;;;;
31/12/2013;182,2;;;;;;;;;;;;
31/01/2014;190,8;;;;;;;;;;;;
28/02/2014;269;;;;;;;;;;;;
31/03/2014;283;;;;;;;;;;;;
30/04/2014;88,4;;;;;;;;;;;;
31/05/2014;72,2;;;;;;;;;;;;
30/06/2014;18,6;;;;;;;;;;;;
31/07/2014;140;;;;;;;;;;;;
31/08/2014;0,2;;;;;;;;;;;;
30/09/2014;46,8;;;;;;;;;;;;
31/10/2014;82;;;;;;;;;;;;
30/11/2014;218;;;;;;;;;;;;
31/12/2014;354,4;;;;;;;;;;;;
31/01/2015;184,8;;;;;;;;;;;;
28/02/2015;178,4;;;;;;;;;;;;
31/03/2015;233,4;;;;;;;;;;;;
30/04/2015;197;;;;;;;;;;;;
31/05/2015;101,4;;;;;;;;;;;;
30/06/2015;14,6;;;;;;;;;;;;
31/07/2015;9;;;;;;;;;;;;
31/08/2015;19;;;;;;;;;;;;
30/09/2015;null;;;;;;;;;;;;
31/10/2015;127,8;;;;;;;;;;;;
30/11/2015;141,6;;;;;;;;;;;;
31/12/2015;108,8;;;;;;;;;;;;
31/01/2016;259,8;;;;;;;;;;;;
29/02/2016;null;;;;;;;;;;;;
31/03/2016;77,6;;;;;;;;;;;;
30/04/2016;58;;;;;;;;;;;;
31/05/2016;1,2;;;;;;;;;;;;
30/06/2016;0;;;;;;;;;;;;
31/07/2016;0;;;;;;;;;;;;
31/08/2016;0,2;;;;;;;;;;;;
30/09/2016;null;;;;;;;;;;;;
31/10/2016;null;;;;;;;;;;;;
30/11/2016;null;;;;;;;;;;;;
31/12/2016;null;;;;;;;;;;;;
31/01/2017;null;;;;;;;;;;;;
28/02/2017;null;;;;;;;;;;;;
31/03/2017;null;;;;;;;;;;;;
30/04/2017;null;;;;;;;;;;;;
31/05/2017;55,6;;;;;;;;;;;;
