time;prec;;;;;;;;;;;;
30/09/2001;null;;;;time;n;n_barr;n-n_barr;m_barr;m_barr - n_barr;n-n_barr/m_barr - n_barr;*3;
31/10/2001;100;;;;2001;309,6;1148,942857;-839,3428571;1537,16;388,2171429;-2,162044806;-6,486134417;extremamente seco
30/11/2001;null;;;;2002;218,8;;-930,1428571;;;-2,395934529;-7,187803586;extremamente seco
31/12/2001;209,6;;;;2003;470,2;;-678,7428571;;;-1,748358798;-5,245076393;extremamente seco
31/01/2002;null;;;;2004;1256,6;;107,6571429;;;0,277311667;0,831935;chuvoso
28/02/2002;null;;;;2005;604,4;;-544,5428571;;;-1,402675969;-4,208027908;extremamente seco
31/03/2002;99,2;;;;2006;951,6;;-197,3428571;;;-0,508331125;-1,524993376;seco
30/04/2002;48,2;;;;2007;1291,2;;142,2571429;;;0,366437046;1,099311137;chuvoso
31/05/2002;71,4;;;;2008;1293,2;;144,2571429;;;0,371588802;1,114766405;chuvoso
30/06/2002;null;;;;2009;1683,8;;534,8571429;;;1,377726751;4,133180253;extremamente chuvoso
31/07/2002;null;;;;2010;1025,4;;-123,5428571;;;-0,318231329;-0,954693986;seco
31/08/2002;null;;;;2011;602,2;;-546,7428571;;;-1,408342901;-4,225028703;extremamente seco
30/09/2002;null;;;;2012;1693,2;;544,2571429;;;1,401940004;4,205820012;extremamente chuvoso
31/10/2002;null;;;;2013;1735,2;;586,2571429;;;1,51012688;4,530380641;extremamente chuvoso
30/11/2002;null;;;;2014;1529,6;;380,6571429;;;0,980526362;2,941579087;muito chuvoso
31/12/2002;null;;;;2015;1508,4;;359,4571429;;;0,925917749;2,777753246;muito chuvoso
31/01/2003;null;;;;2016;1569,4;;420,4571429;;;1,083046307;3,249138921;muito chuvoso
28/02/2003;null;;;;2017;1720;;571,0571429;;;1,470973535;4,412920604;extremamente chuvoso
31/03/2003;null;;;;2018;876;;-272,9428571;;;-0,703067503;-2,109202508;muito seco
30/04/2003;139,2;;;;2019;1234,6;;85,65714286;;;0,22064235;0,661927051;chuvoso
31/05/2003;62,2;;;;2020;1206,8;;57,85714286;;;0,149032942;0,447098825;chuvoso
30/06/2003;30,6;;;;2021;1347,6;;198,6571429;;;0,511716565;1,535149695;chuvoso
31/07/2003;22,8;;;;;;;;;;;;
31/08/2003;103,8;;;;;;;;;;;;
30/09/2003;null;;;;;;;;;;;;
31/10/2003;null;;;;;;;;;;;;
30/11/2003;null;;;;;;;;;;;;
31/12/2003;111,6;;;;;;;;;;;;
31/01/2004;58,8;;;;;;;;;;;;
29/02/2004;103,2;;;;;;;;;;;;
31/03/2004;59,4;;;;;;;;;;;;
30/04/2004;146,8;;;;;;;;;;;;
31/05/2004;167;;;;;;;;;;;;
30/06/2004;83;;;;;;;;;;;;
31/07/2004;54,6;;;;;;;;;;;;
31/08/2004;0;;;;;;;;;;;;
30/09/2004;42;;;;;;;;;;;;
