time;prec;;;;;;;;;;;
31/12/2006;null;;;time;n;n_barr;n-n_barr;m_barr;m_barr - n_barr;n-n_barr/m_barr - n_barr;*3;
31/01/2007;249;;;2007;484,4;674,3066667;-189,9066667;1112,885714;438,5790476;-0,433004421;-1,299013264;seco
28/02/2007;64;;;2008;377,2;;-297,1066667;;;-0,677430142;-2,032290427;muito seco
31/03/2007;28;;;2009;263,6;;-410,7066667;;;-0,936448444;-2,809345332;muito seco
30/04/2007;31;;;2010;27,8;;-646,5066667;;;-1,474093827;-4,42228148;extremamente seco
31/05/2007;2,4;;;2011;525,2;;-149,1066667;;;-0,339976721;-1,019930164;seco
30/06/2007;0;;;2012;1635,2;;960,8933333;;;2,190923936;6,572771809;extremamente chuvoso
31/07/2007;5,4;;;2013;681,8;;7,493333333;;;0,01708548;0,051256439;chuvoso
31/08/2007;0;;;2014;1028;;353,6933333;;;0,806452874;2,419358621;muito chuvoso
30/09/2007;0;;;2015;1717;;1042,693333;;;2,377435354;7,132306062;extremamente chuvoso
31/10/2007;25,6;;;2016;703,2;;28,89333333;;;0,06587942;0,19763826;chuvoso
30/11/2007;36,8;;;2017;570;;-104,3066667;;;-0,237828659;-0,713485976;seco
31/12/2007;42,2;;;2018;599,4;;-74,90666667;;;-0,170793993;-0,512381978;seco
31/01/2008;61,4;;;2019;1425,6;;751,2933333;;;1,713016929;5,139050787;extremamente chuvoso
29/02/2008;89,2;;;2020;76,2;;-598,1066667;;;-1,363737438;-4,091212313;extremamente seco
31/03/2008;87;;;2021;0;;-674,3066667;;;-1,537480348;-4,612441043;extremamente seco
30/04/2008;94,8;;;;;;;;;;;
31/05/2008;27,6;;;;;;;;;;;
30/06/2008;1;;;;;;;;;;;
31/07/2008;0;;;;;;;;;;;
31/08/2008;3;;;;;;;;;;;
30/09/2008;13,2;;;;;;;;;;;
31/10/2008;null;;;;;;;;;;;
30/11/2008;null;;;;;;;;;;;
31/12/2008;null;;;;;;;;;;;
31/01/2009;null;;;;;;;;;;;
28/02/2009;null;;;;;;;;;;;
31/03/2009;203,2;;;;;;;;;;;
30/04/2009;2,2;;;;;;;;;;;
31/05/2009;13,6;;;;;;;;;;;
30/06/2009;10;;;;;;;;;;;
31/07/2009;0,4;;;;;;;;;;;
31/08/2009;34,2;;;;;;;;;;;
30/09/2009;null;;;;;;;;;;;
31/10/2009;null;;;;;;;;;;;
30/11/2009;null;;;;;;;;;;;
31/12/2009;null;;;;;;;;;;;
31/01/2010;null;;;;;;;;;;;
28/02/2010;null;;;;;;;;;;;
31/03/2010;null;;;;;;;;;;;
30/04/2010;null;;;;;;;;;;;
31/05/2010;16,8;;;;;;;;;;;
30/06/2010;0,8;;;;;;;;;;;
31/07/2010;1,4;;;;;;;;;;;
31/08/2010;3,4;;;;;;;;;;;
30/09/2010;5,4;;;;;;;;;;;
31/10/2010;null;;;;;;;;;;;
30/11/2010;null;;;;;;;;;;;
31/12/2010;null;;;;;;;;;;;
31/01/2011;null;;;;;;;;;;;
28/02/2011;null;;;;;;;;;;;
31/03/2011;null;;;;;;;;;;;
30/04/2011;65,8;;;;;;;;;;;
31/05/2011;28,8;;;;;;;;;;;
30/06/2011;23,8;;;;;;;;;;;
31/07/2011;0;;;;;;;;;;;
31/08/2011;6,6;;;;;;;;;;;
30/09/2011;11;;;;;;;;;;;
31/10/2011;161;;;;;;;;;;;
30/11/2011;91;;;;;;;;;;;
31/12/2011;137,2;;;;;;;;;;;
31/01/2012;370,8;;;;;;;;;;;
29/02/2012;286,6;;;;;;;;;;;
31/03/2012;217,6;;;;;;;;;;;
30/04/2012;194,6;;;;;;;;;;;
31/05/2012;157,4;;;;;;;;;;;
30/06/2012;81,6;;;;;;;;;;;
31/07/2012;5,8;;;;;;;;;;;
31/08/2012;0;;;;;;;;;;;
30/09/2012;50,4;;;;;;;;;;;
31/10/2012;41,8;;;;;;;;;;;
30/11/2012;125,6;;;;;;;;;;;
31/12/2012;103;;;;;;;;;;;
31/01/2013;166;;;;;;;;;;;
28/02/2013;47;;;;;;;;;;;
31/03/2013;27,4;;;;;;;;;;;
30/04/2013;24;;;;;;;;;;;
31/05/2013;null;;;;;;;;;;;
30/06/2013;81,6;;;;;;;;;;;
31/07/2013;2,6;;;;;;;;;;;
31/08/2013;0,2;;;;;;;;;;;
30/09/2013;5;;;;;;;;;;;
31/10/2013;106,6;;;;;;;;;;;
30/11/2013;106;;;;;;;;;;;
31/12/2013;115,4;;;;;;;;;;;
31/01/2014;170,4;;;;;;;;;;;
28/02/2014;147,2;;;;;;;;;;;
31/03/2014;319;;;;;;;;;;;
30/04/2014;37,6;;;;;;;;;;;
31/05/2014;1,6;;;;;;;;;;;
30/06/2014;14;;;;;;;;;;;
31/07/2014;117,6;;;;;;;;;;;
31/08/2014;0;;;;;;;;;;;
30/09/2014;59,6;;;;;;;;;;;
31/10/2014;13,2;;;;;;;;;;;
30/11/2014;42,8;;;;;;;;;;;
31/12/2014;105;;;;;;;;;;;
31/01/2015;97,8;;;;;;;;;;;
28/02/2015;195,4;;;;;;;;;;;
31/03/2015;292,8;;;;;;;;;;;
30/04/2015;226,4;;;;;;;;;;;
31/05/2015;93,8;;;;;;;;;;;
30/06/2015;9,8;;;;;;;;;;;
31/07/2015;20,8;;;;;;;;;;;
31/08/2015;11;;;;;;;;;;;
30/09/2015;73,4;;;;;;;;;;;
31/10/2015;99,8;;;;;;;;;;;
30/11/2015;295,2;;;;;;;;;;;
31/12/2015;300,8;;;;;;;;;;;
31/01/2016;249,2;;;;;;;;;;;
29/02/2016;168,8;;;;;;;;;;;
31/03/2016;28;;;;;;;;;;;
30/04/2016;85;;;;;;;;;;;
31/05/2016;29,4;;;;;;;;;;;
30/06/2016;null;;;;;;;;;;;
31/07/2016;null;;;;;;;;;;;
31/08/2016;null;;;;;;;;;;;
30/09/2016;12,8;;;;;;;;;;;
31/10/2016;17,6;;;;;;;;;;;
30/11/2016;58;;;;;;;;;;;
31/12/2016;54,4;;;;;;;;;;;
31/01/2017;null;;;;;;;;;;;
28/02/2017;83,6;;;;;;;;;;;
31/03/2017;null;;;;;;;;;;;
30/04/2017;null;;;;;;;;;;;
31/05/2017;null;;;;;;;;;;;
30/06/2017;null;;;;;;;;;;;
31/07/2017;null;;;;;;;;;;;
31/08/2017;null;;;;;;;;;;;
30/09/2017;null;;;;;;;;;;;
31/10/2017;63,2;;;;;;;;;;;
30/11/2017;134;;;;;;;;;;;
31/12/2017;289,2;;;;;;;;;;;
31/01/2018;49;;;;;;;;;;;
28/02/2018;97;;;;;;;;;;;
31/03/2018;null;;;;;;;;;;;
30/04/2018;null;;;;;;;;;;;
