time;prec;;;;;;;;;;;;
31/10/2006;null;;;;time;n;n_barr;n-n_barr;m_barr;m_barr - n_barr;n-n_barr/m_barr - n_barr;*3;
30/11/2006;250,6;;;;2006;495,6;648,6625;-153,0625;1052,057143;403,3946429;-0,379436125;-1,138308374;seco
31/12/2006;245;;;;2007;918,4;;269,7375;;403,3946429;0,668669019;2,006007056;chuvoso
31/01/2007;213,8;;;;2008;988,4;;339,7375;;403,3946429;0,84219636;2,526589081;muito chuvoso 
28/02/2007;87,2;;;;2009;320,6;;-328,0625;;403,3946429;-0,813254479;-2,439763436;muito seco 
31/03/2007;65,6;;;;2010;210,4;;-438,2625;;403,3946429;-1,086436094;-3,259308281;muito seco 
30/04/2007;23,8;;;;2011;1319,2;;670,5375;;403,3946429;1,662236998;4,986710993;extremamente chuvoso
31/05/2007;91;;;;2012;929,8;;281,1375;;403,3946429;0,696929186;2,090787557;chuvoso
30/06/2007;0;;;;2013;1079,8;;431,1375;;403,3946429;1,068773489;3,206320468;muito chuvoso 
31/07/2007;17;;;;2014;1392;;743,3375;;403,3946429;1,842705433;5,528116299;extremamente chuvoso
31/08/2007;2,2;;;;2015;736,8;;88,1375;;403,3946429;0,218489515;0,655468546;seco
30/09/2007;0,2;;;;2016;519,4;;-129,2625;;403,3946429;-0,320436829;-0,961310486;seco
31/10/2007;154;;;;2017;106,8;;-541,8625;;403,3946429;-1,343256559;-4,029769678;extremamente seco 
30/11/2007;117;;;;2018;0;;-648,6625;;403,3946429;-1,608009703;-4,82402911;extremamente seco 
31/12/2007;146,6;;;;2019;451;;-197,6625;;403,3946429;-0,489997831;-1,469993493;seco
31/01/2008;226,8;;;;2020;721,4;;72,7375;;403,3946429;0,1803135;0,5409405;chuvoso
29/02/2008;209,8;;;;2021;189;;-459,6625;;403,3946429;-1,139485881;-3,418457643;muito seco 
31/03/2008;95,4;;;;;;;;;;;;
30/04/2008;48,8;;;;;;;;;;;;
