time;prec;;;;;;;;;;;;
30/09/2001;null;;;;time;n;n_barr;n-n_barr;m_barr;m_barr - n_barr;n-n_barr/m_barr - n_barr;*3;
31/10/2001;null;;;;2001;453,4;1211;-757,6;1574,06;363,06;-2,086707431;-6,260122294;extremamente seco
30/11/2001;210,4;;;;2002;818,4;;-392,6;;;-1,081363962;-3,244091886;muito seco
31/12/2001;243;;;;2003;0;;-1211;;;-3,335536826;-10,00661048;extremamente seco
31/01/2002;98,4;;;;2004;0;;-1211;;;-3,335536826;-10,00661048;extremamente seco
28/02/2002;240,2;;;;2005;0;;-1211;;;-3,335536826;-10,00661048;extremamente seco
31/03/2002;68,2;;;;2006;1216;;5;;;0,013771828;0,041315485;chuvoso
30/04/2002;41,8;;;;2007;1663,2;;452,2;;;1,245524156;3,736572467;muito chuvoso
31/05/2002;306;;;;2008;1650,2;;439,2;;;1,209717402;3,629152206;muito chuvoso
30/06/2002;null;;;;2009;1662,2;;451,2;;;1,24276979;3,72830937;muito chuvoso
31/07/2002;30;;;;2010;1745,2;;534,2;;;1,471382141;4,414146422;extremamente chuvoso
31/08/2002;16,6;;;;2011;1125,2;;-85,8;;;-0,236324574;-0,708973723;seco
30/09/2002;17,2;;;;2012;800;;-411;;;-1,13204429;-3,396132871;seco
31/10/2002;null;;;;2013;1726,4;;515,4;;;1,419600066;4,258800198;extremamente chuvoso
30/11/2002;null;;;;2014;1930;;719;;;1,980388916;5,941166749;extremamente chuvoso
31/12/2002;null;;;;2015;2473;;1262;;;3,476009475;10,42802843;extremamente chuvoso
31/01/2003;null;;;;2016;1995,4;;784,4;;;2,160524431;6,481573294;extremamente chuvoso
28/02/2003;null;;;;2017;1697,4;;486,4;;;1,339723462;4,019170385;extremamente chuvoso
31/03/2003;null;;;;2018;1670,2;;459,2;;;1,264804715;3,794414146;muito chuvoso
30/04/2003;null;;;;2019;1640,8;;429,8;;;1,183826365;3,551479094;muito chuvoso
31/05/2003;null;;;;2020;1021,2;;-189,8;;;-0,522778604;-1,568335812;seco
30/06/2003;null;;;;2021;142,8;;-1068,2;;;-2,942213408;-8,826640225;extremamente seco
31/07/2003;null;;;;;;;;;;;;
31/08/2003;null;;;;;;;;;;;;
30/09/2003;null;;;;;;;;;;;;
31/10/2003;null;;;;;;;;;;;;
30/11/2003;null;;;;;;;;;;;;
31/12/2003;null;;;;;;;;;;;;
31/01/2004;null;;;;;;;;;;;;
29/02/2004;null;;;;;;;;;;;;
31/03/2004;null;;;;;;;;;;;;
30/04/2004;null;;;;;;;;;;;;
31/05/2004;null;;;;;;;;;;;;
30/06/2004;null;;;;;;;;;;;;
31/07/2004;null;;;;;;;;;;;;
31/08/2004;null;;;;;;;;;;;;
30/09/2004;null;;;;;;;;;;;;
31/10/2004;null;;;;;;;;;;;;
30/11/2004;null;;;;;;;;;;;;
31/12/2004;null;;;;;;;;;;;;
31/01/2005;null;;;;;;;;;;;;
28/02/2005;null;;;;;;;;;;;;
31/03/2005;null;;;;;;;;;;;;
30/04/2005;null;;;;;;;;;;;;
31/05/2005;null;;;;;;;;;;;;
30/06/2005;null;;;;;;;;;;;;
31/07/2005;null;;;;;;;;;;;;
31/08/2005;null;;;;;;;;;;;;
30/09/2005;null;;;;;;;;;;;;
31/10/2005;null;;;;;;;;;;;;
30/11/2005;null;;;;;;;;;;;;
31/12/2005;null;;;;;;;;;;;;
31/01/2006;206;;;;;;;;;;;;
28/02/2006;null;;;;;;;;;;;;
31/03/2006;205,4;;;;;;;;;;;;
30/04/2006;null;;;;;;;;;;;;
31/05/2006;null;;;;;;;;;;;;
30/06/2006;75,2;;;;;;;;;;;;
31/07/2006;64,2;;;;;;;;;;;;
31/08/2006;52;;;;;;;;;;;;
30/09/2006;116,4;;;;;;;;;;;;
31/10/2006;112,4;;;;;;;;;;;;
30/11/2006;115;;;;;;;;;;;;
31/12/2006;269,4;;;;;;;;;;;;
31/01/2007;426,2;;;;;;;;;;;;
28/02/2007;408;;;;;;;;;;;;
31/03/2007;92,6;;;;;;;;;;;;
30/04/2007;121,8;;;;;;;;;;;;
31/05/2007;71;;;;;;;;;;;;
30/06/2007;7,2;;;;;;;;;;;;
31/07/2007;41;;;;;;;;;;;;
31/08/2007;58,4;;;;;;;;;;;;
30/09/2007;2,8;;;;;;;;;;;;
31/10/2007;64,6;;;;;;;;;;;;
30/11/2007;251,2;;;;;;;;;;;;
31/12/2007;118,4;;;;;;;;;;;;
31/01/2008;305,2;;;;;;;;;;;;
29/02/2008;439,8;;;;;;;;;;;;
31/03/2008;41,2;;;;;;;;;;;;
30/04/2008;68,2;;;;;;;;;;;;
31/05/2008;85;;;;;;;;;;;;
30/06/2008;41,6;;;;;;;;;;;;
31/07/2008;21;;;;;;;;;;;;
31/08/2008;140,8;;;;;;;;;;;;
30/09/2008;25,6;;;;;;;;;;;;
31/10/2008;108,6;;;;;;;;;;;;
30/11/2008;278,8;;;;;;;;;;;;
31/12/2008;94,4;;;;;;;;;;;;
31/01/2009;202;;;;;;;;;;;;
28/02/2009;155,2;;;;;;;;;;;;
31/03/2009;90,8;;;;;;;;;;;;
30/04/2009;0;;;;;;;;;;;;
31/05/2009;163;;;;;;;;;;;;
30/06/2009;136,8;;;;;;;;;;;;
31/07/2009;119,8;;;;;;;;;;;;
31/08/2009;133;;;;;;;;;;;;
30/09/2009;null;;;;;;;;;;;;
31/10/2009;228;;;;;;;;;;;;
30/11/2009;126;;;;;;;;;;;;
31/12/2009;307,6;;;;;;;;;;;;
