time;prec;;;;;;;;;;;;
31/12/2006;null;;;;time;n;n_barr;n-n_barr;m_barr;m_barr - n_barr;n-n_barr/m_barr - n_barr;*3;
31/01/2007;265,8;;;;2007;867,4;536,6666667;330,7333333;938,8571429;402,1904762;0,822330097;2,466990291;muito chuvoso
28/02/2007;248,6;;;dados faltantes;2008;0;536,6666667;-536,6666667;;402,1904762;-1,33435946;-4,00307838;muito seco
31/03/2007;102,4;;;dados faltantes;2009;0;536,6666667;-536,6666667;;402,1904762;-1,33435946;-4,00307838;muito seco
30/04/2007;112;;;dados faltantes;2010;106,8;536,6666667;-429,8666667;;402,1904762;-1,06881364;-3,206440919;muito seco
31/05/2007;45,8;;;;2011;537,2;536,6666667;0,533333333;;402,1904762;0,001326072;0,003978215;chuvoso
30/06/2007;3;;;;2012;935,6;536,6666667;398,9333333;;402,1904762;0,991901492;2,975704475;muito chuvoso
31/07/2007;45,8;;;;2013;1451;536,6666667;914,3333333;;402,1904762;2,27338385;6,820151551;extremamente chuvoso
31/08/2007;0;;;;2014;255,8;536,6666667;-280,8666667;;402,1904762;-0,698342411;-2,095027232;muito seco
30/09/2007;44;;;;2015;718,8;536,6666667;182,1333333;;402,1904762;0,452853422;1,358560265;chuvoso
31/10/2007;null;;;;2016;776;536,6666667;239,3333333;;402,1904762;0,595074592;1,785223775;chuvoso
30/11/2007;null;;;;2017;694,4;536,6666667;157,7333333;;402,1904762;0,39218565;1,17655695;chuvoso
31/12/2007;null;;;dados faltantes;2018;273,6;536,6666667;-263,0666667;;402,1904762;-0,654084774;-1,962254322;seco
31/01/2008;null;;;;2019;1367,6;536,6666667;830,9333333;;402,1904762;2,066019417;6,198058252;extremamente chuvoso
29/02/2008;null;;;;2020;65,8;536,6666667;-470,8666667;;402,1904762;-1,170755387;-3,512266161;muito seco
31/03/2008;null;;;dados faltantes;2021;0;536,6666667;-536,6666667;;402,1904762;-1,33435946;-4,00307838;muito seco
30/04/2008;null;;;;;;;;;;;;
31/05/2008;null;;;;;;;;;;;;
30/06/2008;null;;;;;;;;;;;;
31/07/2008;null;;;;;;;;;;;;
31/08/2008;null;;;;;;;;;;;;
30/09/2008;null;;;;;;;;;;;;
31/10/2008;null;;;;;;;;;;;;
30/11/2008;null;;;;;;;;;;;;
31/12/2008;null;;;;;;;;;;;;
31/01/2009;null;;;;;;;;;;;;
28/02/2009;null;;;;;;;;;;;;
