time;prec;;;;;;;;;;;;
30/09/2001;null;;;;time;n;n_barr;n-n_barr;m_barr;m_barr - n_barr;n-n_barr/m_barr - n_barr;*3;
31/10/2001;115,6;;;;2001;559,8;817,9047619;-258,1047619;1091,26;273,3552381;-0,944210046;-2,832630138;muito seco
30/11/2001;263,6;;;;2002;817;;-0,904761905;;;-0,003309839;-0,009929518;seco
31/12/2001;180,6;;;;2003;549,2;;-268,7047619;;;-0,982987426;-2,948962278;muito seco
31/01/2002;229,6;;;;2004;204,2;;-613,7047619;;;-2,245081405;-6,735244214;extremamente seco
28/02/2002;304;;;;2005;786;;-31,9047619;;;-0,116715385;-0,350146156;seco
31/03/2002;41,2;;;;2006;1012;;194,0952381;;;0,710047627;2,130142881;muito chuvoso
30/04/2002;3,2;;;;2007;972,4;;154,4952381;;;0,565181188;1,695543563;chuvosos
31/05/2002;89;;;;2008;742,4;;-75,5047619;;;-0,276214798;-0,828644394;seco
30/06/2002;null;;;;2009;927,2;;109,2952381;;;0,399828585;1,199485755;chuvosos
31/07/2002;null;;;;2010;189,8;;-628,1047619;;;-2,29776011;-6,893280329;extremamente seco
31/08/2002;79,4;;;;2011;1403;;585,0952381;;;2,140420803;6,421262408;extremamente chuvoso
30/09/2002;50;;;;2012;1172,4;;354,4952381;;;1,296829871;3,890489612;muito chuvoso
31/10/2002;20,6;;;;2013;1242;;424,0952381;;;1,551443613;4,654330838;extremamente chuvoso
30/11/2002;null;;;;2014;966,6;;148,6952381;;;0,543963376;1,631890127;chuvosos
31/12/2002;null;;;;2015;1415,4;;597,4952381;;;2,185783021;6,557349063;extremamente chuvoso
31/01/2003;323,8;;;;2016;1011,2;;193,2952381;;;0,707121032;2,121363096;muito chuvoso
28/02/2003;null;;;;2017;1374,2;;556,2952381;;;2,035063392;6,105190176;extremamente chuvoso
31/03/2003;122,2;;;;2018;1009,4;;191,4952381;;;0,700536194;2,101608582;muito chuvoso
30/04/2003;103,2;;;;2019;821,8;;3,895238095;;;0,014249729;0,042749187;chuvosos
31/05/2003;null;;;;2020;0;;-817,9047619;;;-2,99209471;-8,976284131;extremamente seco
30/06/2003;null;;;;2021;0;;-817,9047619;;;-2,99209471;-8,976284131;extremamente seco
31/07/2003;null;;;;;;;;;;;;
31/08/2003;null;;;;;;;;;;;;
30/09/2003;null;;;;;;;;;;;;
31/10/2003;null;;;;;;;;;;;;
30/11/2003;null;;;;;;;;;;;;
31/12/2003;null;;;;;;;;;;;;
31/01/2004;null;;;;;;;;;;;;
29/02/2004;null;;;;;;;;;;;;
31/03/2004;null;;;;;;;;;;;;
30/04/2004;null;;;;;;;;;;;;
31/05/2004;null;;;;;;;;;;;;
30/06/2004;null;;;;;;;;;;;;
31/07/2004;null;;;;;;;;;;;;
31/08/2004;null;;;;;;;;;;;;
30/09/2004;null;;;;;;;;;;;;
31/10/2004;null;;;;;;;;;;;;
30/11/2004;null;;;;;;;;;;;;
31/12/2004;204,2;;;;;;;;;;;;
31/01/2005;391,8;;;;;;;;;;;;
28/02/2005;1,4;;;;;;;;;;;;
31/03/2005;29,4;;;;;;;;;;;;
30/04/2005;null;;;;;;;;;;;;
31/05/2005;null;;;;;;;;;;;;
30/06/2005;47,2;;;;;;;;;;;;
31/07/2005;19,6;;;;;;;;;;;;
31/08/2005;4,8;;;;;;;;;;;;
30/09/2005;32,6;;;;;;;;;;;;
31/10/2005;null;;;;;;;;;;;;
30/11/2005;null;;;;;;;;;;;;
31/12/2005;259,2;;;;;;;;;;;;
31/01/2006;208,2;;;;;;;;;;;;
28/02/2006;null;;;;;;;;;;;;
31/03/2006;155;;;;;;;;;;;;
30/04/2006;null;;;;;;;;;;;;
31/05/2006;null;;;;;;;;;;;;
30/06/2006;12;;;;;;;;;;;;
31/07/2006;13,8;;;;;;;;;;;;
31/08/2006;31,2;;;;;;;;;;;;
30/09/2006;54;;;;;;;;;;;;
31/10/2006;171,8;;;;;;;;;;;;
30/11/2006;82,4;;;;;;;;;;;;
31/12/2006;283,6;;;;;;;;;;;;
31/01/2007;480,2;;;;;;;;;;;;
28/02/2007;100,6;;;;;;;;;;;;
31/03/2007;68,8;;;;;;;;;;;;
30/04/2007;18,8;;;;;;;;;;;;
31/05/2007;100,6;;;;;;;;;;;;
30/06/2007;0,2;;;;;;;;;;;;
31/07/2007;49,6;;;;;;;;;;;;
31/08/2007;0,8;;;;;;;;;;;;
30/09/2007;6,4;;;;;;;;;;;;
31/10/2007;21,2;;;;;;;;;;;;
30/11/2007;54,6;;;;;;;;;;;;
31/12/2007;70,6;;;;;;;;;;;;
31/01/2008;162,4;;;;;;;;;;;;
29/02/2008;30,8;;;;;;;;;;;;
31/03/2008;95,4;;;;;;;;;;;;
30/04/2008;157,6;;;;;;;;;;;;
31/05/2008;50,8;;;;;;;;;;;;
30/06/2008;11;;;;;;;;;;;;
31/07/2008;null;;;;;;;;;;;;
31/08/2008;null;;;;;;;;;;;;
30/09/2008;null;;;;;;;;;;;;
31/10/2008;78,2;;;;;;;;;;;;
