time;prec;temp;;;;;
1;326,00;26.218.952;;;Jan;225,55;21.768.982
1;381,00;25.639.113;;;Fev;152,55;24.087.279
1;null;2.651.828;;;Mar;111,68;21.564.051
1;174,00;26.823.118;;;Abr;103,63;22309543,1
1;77,00;2.765.817;;;Mai;71,56;18023426
1;null;26.300.941;;;Jun;54,22;18.660.422
1;248,20;25.837.097;;;Jul;22,80;18.163.190
1;null;null;;;Ago;16,78;22.287.831
1;192,60;27.729.301;;;Set;72,93;25.344.931
1;161,40;27.642.473;;;Out;114,30;26.139.353,00
1;244,20;26.081.183;;;Nov;105,22;24.138.564
2;171,20;259.933;;;Dez;127,73;24.553.705
2;60,60;27.095.546;;;;;
2;55,40;26.250.298;;;;;
2;173,00;26.681.845;;;;;
2;null;26.302.381;;;;;
2;null;27.181.753;;;;;
2;112,00;27.116.964;;;;;
2;null;null;;;;;
2;211,00;27.064.583;;;;;
2;330,60;26.512.787;;;;;
2;106,60;26.406.696;;;;;
3;223,00;25.177.936;;;;;
3;76,40;26.060.215;;;;;
3;null;26.078.592;;;;;
3;123,00;25.673.656;;;;;
3;null;2.534.086;;;;;
3;null;25.959.543;;;;;
3;145,60;26.219.892;;;;;
3;93,20;271.875;;;;;
3;55,80;26.204.032;;;;;
3;89,00;26.419.355;;;;;
3;87,40;26.605.376;;;;;
4;null;null;;;;;
4;100,20;24.782.361;;;;;
4;null;23.018.472;;;;;
4;79,60;24.716.945;;;;;
4;null;24.810.556;;;;;
4;null;25.504.306;;;;;
4;151,80;23.854.722;;;;;
4;12,60;2.461.125;;;;;
4;171,40;25.633.333;;;;;
4;106,20;23.995.833;;;;;
4;null;24.317.778;;;;;
5;null;null;;;;;
5;67,60;20.944.086;;;;;
5;25,60;22.097.984;;;;;
5;38,80;2.109.086;;;;;
5;71,60;21.810.887;;;;;
5;197,20;20.734.274;;;;;
5;144,80;23.456.183;;;;;
5;33,80;21.941.263;;;;;
5;52,60;22.851.613;;;;;
5;37,20;1.957.836;;;;;
5;46,40;22.331.048;;;;;
6;54,40;18.838.333;;;;;
6;163,20;20.278.472;;;;;
6;126,20;21.722.538;;;;;
6;13,00;20.935;;;;;
6;109,40;20.975.417;;;;;
6;37,00;18.483.055;;;;;
6;10,80;20.275.755;;;;;
6;0,40;20.987.361;;;;;
6;17,00;21.196.806;;;;;
6;53,20;21.949.167;;;;;
6;11,80;20.536.806;;;;;
7;3,40;20.958.871;;;;;
7;11,20;19.298.387;;;;;
7;52,20;18.915.019;;;;;
7;104,20;19.830.376;;;;;
7;52,40;2.104.422;;;;;
7;8,80;19.668.414;;;;;
7;0,00;19.184.655;;;;;
7;0,40;21.022.446;;;;;
7;14,80;19.950.134;;;;;
7;0,00;21.021.774;;;;;
7;3,40;17.840.591;;;;;
8;null;23.476.389;;;;;
8;7,60;22.465.995;;;;;
8;0,60;23.383.333;;;;;
8;0,00;20.197.312;;;;;
8;0,00;22.467.876;;;;;
8;19,80;22.897.984;;;;;
8;48,40;21.256.183;;;;;
8;52,40;22.490.459;;;;;
8;18,00;20.751.747;;;;;
8;21,00;22.606.342;;;;;
8;5,20;21.948.387;;;;;
8;11,60;23.511.962;;;;;
9;86,40;25.547.173;;;;;
9;6,20;25.157.083;;;;;
9;107,40;25.122.083;;;;;
9;96,00;24.140.694;;;;;
9;135,40;25.257.778;;;;;
9;175,00;24.808.472;;;;;
9;41,40;22.019.444;;;;;
9;20,80;26.335.057;;;;;
9;142,80;23.568.056;;;;;
9;36,40;27.108.472;;;;;
9;10,20;27.716.806;;;;;
9;17,20;27.358.056;;;;;
10;75,00;24.597.619;;;;;
10;177,20;25.453.165;;;;;
10;91,20;26.764.919;;;;;
10;156,80;25.325.941;;;;;
10;63,20;26.475.403;;;;;
10;58,40;26.017.608;;;;;
10;43,00;24.878.068;;;;;
10;68,60;null;;;;;
10;236,80;26.459.543;;;;;
10;83,40;27.845.833;;;;;
10;103,00;28.205.107;;;;;
10;215,00;25.509.677;;;;;
11;109,20;25.088.611;;;;;
11;133,80;25.454.444;;;;;
11;17,20;27.200.972;;;;;
11;49,80;26.695.556;;;;;
11;358,40;25.237.361;;;;;
11;null;26.755.972;;;;;
11;55,80;26.282.083;;;;;
11;0,00;null;;;;;
11;95,80;26.032.083;;;;;
11;164,00;2.750.875;;;;;
11;77,80;26.973.333;;;;;
11;95,60;27.052.917;;;;;
12;121,80;26.445.161;;;;;
12;107,80;26.915.188;;;;;
12;25,60;2.749.086;;;;;
12;255,00;27.109.946;;;;;
12;176,60;26.295.161;;;;;
12;null;26.263.575;;;;;
12;150,40;26.275.269;;;;;
12;0,00;null;;;;;
12;127,40;27.227.151;;;;;
12;140,60;26.803.629;;;;;
12;177,80;27.231.452;;;;;
12;122,00;26.775.134;;;;;
