time;prec;temp;;;;;;
1;131,4;24.040.738;;;;Jan;181,29;22.593.256
1;293;24.799.722;;;;Fev;167,11;25.017.210
1;null;null;;;;Mar;148,92;22.330.804
1;173,2;24.785.215;;;;Abr;118,25;20.421.990
1;188,6;24.988.844;;;;Mai;112,25;17.217.757
1;254;24.917.204;;;;Jun;82,5;16.551.182
1;101,2;25.323.206;;;;Jul;50,15;17.356.082
1;null;null;;;;Ago;66,45;16.664.120
1;98,2;25.162.634;;;;Set;48,06;18.190.276
1;240,2;24.065.457;;;;Out;166,66;18.595.586
1;null;2.643.629;;;;Nov;169,96;22.150.635
1;151,8;25.205.914;;;;Dez;170,46;24.931.429
1;null;null;;;;;;
2;257,4;24.570.892;;;;;;
2;212,4;25.613.988;;;;;;
2;null;null;;;;;;
2;102,2;25.058.908;;;;;;
2;121,2;24.943.899;;;;;;
2;91,6;25.547.024;;;;;;
2;210,4;24.815.476;;;;;;
2;null;25.637.153;;;;;;
2;241,4;25.390.179;;;;;;
2;142,6;23.713.272;;;;;;
2;null;24.806.994;;;;;;
2;124,8;25.091.523;;;;;;
2;null;null;;;;;;
3;93,2;24.980.575;;;;;;
3;128,2;24.884.946;;;;;;
3;null;null;;;;;;
3;189,2;23.468.683;;;;;;
3;278,6;24.156.322;;;;;;
3;210,6;23.393.952;;;;;;
3;90,4;2.418.293;;;;;;
3;74;23.666.256;;;;;;
3;117,4;24.474.731;;;;;;
3;236,6;24.660.349;;;;;;
3;null;24.503.693;;;;;;
3;71;25.031.048;;;;;;
3;null;null;;;;;;
4;null;23.157.716;;;;;;
4;63,4;22.009.306;;;;;;
4;null;null;;;;;;
4;142,4;21.901.111;;;;;;
4;172,6;20.642.639;;;;;;
4;null;23.164.109;;;;;;
4;113,2;2.229.125;;;;;;
4;68,8;23.897.639;;;;;;
4;192,4;20.568.056;;;;;;
4;57,6;23.386.389;;;;;;
4;null;22.732.471;;;;;;
4;135,6;20.953.333;;;;;;
4;null;null;;;;;;
5;151,4;20.027.554;;;;;;
5;223,2;17.055.914;;;;;;
5;3,6;18.007.393;;;;;;
5;42,6;18.923.925;;;;;;
5;130,8;19.401.613;;;;;;
5;null;null;;;;;;
5;160;18.866.936;;;;;;
5;null;null;;;;;;
5;55,6;20.919.048;;;;;;
5;null;19.594.758;;;;;;
5;null;2.115.372;;;;;;
5;130,8;17.265.054;;;;;;
5;null;null;;;;;;
6;null;15.377.778;;;;;;
6;null;null;;;;;;
6;17,4;18.492.917;;;;;;
6;46,2;16.223.889;;;;;;
6;255;17.432.778;;;;;;
6;null;18.194.147;;;;;;
6;73,4;18.618.201;;;;;;
6;43,8;18.679.167;;;;;;
6;null;1.503.571;;;;;;
6;60,8;17.604.885;;;;;;
6;null;18.858.102;;;;;;
6;32;18.980.555;;;;;;
6;131,4;18.648.195;;;;;;
6;null;null;;;;;;
7;11,2;19.386.962;;;;;;
7;80,8;16.458.064;;;;;;
7;null;17.446.605;;;;;;
7;99,2;18.089.516;;;;;;
7;32;16.709.812;;;;;;
7;32,2;17.079.354;;;;;;
7;192,8;16.940.358;;;;;;
7;88,6;17.705.357;;;;;;
7;31,8;17.618.548;;;;;;
7;5;16.759.677;;;;;;
7;1;17.773.656;;;;;;
7;10,2;16.343.145;;;;;;
7;17;17.318.011;;;;;;
