time;prec;temp;;;;;;;
1;225,2;26.881.925;;;;;prec;temp;
1;411,8;26.542.748;;;;Jan;228,4363636;25.106.650;
1;217;2.640.862;;;;Fev;142,6;24.578.709;
1;309,8;27.129.888;;;;Mar;117,26;20.415.076;
1;351,4;26.672.205;;;;Abr;97,32;23.038.712;
1;null;27.323.315;;;;Mai;73,22;18.899.842;
1;59,2;28.131.855;;;;Jun;76,16666667;17.349.682;
1;233;26.709.052;;;;Jul;27,225;20.878.049;
1;58,6;28.148.357;;;;Ago;25,275;21.243.446;
1;308,4;26.888.575;;;;Set;57,575;22.813.462;
1;86,6;27.416.398;;;;Out;116,8666667;24347179,3;
1;251,8;26.794.624;;;;Nov;149,4909091;24.705.990;
1;null;null;;;;Dez;153,4;23.549.130;
1;null;null;;;;;;;
1;null;null;;;;;;;
2;166,8;26.952.233;;;;;;;
2;77,2;26.581.399;;;;;;;
2;63,4;27.055.546;;;;;;;
2;83,2;27.989.583;;;;;;;
2;null;26.416.696;;;;;;;
2;null;26.958.336;;;;;;;
2;127;27.129.613;;;;;;;
2;null;null;;;;;;;
2;null;27,26;;;;;;;
2;211,4;27.568.822;;;;;;;
2;146,4;27.318.006;;;;;;;
2;265,4;26.395.536;;;;;;;
2;null;null;;;;;;;
2;null;null;;;;;;;
2;null;null;;;;;;;
3;95,2;27.206.107;;;;;;;
3;120,6;263.643;;;;;;;
3;126,4;27.260.484;;;;;;;
3;117;27.464.382;;;;;;;
3;null;25.724.155;;;;;;;
3;145,8;25.939.761;;;;;;;
3;107,6;27.120.402;;;;;;;
3;null;null;;;;;;;
3;49;267.462;;;;;;;
3;173,8;2.630.336;;;;;;;
3;138,8;27.082.258;;;;;;;
3;98,4;27.205.914;;;;;;;
3;null;26.816.013;;;;;;;
3;null;null;;;;;;;
3;null;null;;;;;;;
4;84,4;26.067.089;;;;;;;
4;31,8;24.627.424;;;;;;;
4;3,2;26.006.944;;;;;;;
4;21,4;25.119.028;;;;;;;
4;null;25.175.713;;;;;;;
4;104,8;25.325;;;;;;;
4;281,8;24.037.917;;;;;;;
4;null;null;;;;;;;
4;75,6;25.805.139;;;;;;;
4;74;26.181.528;;;;;;;
4;199,6;24.670.141;;;;;;;
4;96,6;25.709.583;;;;;;;
4;null;null;;;;;;;
4;null;null;;;;;;;
4;null;null;;;;;;;
5;82;21.113.581;;;;;;;
5;null;2.218.428;;;;;;;
5;42,4;23.767.339;;;;;;;
5;120;20.232.564;;;;;;;
5;4,6;2.159.035;;;;;;;
5;35;22.501.613;;;;;;;
5;63,6;23.152.285;;;;;;;
5;null;null;;;;;;;
5;95,4;23.118.959;;;;;;;
5;130,8;21.527.688;;;;;;;
5;91,2;25.136.889;;;;;;;
5;67,2;22.969.879;;;;;;;
5;null;null;;;;;;;
5;null;null;;;;;;;
5;null;null;;;;;;;
6;0,2;20.719.897;;;;;;;
6;null;20.551.765;;;;;;;
6;79,4;20.194.583;;;;;;;
6;4,8;21.784.028;;;;;;;
6;null;20.587.591;;;;;;;
6;187,4;21.002.639;;;;;;;
6;177,2;21.721.162;;;;;;;
6;null;null;;;;;;;
6;null;null;;;;;;;
6;8;1.966.358;;;;;;;
6;null;null;;;;;;;
6;null;2.103.913;;;;;;;
6;null;22.864.881;;;;;;;
6;null;null;;;;;;;
6;null;null;;;;;;;
7;54,4;19.861.262;;;;;;;
7;4,8;22.715.202;;;;;;;
