time;prec;temp;;;;;;
1;62,2;26.686.559;;;;;prec;temp
1;257;27.174.492;;;;Jan;151,7333333;22.860.628
1;null;null;;;;Fev;158;26.450.539
1;235,6;2.574.086;;;;Mar;109,5333333;17942128
1;97,2;25.724.462;;;;Abr;58,4;20.765.179
1;67,2;28.042.608;;;;Mai;70,825;19.358.641
1;191,2;26.961.559;;;;Jun;35,88571429;15.507.131
1;null;null;;;;Jul;40,34285714;17.875.887
2;68,2;27.385.268;;;;Ago;36,14285714;19.239.923
2;231,4;25.543.453;;;;Set;85,25714286;20.962.693
2;161,8;26.769.397;;;;Out;175,1142857;25.510.948
2;139,2;27.392.857;;;;Nov;145,1142857;22.207.986
2;43,6;25.447.917;;;;Dez;183,4;22.329.754
2;246,2;26.703.531;;;;;;
2;215,6;25.911.351;;;;;;
2;null;null;;;;;;
3;null;null;;;;;;
3;147,4;25.283.065;;;;;;
3;178,4;24.980.335;;;;;;
3;79;25.698.387;;;;;;
3;130,2;26.381.317;;;;;;
3;79,8;2.676.707;;;;;;
3;null;null;;;;;;
3;42,4;2.632.957;;;;;;
3;null;null;;;;;;
4;null;22.286.508;;;;;;
4;83;23.864.167;;;;;;
4;65,6;24,88;;;;;;
4;59,4;26.590.833;;;;;;
4;47,4;23.593.611;;;;;;
4;15;25.313.056;;;;;;
4;null;null;;;;;;
4;80;23.708.055;;;;;;
4;null;null;;;;;;
5;55,6;22.061.559;;;;;;
5;39,4;21.015.591;;;;;;
5;77;2.185.793;;;;;;
5;132;20.377.151;;;;;;
5;139,6;23.139.382;;;;;;
5;23;22.540.995;;;;;;
5;47;23.118.952;;;;;;
5;53;20.429.704;;;;;;
5;null;null;;;;;;
6;null;20.607.418;;;;;;
6;14,8;20.983.056;;;;;;
6;29;21.787.637;;;;;;
6;39,8;18.789.444;;;;;;
6;32,8;20.383.472;;;;;;
6;28;21.062.917;;;;;;
6;20;224.225;;;;;;
6;86,8;218.875;;;;;;
6;null;null;;;;;;
7;19,8;19.222.849;;;;;;
7;87,2;19.585.753;;;;;;
7;119,4;2.071.129;;;;;;
7;12,8;21.167.339;;;;;;
7;0;20.459.409;;;;;;
7;0;22.472.446;;;;;;
7;43,2;20.152.285;;;;;;
7;null;null;;;;;;
7;null;null;;;;;;
8;0;20.267.742;;;;;;
8;6,4;23.085.753;;;;;;
8;10,8;24.052.823;;;;;;
8;86,6;22.302.554;;;;;;
8;92,8;2.291.828;;;;;;
8;56,4;20.062.634;;;;;;
8;0;22.616.129;;;;;;
8;null;null;;;;;;
8;null;null;;;;;;
9;62;23.095.139;;;;;;
9;160,2;24.265;;;;;;
9;146,8;25.168.611;;;;;;
9;38,2;22.283.056;;;;;;
9;16,4;26.823.611;;;;;;
9;109,6;23.370.139;;;;;;
9;63,6;25.974.028;;;;;;
9;null;null;;;;;;
9;null;null;;;;;;
10;129,2;24.132.124;;;;;;
10;55,4;26.510.618;;;;;;
10;253,2;25.994.624;;;;;;
10;81,4;24.762.658;;;;;;
10;244,6;24.972.849;;;;;;
10;384,6;25.051.075;;;;;;
10;77,4;27.152.688;;;;;;
10;null;null;;;;;;
10;null;null;;;;;;
11;63;25.638.333;;;;;;
11;194,6;247.975;;;;;;
11;257;25.961.401;;;;;;
11;94;26.060.972;;;;;;
11;250;24.979.306;;;;;;
11;43,2;25.607.778;;;;;;
11;114;26.960.139;;;;;;
11;null;null;;;;;;
11;null;null;;;;;;
12;115,8;2.704.328;;;;;;
12;127,8;25.914.785;;;;;;
12;null;null;;;;;;
12;233,6;26.009.274;;;;;;
12;226,8;26.033.065;;;;;;
12;153,4;27.480.242;;;;;;
12;243;25.836.828;;;;;;
12;null;null;;;;;;
12;null;null;;;;;;
