;prec;temp;;;;;;;;
1;36;27.405.511;;;;time;prec;temp;;
1;261,8;26.809.409;;;;Jan;159,3333333;18.930.085;;
1;180,2;2.575.336;;;;Fev;113,1333333;18.107.773;;
2;101,2;26.523.363;;;;Mar;93,4;26138575;;
2;153,2;2.623.319;;;;Abr;83,3;23420625;;
2;85;25.176.637;;;;Mai;33,5;20466465;;
3;null;null;;;;Jun;59,2;20032142;;
3;107,4;26.600.134;;;;Jul;17,8;19586828;;
3;79,4;25.677.016;;;;Ago;96,6;19.894.028;;
4;null;null;;;;Set;125,6;23.264.583;;
4;105,2;23.008.611;;;;Out;171,8;26.020.162;;
4;61,4;23.832.639;;;;Nov;134,2666667;26.236.745;;
5;null;null;;;;Dez;157,1333333; ;;
5;63,2;19.588.038;;;;;;;;
5;3,8;21.344.892;;;;;;;;
6;null;null;;;;;;;;
6;59,2;20.481.389;;;;;;;;
6;null;19.582.895;;;;;;;;
7;null;null;;;;;;;;
7;17,8;19.586.828;;;;;;;;
7;null;null;;;;;;;;
8;null;18.766.146;;;;;;;;
8;null;null;;;;;;;;
8;96,6;21.021.909;;;;;;;;
8;null;null;;;;;;;;
9;206;22.042.222;;;;;;;;
9;null;null;;;;;;;;
9;45,2;24.486.944;;;;;;;;
9;null;null;;;;;;;;
10;174,4;25.483.065;;;;;;;;
10;null;null;;;;;;;;
10;169,2;26.557.258;;;;;;;;
10;null;null;;;;;;;;
11;177,4;25.541.069;;;;;;;;
11;84,4;27.593.195;;;;;;;;
11;141;25.575.972;;;;;;;;
11;null;null;;;;;;;;
12;114,6;26.646.408;;;;;;;;
12;195,6;25.930.511;;;;;;;;
12;161,2;27.124.719;;;;;;;;
12;null;null;;;;;;;;
