time;prec;temp;;;;;;;;
1;57,6;27.719.355;;;;;;;;
1;null;null;;;;;;time;prec;temp
1;null;null;;;;;;Jan;57,6;27.719.355
2;115,2;26.589.434;;;;;;Fev;115,2;26.589.434
2;null;null;;;;;;Mar;134;25.606.452
2;null;null;;;;;;Abr;53,2;24.901.610
3;134;25.606.452;;;;;;Mai;31,7;22.255.578
3;null;null;;;;;;Jun;14,6;20.851.209
3;null;null;;;;;;Jul;#DIV/0!;22.121.667
4;null;24.973.913;;;;;;Ago;39,8;19.972.703
4;53,2;24.829.306;;;;;;Set;88,4;23.187.083
4;null;null;;;;;;Out;246;25.366.129
4;null;null;;;;;;Nov;104;25.597.639
5;22,4;21.819.355;;;;;;Dez;94;26.817.608
5;41;22.691.801;;;;;;;;
5;null;null;;;;;;;;
5;null;null;;;;;;;;
6;null;20.277.835;;;;;;;;
6;14,6;21.424.583;;;;;;;;
6;null;null;;;;;;;;
6;null;null;;;;;;;;
7;null;22.121.667;;;;;;;;
7;null;null;;;;;;;;
7;null;null;;;;;;;;
7;null;null;;;;;;;;
8;39,8;19.972.703;;;;;;;;
8;null;null;;;;;;;;
8;null;null;;;;;;;;
8;null;null;;;;;;;;
9;88,4;23.187.083;;;;;;;;
9;null;null;;;;;;;;
9;null;null;;;;;;;;
9;null;null;;;;;;;;
10;246;25.366.129;;;;;;;;
10;null;null;;;;;;;;
10;null;null;;;;;;;;
10;null;null;;;;;;;;
11;104;25.597.639;;;;;;;;
11;null;null;;;;;;;;
11;null;null;;;;;;;;
11;null;null;;;;;;;;
12;94;26.817.608;;;;;;;;
12;null;null;;;;;;;;
12;null;null;;;;;;;;
12;null;null;;;;;;;;
