time;prec;temp;;;;;;
1;94,6;27.049.462;;;;time;prec;temp
1;null;25.855.452;;;;Jan;222,7;25.836.136
1;350,8;24.603.495;;;;Fev;85,2;14.117.206
2;null;25.760.408;;;;Mar;#DIV/0!;25.647.833
2;null;null;;;;Abr;12,2;22.855.291
2;85,2;2.474.003;;;;Mai;66,9;19.794.501
3;null;25.647.833;;;;Jun;27,4;18.878.484
3;null;null;;;;Jul;7,9;19.389.987
3;null;null;;;;Ago;50,3;10.136.797
3;null;null;;;;Set;103,2;23.275.890
4;12,2;24.478.333;;;;Out;278,4;24.808.324
4;null;null;;;;Nov;121,6;25.659.796
4;null;21.232.248;;;;Dez;134,8;25.730.578
4;null;null;;;;;;
5;77,2;20.917.204;;;;;;
5;null;null;;;;;;
5;56,6;18.671.798;;;;;;
5;null;null;;;;;;
6;14,6;17.532.615;;;;;;
6;null;null;;;;;;
6;40,2;20.224.353;;;;;;
6;null;null;;;;;;
7;1,4;19.693.145;;;;;;
7;null;null;;;;;;
7;14,4;19.086.828;;;;;;
7;null;null;;;;;;
8;39;18.108.199;;;;;;
8;null;null;;;;;;
8;61,6;2.165.394;;;;;;
8;null;null;;;;;;
9;191,4;21.286.944;;;;;;
9;null;null;;;;;;
9;15;25.264.836;;;;;;
9;null;null;;;;;;
10;448,6;23.839.925;;;;;;
10;null;null;;;;;;
10;108,2;25.776.723;;;;;;
10;null;null;;;;;;
11;121,6;24.568.472;;;;;;
11;null;26.751.119;;;;;;
11;null;null;;;;;;
11;null;null;;;;;;
12;146,8;26.014.113;;;;;;
12;null;null;;;;;;
12;122,8;25.447.043;;;;;;
12;null;null;;;;;;
