time;prec;temp;;;;;
1;234,4;25.451.917;;;time;prec;temp
1;null;null;;;Jan;234,4;25.451.917
1;null;null;;;Fev;144,4;24849321
2;null;null;;;Mar;58;24589571
2;144,4;24.849.321;;;Abr;#DIV/0!;24301716
2;null;null;;;Mai;#NOME?;21.553.401
2;null;null;;;Jun;3,8;19.790.257
3;null;null;;;Jul;0;20.534.409
3;58;24.589.571;;;Ago;14,6;21.058.199
3;null;null;;;Set;137,4;22.995.707
3;null;null;;;Out;159,4;25.265.896
4;null;null;;;Nov;242,6;24.695.814
4;null;24.301.716;;;Dez;134,6;25.454.804
4;null;null;;;;;
4;null;null;;;;;
5;47,2;21.553.401;;;;;
5;null;null;;;;;
5;null;null;;;;;
5;null;null;;;;;
6;3,8;19.790.257;;;;;
6;null;null;;;;;
6;null;null;;;;;
6;null;null;;;;;
7;0;20.534.409;;;;;
7;null;null;;;;;
7;null;null;;;;;
7;null;null;;;;;
8;14,6;21.058.199;;;;;
8;null;null;;;;;
8;null;null;;;;;
8;null;null;;;;;
9;137,4;22.995.707;;;;;
9;null;null;;;;;
9;null;null;;;;;
9;null;null;;;;;
10;159,4;25.265.896;;;;;
10;null;null;;;;;
10;null;null;;;;;
10;null;null;;;;;
11;242,6;24.695.814;;;;;
11;null;null;;;;;
11;null;null;;;;;
11;null;null;;;;;
12;86,2;25.737.851;;;;;
12;null;null;;;;;
12;null;null;;;;;
12;183;25.171.756;;;;;
