time;prec;temp;;;;;;
1;null;25.596.788;;;;time;prec;temp
1;null;24.617.345;;;;Jan;231,1294118;22.528.848
1;58,8;25.998.056;;;;Fev;170,8375;23.773.901
1;221,6;2.464.122;;;;Mar;131,3;22.697.133
1;154,4;25.121.371;;;;Abr;105,6352941;24.083.388
1;452,4;24.416.935;;;;Mai;95,78823529;21.419.626
1;256,6;24.259.409;;;;Jun;62,71764706;18.965.850
1;226,2;24.365.387;;;;Jul;29,15555556;19.992.872
1;244,8;24.917.058;;;;Ago;36,09473684;19.679.058
1;null;null;;;;Set;69,275;21.007.037
1;244,4;24.887.769;;;;Out;123,1294118;24.089.758
1;210,8;255.875;;;;Nov;164,7625;20.492.550
1;164,2;24.638.172;;;;Dez;197,9444444;23.078.405
1;245,8;25.729.173;;;;;;
1;371,2;25.004.301;;;;;;
1;241,8;24.890.188;;;;;;
1;132;24.470.027;;;;;;
1;122,4;26.091.263;;;;;;
1;198,2;25.969.489;;;;;;
1;383,6;24.355.376;;;;;;
2;null;24.854.076;;;;;;
2;null;null;;;;;;
2;103,2;25.023.377;;;;;;
2;150,6;25.909.622;;;;;;
2;null;24.719.044;;;;;;
2;183,2;24.839.674;;;;;;
2;144,6;24.247.126;;;;;;
2;154;24.823.782;;;;;;
2;251,6;25.501.934;;;;;;
2;null;null;;;;;;
2;171,8;2.510.273;;;;;;
2;212;24.675.446;;;;;;
2;112,8;25.213.691;;;;;;
2;161;25.033.185;;;;;;
2;196,6;25.446.839;;;;;;
2;91;25.274.761;;;;;;
2;206,2;24.443.452;;;;;;
2;251,4;25.525.149;;;;;;
2;227,2;25.155.603;;;;;;
2;116,2;24.733.184;;;;;;
3;99,2;2.565.313;;;;;;
3;null;24.239.037;;;;;;
3;59,4;25.155.839;;;;;;
3;90,4;25.317.564;;;;;;
3;143,8;2.479.176;;;;;;
3;72,2;25.486.717;;;;;;
3;219;24.223.522;;;;;;
3;267,8;24.994.624;;;;;;
3;76,8;25.483.737;;;;;;
3;null;null;;;;;;
3;86,8;25.136.022;;;;;;
3;191,6;25.085.488;;;;;;
3;155;24.326.344;;;;;;
3;71,6;24.869.086;;;;;;
3;194,6;24.935.887;;;;;;
3;226,6;24.943.952;;;;;;
3;97,4;25.576.882;;;;;;
3;166;25.075.134;;;;;;
3;80,2;26.473.656;;;;;;
3;65;24.877.554;;;;;;
4;48,2;25.848.363;;;;;;
4;139,2;23.621.946;;;;;;
4;146,8;24.146.824;;;;;;
4;null;22.930.351;;;;;;
4;null;23.994.802;;;;;;
4;81,8;24.743.889;;;;;;
4;93,4;23.363.333;;;;;;
4;0;24.844.167;;;;;;
4;108;23.665.972;;;;;;
4;null;null;;;;;;
4;234,8;23.905.694;;;;;;
4;227,6;22.812.361;;;;;;
4;49,4;24.212.778;;;;;;
4;101;24.414.167;;;;;;
4;70,8;24.821.389;;;;;;
4;157;22.754.445;;;;;;
4;89,6;24.797.917;;;;;;
4;104,4;24.518.611;;;;;;
4;90,2;23.988.194;;;;;;
4;53,6;24.199.167;;;;;;
5;71,4;23.084.239;;;;;;
5;62,2;20.994.994;;;;;;
5;167;18.616.801;;;;;;
5;114,8;22.555.376;;;;;;
5;null;20.248.882;;;;;;
5;null;21.253.846;;;;;;
5;82,2;20.078.319;;;;;;
5;76,8;22.339.919;;;;;;
5;67,2;19.465.995;;;;;;
5;null;null;;;;;;
5;76,8;21.342.607;;;;;;
5;15,2;22.610.753;;;;;;
5;183;20.689.516;;;;;;
5;84,6;21.798.253;;;;;;
5;206,6;20.813.978;;;;;;
5;103,8;23.425.269;;;;;;
5;37,4;22.494.892;;;;;;
5;76,4;22.280.645;;;;;;
5;182,6;20.371.213;;;;;;
5;20,4;22.507.393;;;;;;
6;null;22.429.404;;;;;;
6;30,6;22.137.461;;;;;;
6;83;198.796;;;;;;
6;null;22.100.838;;;;;;
6;19,6;21.632.071;;;;;;
6;null;null;;;;;;
6;6;19.817.247;;;;;;
6;86,2;19.377.778;;;;;;
6;8,8;21.561.805;;;;;;
6;34;20.155.972;;;;;;
6;244,4;20.229.444;;;;;;
6;182,4;2.129.774;;;;;;
6;54,2;20.980.972;;;;;;
6;83,4;21.601.944;;;;;;
6;49;19.377.059;;;;;;
6;46,6;20.493.231;;;;;;
6;11;20.319.028;;;;;;
6;20,6;22.685.139;;;;;;
6;41,2;21.769.167;;;;;;
6;65,2;21.354.012;;;;;;
7;null;21.233.478;;;;;;
7;22,8;21.673.816;;;;;;
7;54,6;19.662.377;;;;;;
7;20,2;18.786.694;;;;;;
7;6;22.152.945;;;;;;
7;null;18.898.315;;;;;;
7;0;22.779.973;;;;;;
7;48,4;20.460.887;;;;;;
7;21,6;20.476.747;;;;;;
7;13,2;21.886.022;;;;;;
7;14,8;2.014.207;;;;;;
7;51;19.973.971;;;;;;
7;119,2;20.357.392;;;;;;
7;95,2;21.015.995;;;;;;
7;5,4;21.452.615;;;;;;
7;0,2;21.321.408;;;;;;
7;0;21.862.097;;;;;;
7;46,4;20.958.764;;;;;;
7;4;21.605.108;;;;;;
7;1,8;21.284.638;;;;;;
8;null;24.364.587;;;;;;
8;103,8;19.561.124;;;;;;
8;0;22.187.996;;;;;;
8;6,8;22.978.893;;;;;;
8;34,6;23.156.389;;;;;;
8;0;22.172.773;;;;;;
8;52,4;23.737.231;;;;;;
8;154,4;21.923.387;;;;;;
8;0;22.960.157;;;;;;
8;27,4;22.692.876;;;;;;
8;1,2;23.891.667;;;;;;
8;0;2.065.672;;;;;;
8;17,2;23.535.618;;;;;;
8;8,6;24.911.425;;;;;;
8;65,6;22.482.477;;;;;;
8;38,2;2.379.879;;;;;;
8;112,2;20.933.871;;;;;;
8;1,6;23.514.722;;;;;;
8;27,6;242.375;;;;;;
8;34,2;23.888.038;;;;;;
9;null;22.848.246;;;;;;
9;null;22.644.972;;;;;;
9;null;null;;;;;;
9;42;25.688.647;;;;;;
9;null;21.271.697;;;;;;
9;131,6;227.718;;;;;;
9;4,2;27.267.241;;;;;;
9;55,6;22.518.194;;;;;;
9;65,2;23.064.082;;;;;;
9;123,8;251.732;;;;;;
9;57,4;24.896.528;;;;;;
9;122;25.724.167;;;;;;
9;90,8;24.002.778;;;;;;
9;65,8;25.791.528;;;;;;
9;216,4;25.154.861;;;;;;
9;37;22.829.583;;;;;;
9;45;27.406.806;;;;;;
9;null;23.204.025;;;;;;
9;16,2;26,8;;;;;;
9;8,4;27.852.083;;;;;;
9;27;27.495.833;;;;;;
10;100;24.097.072;;;;;;
10;null;2.636.762;;;;;;
10;null;null;;;;;;
10;180,6;23.971.774;;;;;;
10;null;24.390.724;;;;;;
10;91,6;24.955.914;;;;;;
10;103,4;26.326.479;;;;;;
10;99,8;25.223.656;;;;;;
10;124,6;24.726.006;;;;;;
10;122,8;23.764.247;;;;;;
10;227,2;24.836.022;;;;;;
10;125;26.292.473;;;;;;
10;139,2;24.522.581;;;;;;
10;19;27.262.634;;;;;;
10;95,8;25.848.656;;;;;;
10;74,6;24.838.441;;;;;;
10;228,6;24.937.634;;;;;;
10;null;null;;;;;;
10;30,8;26.746.102;;;;;;
10;150,4;27.004.301;;;;;;
10;179,8;25.323.925;;;;;;
11;null;24.513.143;;;;;;
11;null;25.072.875;;;;;;
11;null;null;;;;;;
11;94,6;24.613.203;;;;;;
11;null;null;;;;;;
11;210,8;24.890.027;;;;;;
11;165,2;24.968.103;;;;;;
11;97,2;25.369.789;;;;;;
11;174,8;25.936.667;;;;;;
11;null;2.369.939;;;;;;
11;121,4;2.540.125;;;;;;
11;190,2;25.615.278;;;;;;
11;235,2;25.325.139;;;;;;
11;217,4;24.587.639;;;;;;
11;158,6;25.736.806;;;;;;
11;85,6;2.567.625;;;;;;
11;267,4;24.637.917;;;;;;
11;125,4;24.956.528;;;;;;
11;149,4;2.664.875;;;;;;
11;91,4;25.943.056;;;;;;
11;251,6;27.049.722;;;;;;
12;209,6;23.906.033;;;;;;
12;null;26.852.581;;;;;;
12;111,6;25.399.942;;;;;;
12;266,6;24.909.614;;;;;;
12;null;2.502.191;;;;;;
12;159,2;25.265.299;;;;;;
12;228,8;25.038.575;;;;;;
12;186,4;25.391.801;;;;;;
12;305,4;24.746.505;;;;;;
12;null;null;;;;;;
12;121,6;25.641.667;;;;;;
12;181;2.594.543;;;;;;
12;179,4;25.362.903;;;;;;
12;372,4;24.841.263;;;;;;
12;186,4;25.472.043;;;;;;
12;212,4;24.604.167;;;;;;
12;273,8;24.838.038;;;;;;
12;64,8;25.926.613;;;;;;
12;249;24.971.774;;;;;;
12;105,4;25.976.747;;;;;;
12;149,2;27.325.807;;;;;;
