time;prec;temp;;;;;;
1;484,4;23.811.156;;;;time;prec;temp
1;266;23.255.622;;;;Jan;252,3142857;23.896.393
1;110,8;24.715.948;;;;Fev;184,5714286;23.743.047
1;382,6;24.168.952;;;;Mar;206;21.430.560
1;null;23.233.064;;;;Abr;110,5333333;21.014.835
1;158;23.599.059;;;;Mai;64,775;21.576.353
1;208,4;24.149.866;;;;Jun;16,6;20.886.419
1;156;24.650.538;;;;Jul;22,11111111;18.772.525
1;null;23.483.333;;;;Ago;20,68888889;20.426.933
2;301,8;23.465.476;;;;Set;43,625;17.040.740
2;318;23.419.908;;;;Out;70,75;22.559.695
2;187,6;23.539.286;;;;Nov;229,7;21.661.853
2;137,2;24.793.535;;;;Dez;206,52;21.882.600
2;null;23.502.976;;;;;;
2;185,2;23.553.125;;;;;;
2;158,8;23.954.018;;;;;;
2;3,4;23.932.615;;;;;;
2;null;23.526.488;;;;;;
3;216;24.000.237;;;;;;
3;330,4;23.402.267;;;;;;
3;239,8;22.989.388;;;;;;
3;225;2.402.164;;;;;;
3;null;23.667.608;;;;;;
3;271,8;24.123.118;;;;;;
3;123,8;24.029.506;;;;;;
3;35,2;24.633.065;;;;;;
3;null;23.627.688;;;;;;
4;56,6;22.177.047;;;;;;
4;129,6;23.441.576;;;;;;
4;70,8;2.352.875;;;;;;
4;85,2;24.316.944;;;;;;
4;null;23.286.458;;;;;;
4;98,6;23.059.167;;;;;;
4;222,4;23.765.139;;;;;;
4;null;23.388.194;;;;;;
4;null;23.346.111;;;;;;
5;10;21.983.672;;;;;;
5;31,2;21.154.436;;;;;;
5;169,2;21.399.731;;;;;;
5;36;21.641.532;;;;;;
5;100,2;22.988.844;;;;;;
5;29,4;21.309.812;;;;;;
5;51,8;22.067.748;;;;;;
5;null;19.839.247;;;;;;
5;90,4;21.802.151;;;;;;
6;48,4;21.638.881;;;;;;
6;15,2;20.945.555;;;;;;
6;25,6;21.072.083;;;;;;
6;17;19.797.778;;;;;;
6;12,2;20.472.778;;;;;;
6;3;20.806.528;;;;;;
6;5;21.060.417;;;;;;
6;null;21.747.778;;;;;;
6;6,4;20.435.972;;;;;;
7;18,4;19.767.473;;;;;;
7;166;20.466.532;;;;;;
7;13,6;21.774.953;;;;;;
7;0;21.239.516;;;;;;
7;0;20.106.065;;;;;;
7;0;21.313.038;;;;;;
7;1;20.650.941;;;;;;
7;0;21.681.586;;;;;;
7;0;1.952.621;;;;;;
8;0,2;21.085.753;;;;;;
8;0;22.984.543;;;;;;
8;26,2;23.718.683;;;;;;
8;61,8;22.284.812;;;;;;
8;31;2.327.207;;;;;;
8;7,4;22.126.075;;;;;;
8;54;22.769.355;;;;;;
8;0,4;23.095.027;;;;;;
8;5,2;23.450.941;;;;;;
9;42,4;23.820.139;;;;;;
9;102,4;246.225;;;;;;
9;32,8;2.530.125;;;;;;
9;null;23.204.022;;;;;;
9;0,4;26.026.688;;;;;;
9;107,2;23.506.667;;;;;;
9;25;26.924.722;;;;;;
9;0,8;271.125;;;;;;
9;38;26.836.944;;;;;;
10;111,8;23.860.291;;;;;;
10;40,8;25.632.258;;;;;;
10;null;26.141.801;;;;;;
10;null;23.544.489;;;;;;
10;5,2;25.343.142;;;;;;
10;125,2;2.473.293;;;;;;
10;null;25.023.221;;;;;;
10;null;26.569.758;;;;;;
10;null;24.449.006;;;;;;
11;185,2;23.924.722;;;;;;
11;237;23.502.361;;;;;;
11;57,2;24.687.639;;;;;;
11;null;233.175;;;;;;
11;null;24.427.587;;;;;;
11;439,4;23.801.667;;;;;;
11;null;24.538.553;;;;;;
11;null;25.417.917;;;;;;
11;null;24.423.056;;;;;;
12;null;24.158.167;;;;;;
12;171,8;24.069.149;;;;;;
12;347,8;23.459.543;;;;;;
12;239,2;24.246.774;;;;;;
12;null;23.442.608;;;;;;
12;null;2.326.553;;;;;;
12;108,8;24.348.071;;;;;;
12;165;24.325.269;;;;;;
12;null;24.306.855;;;;;;
12;null;24.143.011;;;;;;
