time;prec;temp;;;;;;
1;257,4;26.152.957;;;;time;prec;temp
1;353;25.998.925;;;;Jan;217,3333333;24.534.728
1;144;25.690.188;;;;Fev;188,74;21.059.334
1;298,2;26.048.155;;;;Mar;114,38;26.006.957
1;251,2;27.326.478;;;;Abr;70,02222222;21.488.733
1;267,4;25.403.495;;;;Mai;39,84;19.441.167
1;105;26.605.645;;;;Jun;23,5;18.828.242
1;193,2;25.693.414;;;;Jul;26,70909091;19.789.448
1;76,2;2.714.844;;;;Ago;10,1;23.505.778
1;315,6;26.501.075;;;;Set;27,1;26.865.543
1;null;26.093.414;;;;Out;115,3454545;23.267.305
1;224,4;25.882.124;;;;Nov;195,3454545;24.581.502
1;null;null;;;;Dez;217,5833333;26.457.991
1;122,4;27.132.404;;;;;;
1;null;26.243.069;;;;;;
2;131,4;26.218.731;;;;;;
2;162,8;25.855.316;;;;;;
2;344,6;25.893.209;;;;;;
2;243,8;2.664.628;;;;;;
2;null;27.049.851;;;;;;
2;52,8;25.654.598;;;;;;
2;173,4;2.580.997;;;;;;
2;230,2;25.634.226;;;;;;
2;105,4;25.850.447;;;;;;
2;100,4;26.901.724;;;;;;
2;null;2.590.253;;;;;;
2;342,6;25.510.268;;;;;;
2;null;null;;;;;;
2;null;26.506.941;;;;;;
2;null;25.919.485;;;;;;
3;107,6;25.876.765;;;;;;
3;100,2;25.654.704;;;;;;
3;141;26.075.403;;;;;;
3;44;26.598.387;;;;;;
3;147;25.732.792;;;;;;
3;71;25.521.482;;;;;;
3;220,8;26.355.029;;;;;;
3;226,6;25.462.903;;;;;;
3;null;25.832.124;;;;;;
3;null;null;;;;;;
3;null;25.824.856;;;;;;
3;75,2;26.527.957;;;;;;
3;null;26.353.163;;;;;;
3;10,4;26.464.494;;;;;;
3;null;25.817.341;;;;;;
4;14,4;25.871.419;;;;;;
4;222,8;24.672.083;;;;;;
4;2,2;24.509.444;;;;;;
4;16,8;24.909.583;;;;;;
4;82,2;24.813.362;;;;;;
4;74,2;25.120.417;;;;;;
4;73,6;240.175;;;;;;
4;91,4;25.447.639;;;;;;
4;null;25.541.944;;;;;;
4;null;null;;;;;;
4;null;null;;;;;;
4;52,6;24.716.111;;;;;;
4;null;25.852.639;;;;;;
4;null;25.144.583;;;;;;
4;null;2.514.125;;;;;;
5;62,2;21.794.952;;;;;;
5;21,2;21.356.779;;;;;;
5;30,4;22.796.237;;;;;;
5;24,2;2.122.572;;;;;;
5;0,2;21.756.048;;;;;;
5;70,2;22.092.876;;;;;;
5;15,6;2.313.293;;;;;;
5;102,2;21.924.731;;;;;;
5;null;null;;;;;;
5;45;22.822.312;;;;;;
5;null;24.545.994;;;;;;
5;27,2;21.896.102;;;;;;
5;null;23.449.059;;;;;;
5;null;20.417.607;;;;;;
5;null;22.887.769;;;;;;
6;0,2;21.296.129;;;;;;
6;1,2;21.422.289;;;;;;
6;4,2;20.511.389;;;;;;
6;0,2;21.566.081;;;;;;
6;4,4;20.612.361;;;;;;
6;27,8;2.128.875;;;;;;
6;86;22.578.902;;;;;;
6;68,4;2.177.875;;;;;;
6;39,2;21.764.722;;;;;;
6;24,2;20.514.306;;;;;;
6;26,2;20.855.556;;;;;;
6;0;20.935.278;;;;;;
6;null;22.676.944;;;;;;
6;null;22.199.444;;;;;;
6;null;21.183.472;;;;;;
7;25;20.910.855;;;;;;
7;0;21.514.382;;;;;;
7;61,4;22.725.575;;;;;;
7;null;21.660.227;;;;;;
7;0,2;21.936.425;;;;;;
7;1;20.383.333;;;;;;
7;39,4;20.288.867;;;;;;
7;139,6;20.910.215;;;;;;
7;27,2;22.313.306;;;;;;
7;null;null;;;;;;
7;0;19.604.704;;;;;;
7;0;21.198.925;;;;;;
7;null;2.124.411;;;;;;
7;0;22.001.613;;;;;;
7;null;19.479.435;;;;;;
8;1,2;22.790.988;;;;;;
8;1,6;24.778.763;;;;;;
8;22,4;23.487.097;;;;;;
8;0,4;22.898.841;;;;;;
8;3;23.413.575;;;;;;
8;0;24.165.972;;;;;;
8;0;21.417.339;;;;;;
8;0,2;23.132.527;;;;;;
8;9,4;24.239.785;;;;;;
8;null;null;;;;;;
8;76,8;23.688.306;;;;;;
8;0;22.978.591;;;;;;
8;null;null;;;;;;
8;6,2;24.181.452;;;;;;
8;null;24.401.882;;;;;;
9;9;27.769.167;;;;;;
9;27,4;25.477.083;;;;;;
9;44,2;26.077.442;;;;;;
9;7,8;27.584.558;;;;;;
9;8,8;27.407.917;;;;;;
9;18,8;26.534.167;;;;;;
9;80,8;25.563.472;;;;;;
9;39,4;26.759.583;;;;;;
9;38,2;26.774.856;;;;;;
9;null;null;;;;;;
9;30,2;27.272.917;;;;;;
9;null;24.084.644;;;;;;
9;null;null;;;;;;
9;0;28.957.295;;;;;;
9;20,6;28.988.958;;;;;;
10;62,4;27.991.982;;;;;;
10;248;26.672.177;;;;;;
10;163,4;2.683.319;;;;;;
10;49,6;26.799.222;;;;;;
10;127,8;26.448.118;;;;;;
10;47;28.082.527;;;;;;
10;97,4;26.300.672;;;;;;
10;59,2;28.040.188;;;;;;
10;240,6;27.194.758;;;;;;
10;null;null;;;;;;
10;140,6;2.600.121;;;;;;
10;null;null;;;;;;
10;null;null;;;;;;
10;null;29.344.372;;;;;;
10;32,8;27.050.204;;;;;;
11;null;26.022.028;;;;;;
11;278;26.454.454;;;;;;
11;145;27.025.743;;;;;;
11;150,8;26.819.396;;;;;;
11;245,6;25.977.222;;;;;;
11;112,6;26.120.139;;;;;;
11;225,4;26,54;;;;;;
11;85,8;26.871.806;;;;;;
11;358,2;25.370.556;;;;;;
11;179,8;26.637.083;;;;;;
11;53,8;25.871.667;;;;;;
11;313,8;26.060.278;;;;;;
11;null;null;;;;;;
11;null;null;;;;;;
11;null;27.775.822;;;;;;
11;null;27.134.802;;;;;;
12;330,2;25.991.754;;;;;;
12;150;26.460.753;;;;;;
12;134,2;26.197.446;;;;;;
12;616;25.830.743;;;;;;
12;57,2;27.883.333;;;;;;
12;97,8;26.159.409;;;;;;
12;108;26.906.452;;;;;;
12;107,2;26.524.328;;;;;;
12;287,4;25.953.629;;;;;;
12;190,6;26.783.468;;;;;;
12;null;25.958.065;;;;;;
12;210,8;25.988.038;;;;;;
12;null;null;;;;;;
12;321,6;26.449.691;;;;;;
12;null;27.277.669;;;;;;
12;null;26.505.092;;;;;;
