time;prec;temp;;;;;;;
1;262,8;24.914.382;;;;;;;
1;175,4;24.489.481;;;;;time;prec;temp
1;71;24.297.518;;;;;Jan;137,88;25.194.358
1;null;24.999.011;;;;;Fev;162,7555556;21.445.204
1;null;null;;;;;Mar;117,3;22.879.270
1;116,8;25.286.156;;;;;Abr;94,75555556;19.133.685
1;64,4;25.375.269;;;;;Mai;63,6;16.949.139
1;185,6;25.214.247;;;;;Jun;58,68571429;16.083.919
1;0;25.673.311;;;;;Jul;33,91111111;17.655.472
1;null;25.291.129;;;;;Ago;39,04;21.110.736
1;50,4;25.348.387;;;;;Set;72,48;21.231.540
1;null;24.260.215;;;;;Out;104,4;24561242,54
1;234,8;26.462.231;;;;;Nov;107,32;22.673.944
1;217,6;25.915.323;;;;;Dez;124,7454545;23.638.295
1;null;null;;;;;;;
2;279,6;2.511.501;;;;;;;
2;229,4;24.288.937;;;;;;;
2;157,8;25.108.834;;;;;;;
2;null;null;;;;;;;
2;null;null;;;;;;;
2;132,2;25.411.063;;;;;;;
2;162,4;25.139.286;;;;;;;
2;273;2.578.497;;;;;;;
2;null;25.392.292;;;;;;;
2;null;25.439.368;;;;;;;
2;48;25.767.113;;;;;;;
2;83;24.457.441;;;;;;;
2;null;25.590.793;;;;;;;
2;99,4;25.657.328;;;;;;;
2;null;null;;;;;;;
3;179,6;25.711.584;;;;;;;
3;50,8;24.399.328;;;;;;;
3;66,6;25.674.597;;;;;;;
3;null;null;;;;;;;
3;95,2;24.226.084;;;;;;;
3;106,6;24.628.763;;;;;;;
3;219,4;2.470.704;;;;;;;
3;150,6;24.120.027;;;;;;;
3;null;null;;;;;;;
3;null;24.363.172;;;;;;;
3;36,2;25.304.839;;;;;;;
3;136,6;25.464.382;;;;;;;
3;131,4;25.308.494;;;;;;;
3;null;null;;;;;;;
3;null;null;;;;;;;
4;46,8;2.413.202;;;;;;;
4;140,6;22.704.167;;;;;;;
4;0,2;24.762.917;;;;;;;
4;null;null;;;;;;;
4;171;22.945.139;;;;;;;
4;139,2;22.742.917;;;;;;;
4;194;21.818.182;;;;;;;
4;140,2;22.685.972;;;;;;;
4;null;null;;;;;;;
4;null;25,06;;;;;;;
4;null;21.617.361;;;;;;;
4;6;24.814.861;;;;;;;
4;14,8;23.965.795;;;;;;;
4;null;null;;;;;;;
4;null;null;;;;;;;
5;82,6;18.992.693;;;;;;;
5;27,8;19.841.519;;;;;;;
5;96,8;21.805;;;;;;;
5;null;null;;;;;;;
5;7;19.567.204;;;;;;;
5;72,6;20.374.866;;;;;;;
5;36,6;2.089.422;;;;;;;
5;121,8;19.246.237;;;;;;;
5;null;19.916.263;;;;;;;
5;null;18.458.602;;;;;;;
5;null;21.640.188;;;;;;;
5;null;21.352.285;;;;;;;
5;null;21.888.589;;;;;;;
5;null;null;;;;;;;
5;null;null;;;;;;;
6;6,4;19.707.222;;;;;;;
6;18,4;17.739.156;;;;;;;
6;null;17.516.833;;;;;;;
6;null;null;;;;;;;
6;104,2;17.811.667;;;;;;;
6;210,8;18.919.167;;;;;;;
6;null;20.183.877;;;;;;;
6;45,8;19.647.917;;;;;;;
6;null;19.975.556;;;;;;;
6;null;1.689.875;;;;;;;
6;null;18,86;;;;;;;
6;12,8;18.183.847;;;;;;;
6;12,4;21.631.891;;;;;;;
6;null;null;;;;;;;
6;null;null;;;;;;;
7;121,2;17.431.854;;;;;;;
7;21,4;21.625.941;;;;;;;
7;null;19.210.514;;;;;;;
7;null;null;;;;;;;
7;84,2;19.522.581;;;;;;;
7;11;18.444.016;;;;;;;
7;20,4;1.878.968;;;;;;;
7;null;18.364.516;;;;;;;
7;null;null;;;;;;;
7;46,4;19.415.995;;;;;;;
7;0;19.263.844;;;;;;;
7;0,4;20.179.704;;;;;;;
7;0,2;18.872.257;;;;;;;
7;null;null;;;;;;;
7;null;null;;;;;;;
8;37,2;19.289.101;;;;;;;
8;32;22.055.556;;;;;;;
8;102,2;20.866.657;;;;;;;
8;null;22.752.778;;;;;;;
8;9,4;20.712.634;;;;;;;
8;0;22.496.111;;;;;;;
8;2,8;18.906.452;;;;;;;
8;null;22.090.995;;;;;;;
8;null;23.349.328;;;;;;;
8;84,8;20.934.274;;;;;;;
8;50;21.830.108;;;;;;;
8;66,6;18.410.215;;;;;;;
8;5,4;20.745.356;;;;;;;
8;null;null;;;;;;;
8;null;null;;;;;;;
9;6,6;25.337.222;;;;;;;
9;38,6;20.596.389;;;;;;;
9;38;21.029.861;;;;;;;
9;null;2.386.407;;;;;;;
9;55,8;22.630.139;;;;;;;
9;50,8;24.036.111;;;;;;;
9;93,4;22.094.028;;;;;;;
9;null;24.150.833;;;;;;;
9;242,8;24.006.944;;;;;;;
9;21,2;21.197.361;;;;;;;
9;6,8;25.794.855;;;;;;;
9;170,8;21.518.333;;;;;;;
9;null;null;;;;;;;
9;null;null;;;;;;;
