time;prec;temp;;;;;;;
1;229,2;26.773.118;;;;;time;prec;temp
1;null;null;;;;;Jan;229,2;26.773.118
1;null;null;;;;;Fev;#DIV/0!;26036111
2;null;null;;;;;Mar;139,8;26.444.971
2;null;26.036.111;;;;;Abr;26,8;24.845.278
2;null;null;;;;;Mai;57,6;21.425
2;null;null;;;;;Jun;29,6;18.622.754
3;139,8;26.444.971;;;;;Jul;0;20.068.414
3;null;null;;;;;Ago;114,2;18.898.925
3;null;null;;;;;Set;169,6;2.190.875
3;null;null;;;;;Out;333;24.538.306
4;26,8;24.845.278;;;;;Nov;166,2;25.335.833
4;null;null;;;;;Dez;47,4;26.524.194
4;null;null;;;;;;;
4;null;null;;;;;;;
5;57,6;21.425;;;;;;;
5;null;null;;;;;;;
5;null;null;;;;;;;
5;null;null;;;;;;;
6;29,6;18.622.754;;;;;;;
6;null;null;;;;;;;
6;null;null;;;;;;;
6;null;null;;;;;;;
7;0;20.068.414;;;;;;;
7;null;null;;;;;;;
7;null;null;;;;;;;
7;null;null;;;;;;;
8;114,2;18.898.925;;;;;;;
8;null;null;;;;;;;
8;null;null;;;;;;;
8;null;null;;;;;;;
9;169,6;2.190.875;;;;;;;
9;null;null;;;;;;;
9;null;null;;;;;;;
9;null;null;;;;;;;
10;333;24.538.306;;;;;;;
10;null;null;;;;;;;
10;null;null;;;;;;;
10;null;null;;;;;;;
11;166,2;25.335.833;;;;;;;
11;null;null;;;;;;;
11;null;null;;;;;;;
11;null;null;;;;;;;
12;47,4;26.524.194;;;;;;;
12;null;null;;;;;;;
12;null;null;;;;;;;
12;null;null;;;;;;;
