time;prec;temp;;;;;;
1;75,8;27.358.065;;;;;;
1;218,6;26.158.737;;;;time;prec;temp
1;null;24.951.478;;;;Jan;147,2;26.156.093
2;null;null;;;;Fev;116,5;25327847,33
2;126,4;25.597.587;;;;Mar;118,4;25117249,33
2;106,6;25.880.747;;;;Abr;49,3;22.802.333
2;null;24.505.208;;;;Mai;59,8;19.500.805
3;null;null;;;;Jun;79,86666667;17.991.191
3;143;24.538.038;;;;Jul;7,7;17.796.455
3;59,2;25.873.656;;;;Ago;51,3;9.658.542
3;153;24.940.054;;;;Set;80;13.170.824
4;null;24.148.148;;;;Out;179,6;24.572.111
4;null;23.210.455;;;;Nov;83,46666667;17.380.529
4;91;21.446.147;;;;Dez;223,6;26.133.627
4;7,6;22.404.583;;;;;;
5;67,8;20.695.559;;;;;;
5;null;null;;;;;;
5;110,8;18.056.989;;;;;;
5;0,8;19.749.866;;;;;;
6;57,2;17.225.556;;;;;;
6;null;null;;;;;;
6;106,8;19.580.139;;;;;;
6;75,6;17.167.877;;;;;;
7;9,2;18.548.522;;;;;;
7;null;null;;;;;;
7;6,2;18.447.446;;;;;;
7;null;16.393.396;;;;;;
8;102,4;17.304.704;;;;;;
8;null;null;;;;;;
8;0,2;2.012.379;;;;;;
8;null;null;;;;;;
9;160;2.088.375;;;;;;
9;null;null;;;;;;
9;0;24.253.273;;;;;;
9;null;null;;;;;;
10;308;23.216.936;;;;;;
10;null;null;;;;;;
10;51,2;25.927.285;;;;;;
10;null;null;;;;;;
11;111,2;249.225;;;;;;
11;139,2;26.800.278;;;;;;
11;0;25.092.083;;;;;;
11;null;null;;;;;;
12;112,6;25.858.602;;;;;;
12;482,2;24.890.188;;;;;;
12;76;25.274.462;;;;;;
12;null;28.511.256;;;;;;
