time;prec;temp;;;;;;
1;210,6;26.948.656;;;;;;
1;163,4;26.585.081;;;;time;prec;time
1;303,8;25.177.151;;;;Jan;225,9333333;26.236.963
2;null;null;;;;Fev;145,0666667;25935278
2;204,8;26.076.488;;;;Mar;137,85;20.327.524
2;152,8;26.136.638;;;;Abr;30,5;24.302.639
2;77,6;25.592.708;;;;Mai;68,6;21.405.725
3;140,4;2.617.043;;;;Jun;49,66666667;19.458.218
3;256,6;25.552.554;;;;Jul;5,133333333;19.550.806
3;89,8;26.794.127;;;;Ago;99,26666667;21.056.282
3;64,6;26.346.371;;;;Set;105,2666667;24.735.232
4;15;24.935.833;;;;Out;257,4;25.080.376
4;40,6;24.430.417;;;;Nov;142,6;26.293.403
4;49;23.499.722;;;;Dez;142,1333333;26.041.532
4;17,4;24.344.583;;;;;;
5;62;21.579.032;;;;;;
5;null;22.434.729;;;;;;
5;100,4;19.723.387;;;;;;
5;43,4;21.885.753;;;;;;
6;27,2;18.909.861;;;;;;
6;null;null;;;;;;
6;17,6;20.703.125;;;;;;
6;104,2;18.761.667;;;;;;
7;0;20.445.699;;;;;;
7;null;null;;;;;;
7;12,2;19.796.102;;;;;;
7;3,2;18.410.618;;;;;;
8;89,8;19.096.535;;;;;;
8;null;null;;;;;;
8;147,8;21.411.828;;;;;;
8;60,2;22.660.484;;;;;;
9;184,6;22.124.306;;;;;;
9;null;null;;;;;;
9;40;25.830.833;;;;;;
9;91,2;26.250.556;;;;;;
10;266,4;24.793.145;;;;;;
10;null;null;;;;;;
10;207,2;26.244.893;;;;;;
10;298,6;24.203.091;;;;;;
11;239,8;25.071.111;;;;;;
11;109,2;27.389.444;;;;;;
11;78,8;25.796.389;;;;;;
11;null;26.916.667;;;;;;
12;94,4;26.340.591;;;;;;
12;219,8;25.555.376;;;;;;
12;112,2;26.228.629;;;;;;
12;null;null;;;;;;
