time;prec;temp;;;;;;
1;null;null;;;;time;prec;temp
1;138,8;null;;;;Jan;164,5833333;23657285,91
1;188;25.955.915;;;;Fev;137,5090909;25646249,7
1;146;25.708.333;;;;Mar;137,5272727;24860130,64
1;79,2;25.576.344;;;;Abr;101,1333333;20953122,73
1;161,2;26.104.324;;;;Mai;112,9333333;17878312,6
1;119,2;26.450.538;;;;Jun;87,275;16904217
1;144,6;26.180.107;;;;Jul;71,13333333;18491535,78
1;111,8;25.904.167;;;;Ago;77,84444444;19860226,33
1;262,8;24.825.941;;;;Set;78,3;19339983,55
1;45;2.761.707;;;;Out;179,8181818;18199019,64
1;215,4;26.123.387;;;;Nov;150,2833333;20351375,82
1;363;24.639.382;;;;Dez;219,1818182;23427615,82
2;null;null;;;;;;
2;85;null;;;;;;
2;null;null;;;;;;
2;100;26.612.787;;;;;;
2;161;25.077.976;;;;;;
2;77;26.371.131;;;;;;
2;90,8;25.421.429;;;;;;
2;173,6;25.786.063;;;;;;
2;208,2;26.272.237;;;;;;
2;206,2;24.539.732;;;;;;
2;124,8;25.905.208;;;;;;
2;132,6;25.665.517;;;;;;
2;153,4;24.810.417;;;;;;
3;null;null;;;;;;
3;72,2;null;;;;;;
3;null;25.203.998;;;;;;
3;57,6;24.573.925;;;;;;
3;228,4;24.245.546;;;;;;
3;166,6;24.163.441;;;;;;
3;74,6;24.818.402;;;;;;
3;31,6;24.229.745;;;;;;
3;150,4;24.896.909;;;;;;
3;272,8;25.486.694;;;;;;
3;142,4;24.719.758;;;;;;
3;38,2;25.758.772;;;;;;
3;278;25.364.247;;;;;;
4;null;null;;;;;;
4;46,8;23.006.806;;;;;;
4;null;22.374.722;;;;;;
4;90,6;22.571.726;;;;;;
4;null;null;;;;;;
4;199;22.479.444;;;;;;
4;159,2;23.154.444;;;;;;
4;98,6;25.030.972;;;;;;
4;175,2;21.659.583;;;;;;
4;27,6;24.162.935;;;;;;
4;null;23.251.961;;;;;;
4;106,4;22.035;;;;;;
4;6,8;22.769.722;;;;;;
5;null;null;;;;;;
5;null;null;;;;;;
5;154,8;18.022.312;;;;;;
5;16,2;18.951.478;;;;;;
5;null;19.950.219;;;;;;
5;124;19.934.181;;;;;;
5;125,4;19.115.591;;;;;;
5;191,8;1.956.129;;;;;;
5;null;null;;;;;;
5;169,8;21.025.134;;;;;;
5;58,4;20.656.989;;;;;;
5;null;null;;;;;;
5;118,2;18.760.618;;;;;;
5;57,8;20.410.475;;;;;;
6;null;null;;;;;;
6;null;null;;;;;;
6;17,6;18.946.111;;;;;;
6;65,2;17.010.556;;;;;;
6;null;null;;;;;;
6;280,4;18.696.679;;;;;;
6;null;1.972.451;;;;;;
6;60,6;19.472.711;;;;;;
6;null;null;;;;;;
6;99;18.278.056;;;;;;
6;24,4;17.539.722;;;;;;
6;28,8;20.365.695;;;;;;
6;122,2;19.855.972;;;;;;
6;null;null;;;;;;
7;17;null;;;;;;
7;null;null;;;;;;
7;null;19.094.245;;;;;;
7;148,2;18.662.366;;;;;;
7;null;null;;;;;;
7;57,8;17.416.135;;;;;;
7;null;null;;;;;;
7;347;18.166.263;;;;;;
7;30,4;18.495.417;;;;;;
7;0,8;18.225.134;;;;;;
7;4,6;19.362.231;;;;;;
7;15;18.415.805;;;;;;
7;19,4;18.586.226;;;;;;
7;null;null;;;;;;
8;null;null;;;;;;
8;null;null;;;;;;
8;0;20.476.543;;;;;;
8;75,6;19.274.866;;;;;;
8;null;null;;;;;;
8;5,2;17.906.452;;;;;;
8;null;null;;;;;;
8;55,6;22.233.333;;;;;;
8;146,6;19.693.145;;;;;;
8;109,8;20.967.473;;;;;;
8;120,2;17.495.968;;;;;;
8;3,4;20.584.946;;;;;;
8;184,2;20.109.311;;;;;;
8;null;null;;;;;;
9;null;null;;;;;;
9;null;null;;;;;;
9;null;22.102.404;;;;;;
9;61;21.174.306;;;;;;
9;36,2;23.280.694;;;;;;
9;49,6;21.515.278;;;;;;
9;141,4;23.210.972;;;;;;
9;211,6;23.228.195;;;;;;
9;50,4;2.030.901;;;;;;
9;22;25.096.667;;;;;;
9;168;2.113.875;;;;;;
9;38,6;23.990.833;;;;;;
9;4,2;24.995.694;;;;;;
9;null;null;;;;;;
10;null;null;;;;;;
10;null;null;;;;;;
10;115,6;21.777.373;;;;;;
10;224,2;23.286.156;;;;;;
10;147,8;24.748.656;;;;;;
10;136;23.026.479;;;;;;
10;90,8;25.767.607;;;;;;
10;186;24.562.231;;;;;;
10;281,8;2.294.625;;;;;;
