time;prec;temp;;;;;;
1;null;null;;;;;;
1;null;null;;;;time;prec;temp
1;null;26.155.587;;;;Jan;171,35;20814724,86
1;152,4;25.708.871;;;;Fev;163,6166667;23103392,56
1;220;251.625;;;;Mar;125,2363636;22759433,13
1;237,8;24.854.663;;;;Abr;99,18;24099546,85
1;253,4;25.553.763;;;;Mai;72,45454545;19397179,08
1;205;2.579.086;;;;Jun;69,11111111;19915156
1;136,6;25.946.505;;;;Jul;36,06666667;20230830,17
1;83,6;26.042.607;;;;Ago;37,96;21705032,6
1;null;null;;;;Set;112,1166667;23209767,86
1;139,4;26.972.697;;;;Out;138,0727273;21660454,69
1;null;26.149.554;;;;Nov;151,82;23260804,17
1;151;26.087.366;;;;Dez;154,2166667;24572332,43
1;166,4;25.435.484;;;;;;
1;145,2;2.750.464;;;;;;
1;165,4;26.917.876;;;;;;
1;null;null;;;;;;
2;null;null;;;;;;
2;null;null;;;;;;
2;null;null;;;;;;
2;null;26.140.678;;;;;;
2;133;25.952.407;;;;;;
2;238;25.146.883;;;;;;
2;146,8;26.059.632;;;;;;
2;149,2;2.621.622;;;;;;
2;286,2;2.533.378;;;;;;
2;121;26.746.408;;;;;;
2;162;25.405.357;;;;;;
2;null;24.924.219;;;;;;
2;105,4;25.914.732;;;;;;
2;null;27.006.945;;;;;;
2;99,8;27.150.446;;;;;;
2;178,2;25.279.464;;;;;;
2;126,4;26.396.953;;;;;;
2;217,4;26.284.358;;;;;;
2;null;26.090.799;;;;;;
3;null;null;;;;;;
3;null;null;;;;;;
3;null;null;;;;;;
3;153;26.014.772;;;;;;
3;null;27.056.659;;;;;;
3;47,4;25.095.968;;;;;;
3;81,6;26.397.177;;;;;;
3;90,4;26.241.667;;;;;;
3;137,4;24.605.038;;;;;;
3;88;25.563.306;;;;;;
3;213;2.517.342;;;;;;
3;143;24.924.597;;;;;;
3;null;25.175.403;;;;;;
3;null;25.269.227;;;;;;
3;null;26.947.688;;;;;;
3;286,6;26.265.393;;;;;;
3;94,6;2.551.534;;;;;;
3;42,6;26.765.726;;;;;;
3;null;null;;;;;;
4;null;null;;;;;;
4;null;null;;;;;;
4;null;null;;;;;;
4;null;23.964.514;;;;;;
4;null;25.541.262;;;;;;
4;110,8;23.550.417;;;;;;
4;1;25.577.639;;;;;;
4;61,6;23.698.472;;;;;;
4;248,8;23.515.833;;;;;;
4;143;23.800.972;;;;;;
4;127,4;22.801.806;;;;;;
4;64,4;23.638.611;;;;;;
4;null;24.167.361;;;;;;
4;null;null;;;;;;
4;166,8;22.602.778;;;;;;
4;14,8;25.497.361;;;;;;
4;53,2;24.937.083;;;;;;
4;null;null;;;;;;
4;null;null;;;;;;
5;null;null;;;;;;
5;null;null;;;;;;
5;null;null;;;;;;
5;null;19.892.477;;;;;;
5;null;null;;;;;;
5;50,6;19.851.987;;;;;;
5;112,2;22.283.185;;;;;;
5;106,6;18.974.829;;;;;;
5;5,4;20.731.334;;;;;;
5;86,2;20.890.591;;;;;;
5;46,4;21.861.559;;;;;;
5;140,6;20.353.495;;;;;;
5;0;20.745.833;;;;;;
5;null;19.477.439;;;;;;
5;173,8;22.406.446;;;;;;
5;47;2.219.422;;;;;;
5;28,2;22.474.731;;;;;;
5;null;null;;;;;;
5;null;null;;;;;;
6;null;null;;;;;;
