time;prec;temp;;;;;;
1;138,4;27.079.973;;;;;;
1;56,8;27.626.075;;;;time;prec;temp
1;86,6;26.644.624;;;;Jan;139,875;27.214.298
1;165;27.320.979;;;;Fev;183,125;23.924.213
1;295,8;26.667.473;;;;Mar;103,4285714;23.369.202
1;63,4;26.962.664;;;;Abr;135;19.010.016
1;null;26.720.573;;;;Mai;123,4333333;21.733.208
1;34,6;28.022.715;;;;Jun;82,15;20.704.950
1;278,4;27.883.602;;;;Jul;43,62857143;17.305.606
1;null;null;;;;Ago;36,71428571;19.786.092
2;114,6;26.677.442;;;;Set;79,46666667;19.452.540
2;259,6;26.785.119;;;;Out;130,46;21.765.073
2;89,2;26.746.875;;;;Nov;154,4;23.830.565
2;147,6;26.743.388;;;;Dez;150,35;19.716.845
2;324,2;26.872.414;;;;;;
2;198,6;2.700.625;;;;;;
2;null;null;;;;;;
2;158;27.221.435;;;;;;
2;173,2;27.646.408;;;;;;
2;null;null;;;;;;
3;173,2;25.412.231;;;;;;
3;117,6;26.662.356;;;;;;
3;151,6;25.359.677;;;;;;
3;30,2;26.287.114;;;;;;
3;null;26.270.347;;;;;;
3;50,8;26.546.909;;;;;;
3;null;null;;;;;;
3;154,2;2.617.808;;;;;;
3;46,4;27.797.177;;;;;;
3;null;null;;;;;;
4;117,4;24.366.528;;;;;;
4;298,2;2.330.125;;;;;;
4;85;24.660.833;;;;;;
4;135,4;25.099.656;;;;;;
4;null;null;;;;;;
4;161,4;23.638.345;;;;;;
4;null;25.417.214;;;;;;
4;66,8;2.493.814;;;;;;
4;80,8;24.073.611;;;;;;
4;null;null;;;;;;
5;66,2;21.594.215;;;;;;
5;74,4;22.139.651;;;;;;
5;null;19.785.638;;;;;;
5;146;22.067.269;;;;;;
5;null;null;;;;;;
5;209,4;23.231.177;;;;;;
5;110,4;22.285.916;;;;;;
5;null;22.370.397;;;;;;
5;134,2;20.391.398;;;;;;
5;null;null;;;;;;
6;197,4;19.961.667;;;;;;
6;201,2;20.763.194;;;;;;
6;71;21.155.139;;;;;;
6;57,8;21.410.888;;;;;;
6;null;null;;;;;;
6;50,8;20.367.053;;;;;;
6;36;18.995.978;;;;;;
6;9,6;21.716.236;;;;;;
6;33,4;21.269.444;;;;;;
6;null;null;;;;;;
7;null;17.937.847;;;;;;
7;16,4;19.348.264;;;;;;
7;126,6;19.793.683;;;;;;
7;98,8;20.614.037;;;;;;
7;13,8;20.093.683;;;;;;
7;0,2;1.986.159;;;;;;
7;0,2;19.859.075;;;;;;
7;49,4;18.812.097;;;;;;
7;null;null;;;;;;
7;null;null;;;;;;
8;null;23.465.761;;;;;;
8;null;null;;;;;;
8;6,2;19.155.511;;;;;;
8;24;22.663.266;;;;;;
8;11;23.906.837;;;;;;
8;86,8;21.745.968;;;;;;
8;64;23.180.856;;;;;;
8;55,6;1.961.662;;;;;;
8;9,4;22.208.871;;;;;;
8;null;null;;;;;;
8;null;null;;;;;;
9;79,2;24.009.861;;;;;;
9;64,8;25.464.444;;;;;;
9;48,6;23.627.083;;;;;;
9;45,4;26.190.163;;;;;;
9;197,8;24.877.736;;;;;;
9;21;21.831.316;;;;;;
9;11,4;26.237.639;;;;;;
9;232;226.241;;;;;;
9;15;2.608.375;;;;;;
9;null;null;;;;;;
9;null;null;;;;;;
10;71,8;26.166.398;;;;;;
10;111,6;26.989.113;;;;;;
10;207,4;2.470.457;;;;;;
10;7,8;28.531.013;;;;;;
10;170,4;26.230.739;;;;;;
10;73,6;25.674.731;;;;;;
10;202,4;25.676.736;;;;;;
10;329;26.036.676;;;;;;
10;74,6;27.266.129;;;;;;
10;null;null;;;;;;
10;56;2.608.742;;;;;;
11;129,6;26.334.444;;;;;;
11;154,4;26.941.389;;;;;;
11;118,6;26.815;;;;;;
11;284;25.750.851;;;;;;
11;174,4;26.644.577;;;;;;
11;64;25.904.306;;;;;;
11;169,4;25.654.028;;;;;;
11;182,6;25.945.725;;;;;;
11;112,6;28.133.611;;;;;;
11;null;null;;;;;;
11;null;26.969.904;;;;;;
12;48,6;2.704.543;;;;;;
12;71,2;28.102.016;;;;;;
12;109,2;27.308.468;;;;;;
12;137;26.618.011;;;;;;
12;209,4;26.854.728;;;;;;
12;303;26.147.598;;;;;;
12;null;2.637.556;;;;;;
12;111,6;27.050.368;;;;;;
12;212,8;26.901.613;;;;;;
12;null;null;;;;;;
12;null;2.843.549;;;;;;
