time;prec;temp;;;;;;
1;166,8;24.674.088;;;;time;prec;temp
1;264;25.680.218;;;;Jan;198,76;20.092.195
1;118,6;2.597.043;;;;Fev;187,14;23.883.589
1;238,8;25.982.258;;;;Mar;173,2;23.302.345
1;158;26.071.505;;;;Abr;107,0666667;21.488.391
1;207,2;26.145.699;;;;Mai;108,66;20.165.636
1;141,2;2.638.695;;;;Jun;96,85454545;18953205
1;null;26.059.274;;;;Jul;63,24615385;17.682.086
1;209,4;26.020.027;;;;Ago;53,95;16.315.925
1;345,4;25.104.167;;;;Set;114,36;20.475.711
1;138,2;27.484.274;;;;Out;170,32;22.619.798
1;null;2.649.086;;;;Nov;169,5272727;22.736.056
1;null;null;;;;Dez;169,9272727;21.984.733
2;190,6;25.568.642;;;;;;
2;110,2;26.806.696;;;;;;
2;287,4;25.322.024;;;;;;
2;181,2;26.110.345;;;;;;
2;175,8;25.524.554;;;;;;
2;169,6;26.145.982;;;;;;
2;334;25.559.821;;;;;;
2;null;26.005.891;;;;;;
2;128,6;2.653.125;;;;;;
2;162,4;24.731.994;;;;;;
2;131,6;25.983.185;;;;;;
2;null;26.190.805;;;;;;
2;null;null;;;;;;
3;28;26.055.376;;;;;;
3;81;25.919.086;;;;;;
3;137;24.711.642;;;;;;
3;128,8;24.458.468;;;;;;
3;340,2;24.558.908;;;;;;
3;134,4;24.486.425;;;;;;
3;null;24.917.869;;;;;;
3;null;24.548.253;;;;;;
3;167,6;25.388.978;;;;;;
3;339,4;25.664.247;;;;;;
3;202,4;2.512.836;;;;;;
3;null;26.406.048;;;;;;
3;null;null;;;;;;
4;0;24.627.083;;;;;;
4;61,4;23.327.917;;;;;;
4;127,8;22.880.833;;;;;;
4;157,8;22.894.306;;;;;;
4;156;21.868.056;;;;;;
4;123;23.050.139;;;;;;
4;null;23.035.555;;;;;;
4;null;25.385.972;;;;;;
4;189,6;22.075.972;;;;;;
4;6,8;24.674.861;;;;;;
4;141,2;23.814.167;;;;;;
4;null;225.825;;;;;;
4;null;null;;;;;;
5;54,6;21.470.296;;;;;;
5;201,4;18.303.763;;;;;;
5;27,8;19.287.769;;;;;;
5;51,2;20.342.742;;;;;;
5;124;20.748.118;;;;;;
5;158,2;19.455.511;;;;;;
5;162,2;20.008.602;;;;;;
5;null;18.302.688;;;;;;
5;146;21.805.107;;;;;;
5;78,6;21.233.602;;;;;;
5;82,6;21.833.199;;;;;;
5;null;19.196.237;;;;;;
5;null;null;;;;;;
6;null;null;;;;;;
6;160,4;16.970.833;;;;;;
6;10;19.926.111;;;;;;
6;77,4;17.696.806;;;;;;
6;273,2;18.807.778;;;;;;
6;255;19.286.932;;;;;;
6;51,8;19.882.083;;;;;;
6;30,4;19.944.444;;;;;;
6;19,2;16.315.417;;;;;;
6;106,8;19.012.778;;;;;;
6;19,8;18.106.111;;;;;;
6;61,4;21.116.945;;;;;;
6;null;20.372.222;;;;;;
6;null;null;;;;;;
7;13,6;21.108.468;;;;;;
7;138,8;17.594.355;;;;;;
7;85,8;18.551.478;;;;;;
7;93,8;19.665.726;;;;;;
7;19,4;18.247.312;;;;;;
7;7,6;18.202.554;;;;;;
7;189,6;18.388.172;;;;;;
7;226,2;18.839.247;;;;;;
7;21;19.283.333;;;;;;
7;3,2;19.012.903;;;;;;
7;3;19.827.151;;;;;;
7;19,4;1.816.586;;;;;;
7;0,8;19.329.839;;;;;;
7;null;null;;;;;;
8;202,4;21.243.414;;;;;;
8;122,4;20.665.417;;;;;;
8;3,8;20.095.562;;;;;;
8;46,8;20.448.118;;;;;;
8;19,2;22.489.861;;;;;;
8;4,8;18.759.274;;;;;;
8;16;21.710.215;;;;;;
8;39,6;23.156.308;;;;;;
8;29,2;2.040.215;;;;;;
8;87,4;2.196.586;;;;;;
8;72,6;1.829.543;;;;;;
8;3,2;21.156.586;;;;;;
8;null;null;;;;;;
8;null;null;;;;;;
9;96,2;20.030.833;;;;;;
9;108,2;21.155.556;;;;;;
9;255,8;22,38;;;;;;
9;51,8;21.989.167;;;;;;
9;100,4;23.603.194;;;;;;
9;129,4;22.129.028;;;;;;
9;140,6;24.188.889;;;;;;
9;null;null;;;;;;
9;null;null;;;;;;
9;14,2;25.622.222;;;;;;
9;212,4;21.448.889;;;;;;
9;34,6;24.589.306;;;;;;
9;null;null;;;;;;
9;null;null;;;;;;
10;119,4;24.471.371;;;;;;
10;187,6;23.791.248;;;;;;
