time;prec;temp;;;;;;
1;262,6;26.736.828;;;;;;
1;349,4;26.352.285;;;;time;prec;temp
1;270,4;26.336.559;;;;Jan;183,56;24.864.729
1;158,8;27.093.247;;;;Fev;116,36;24.263.170
1;null;26.376.794;;;;Mar;122,5;21.736.336
1;157;26.813.073;;;;Abr;118,92;22.840.540
1;78;2.773.293;;;;Mai;112,8;20.308.726
1;52,6;27.212.097;;;;Jun;69,31428571;17.402.498
1;13,4;27.909.929;;;;Jul;29,13333333;17.307.498
1;367,2;26.985.349;;;;Ago;31,67272727;20.759.338
1;126,2;27.028.629;;;;Set;61,69090909;25.583.444
1;null;26.758.664;;;;Out;123,3090909;26.640.887
1;null;null;;;;Nov;118,0363636;24.644.461
1;null;null;;;;Dez;166,2545455;27.258.937
1;null;null;;;;;;
2;156;26.681.729;;;;;;
2;157,2;26.331.466;;;;;;
2;113;26.682.346;;;;;;
2;117,4;27.713.244;;;;;;
2;null;null;;;;;;
2;69,6;26.850.862;;;;;;
2;101,4;26.824.405;;;;;;
2;127,4;26.875;;;;;;
2;10,8;27.009.524;;;;;;
2;151,8;27.443.391;;;;;;
2;159;27.067.857;;;;;;
2;null;null;;;;;;
2;null;null;;;;;;
2;null;null;;;;;;
2;null;null;;;;;;
3;44;2.690.548;;;;;;
3;51,4;26.289.785;;;;;;
3;116,4;26.908.468;;;;;;
3;88,6;27.438.575;;;;;;
3;null;null;;;;;;
3;199;25.765.995;;;;;;
3;177,4;2.683.592;;;;;;
3;283,4;25.924.866;;;;;;
3;null;null;;;;;;
3;109,8;26.094.489;;;;;;
3;60;26.897.043;;;;;;
3;null;null;;;;;;
3;95;26.669.998;;;;;;
3;null;null;;;;;;
3;null;null;;;;;;
4;68;26.101.395;;;;;;
4;107;24.355.417;;;;;;
4;0;26.023.889;;;;;;
4;66;24.850.556;;;;;;
4;null;null;;;;;;
4;81;25.075.694;;;;;;
4;422,8;24.010.833;;;;;;
4;25,8;25.471.945;;;;;;
4;null;null;;;;;;
4;51,4;2.589.125;;;;;;
4;236,8;24.354.583;;;;;;
4;null;null;;;;;;
4;130,4;25.571.963;;;;;;
4;null;null;;;;;;
4;null;null;;;;;;
5;77,4;21.158.158;;;;;;
5;128;20.896.075;;;;;;
5;69,2;23.923.363;;;;;;
5;60,2;2.008.959;;;;;;
5;null;null;;;;;;
5;94,4;22.231.048;;;;;;
5;86,2;22.868.011;;;;;;
5;273,2;21.281.183;;;;;;
5;null;null;;;;;;
5;116;21.293.011;;;;;;
5;null;24.432.292;;;;;;
5;null;null;;;;;;
5;110,6;22.995.161;;;;;;
5;null;null;;;;;;
5;null;null;;;;;;
6;0,2;21.105.211;;;;;;
6;11,8;1.972.013;;;;;;
6;null;20.038.333;;;;;;
6;5,8;21.533.841;;;;;;
6;15,4;20.427.778;;;;;;
6;153,2;20.824.167;;;;;;
6;230,8;21.641.604;;;;;;
6;68;21.620.278;;;;;;
6;null;null;;;;;;
6;null;19.409.921;;;;;;
6;null;20.632.895;;;;;;
6;null;null;;;;;;
6;null;2.221.434;;;;;;
6;null;null;;;;;;
6;null;null;;;;;;
7;32,2;20.550.474;;;;;;
7;15,6;2.209.543;;;;;;
7;null;22.115.482;;;;;;
7;15,4;21.376.122;;;;;;
7;22,2;21.310.081;;;;;;
7;13,8;1.956.707;;;;;;
7;41,6;20.103.226;;;;;;
7;117,4;20.256.317;;;;;;
7;null;null;;;;;;
7;2,2;20.724.059;;;;;;
7;1,8;20.182.392;;;;;;
7;null;null;;;;;;
7;null;19.598.077;;;;;;
7;null;null;;;;;;
7;null;null;;;;;;
8;5,8;21.393.309;;;;;;
8;27,6;24.274.425;;;;;;
8;137,8;223.451;;;;;;
8;0;22.141.963;;;;;;
8;11,4;22.781.855;;;;;;
8;4,4;23.656.806;;;;;;
8;0,8;19.849.194;;;;;;
8;46,8;23.054.973;;;;;;
8;5,8;24.485.349;;;;;;
