time;prec;temp;;;;;;
1;282,2;27.428.898;;;;time;prec;temp
1;391,6;26.467.339;;;;Jan;186,8727273;27.385.409
1;85,8;26.708.164;;;;Fev;144,94;27.142.202
1;182,2;26.901.854;;;;Mar;118,7555556;24.981.202
1;null;null;;;;Abr;54,5;25473421,89
1;211,6;26.877.823;;;;Mai;59,11111111;22848722,78
1;138,6;27.931.317;;;;Jun;23,7;15089374,22
1;99;26.826.478;;;;Jul;5,428571429;18.888.622
1;67,4;27.754.149;;;;Ago;28,37777778;16.551.926
1;null;null;;;;Set;33,9;25.232.617
1;281,6;27.529.301;;;;Out;84,24;25.082.759
1;237,4;27.194.624;;;;Nov;136,24;23.037.372
1;78,2;28.135.887;;;;Dez;144,5;27.463.912
1;null;28.869.079;;;;;;
1;null;null;;;;;;
2;208;27.015.781;;;;;;
2;161,8;27.032.615;;;;;;
2;145,2;27.090.246;;;;;;
2;64;27.922.024;;;;;;
2;null;null;;;;;;
2;115,8;26.819.253;;;;;;
2;54,6;26.989.583;;;;;;
2;72,6;26.297.321;;;;;;
2;224,8;27.006.101;;;;;;
2;null;27.759.201;;;;;;
2;119,8;27.352.083;;;;;;
2;282,8;26.972.619;;;;;;
2;null;26.836.823;;;;;;
2;null;27.754.979;;;;;;
2;null;null;;;;;;
3;null;27.076.521;;;;;;
3;118,6;26.684.409;;;;;;
3;204,4;2.698.172;;;;;;
3;65,6;27.723.925;;;;;;
3;null;null;;;;;;
3;101,4;26.324.765;;;;;;
3;134,2;27.069.396;;;;;;
3;136,6;26.631.944;;;;;;
3;127,2;26.390.188;;;;;;
3;76;26.668.817;;;;;;
3;104,8;27.124.866;;;;;;
3;null;28.359.783;;;;;;
3;null;27.021.635;;;;;;
3;null;null;;;;;;
3;null;null;;;;;;
4;null;null;;;;;;
4;28;25.086.782;;;;;;
4;26,4;25.635.972;;;;;;
4;10,4;25.085.139;;;;;;
4;null;null;;;;;;
4;87;25.824.444;;;;;;
4;73,2;24.513.056;;;;;;
4;null;null;;;;;;
4;68;26.182.083;;;;;;
4;37,6;26.130.556;;;;;;
4;105,4;25.084.583;;;;;;
4;null;null;;;;;;
4;null;25.718.182;;;;;;
4;null;null;;;;;;
4;null;null;;;;;;
5;null;null;;;;;;
5;94,2;21.712.564;;;;;;
5;52,4;23.476.075;;;;;;
5;71,2;20.809.543;;;;;;
5;null;null;;;;;;
5;59,2;22.621.371;;;;;;
5;29,6;22.916.668;;;;;;
5;null;null;;;;;;
5;43,8;23.936.156;;;;;;
5;27,4;22.039.919;;;;;;
5;92,4;24.488.978;;;;;;
5;null;null;;;;;;
5;61,8;23.637.231;;;;;;
5;null;null;;;;;;
5;null;null;;;;;;
6;null;null;;;;;;
6;24,2;2.018.561;;;;;;
6;13,4;20.407.015;;;;;;
6;7,8;22.000.417;;;;;;
6;null;null;;;;;;
6;48,2;213.275;;;;;;
6;null;22.865.625;;;;;;
6;null;null;;;;;;
6;0,2;22.594.722;;;;;;
6;37;1.898.875;;;;;;
6;38,6;21.265.139;;;;;;
6;null;null;;;;;;
6;20,2;22.540.739;;;;;;
6;null;null;;;;;;
6;null;null;;;;;;
7;null;19.278.897;;;;;;
7;0,6;22.044.086;;;;;;
7;28;21.738.056;;;;;;
7;2;2.037.553;;;;;;
7;null;null;;;;;;
7;3,2;19.919.086;;;;;;
7;null;18.540.281;;;;;;
7;null;null;;;;;;
7;null;21.902.419;;;;;;
7;0,2;21.057.258;;;;;;
7;0,6;20.295.699;;;;;;
7;3,4;20.529.028;;;;;;
7;null;20.432.478;;;;;;
7;null;null;;;;;;
7;null;null;;;;;;
8;null;24.335.879;;;;;;
8;0;20.637.891;;;;;;
8;4,6;244.125;;;;;;
8;59,2;22.955.914;;;;;;
8;0;22.176.311;;;;;;
8;null;null;;;;;;
8;0,2;24.010.417;;;;;;
8;0;2.062.836;;;;;;
8;null;null;;;;;;
8;null;null;;;;;;
8;85,6;22.967.339;;;;;;
8;81,4;24.053.091;;;;;;
8;24,4;2.075.457;;;;;;
8;null;null;;;;;;
8;null;null;;;;;;
8;null;null;;;;;;
9;29,6;24.707.041;;;;;;
9;0;26.661.528;;;;;;
9;40,8;23.560.833;;;;;;
9;2,4;25.134.028;;;;;;
9;27,8;26.426.111;;;;;;
9;null;null;;;;;;
9;82,6;26.774.861;;;;;;
9;35;25.296.902;;;;;;
9;null;null;;;;;;
9;null;null;;;;;;
9;26,8;23.165.972;;;;;;
9;6,6;26.049.444;;;;;;
9;87,4;24.549.445;;;;;;
9;null;null;;;;;;
9;null;null;;;;;;
9;null;null;;;;;;
10;111,4;26.974.328;;;;;;
10;75,8;27.544.057;;;;;;
10;87,6;26.934.028;;;;;;
10;55,2;27.903.305;;;;;;
10;99;2.603.078;;;;;;
10;null;null;;;;;;
10;67;28.094.355;;;;;;
10;19;27.175.538;;;;;;
10;null;null;;;;;;
10;null;27.564.493;;;;;;
10;53;26.771.201;;;;;;
10;223;26.701.613;;;;;;
10;51,4;27.644.355;;;;;;
10;null;null;;;;;;
10;null;null;;;;;;
10;null;null;;;;;;
11;174;26.738.933;;;;;;
11;174,2;2.694.842;;;;;;
11;110,6;27.492.114;;;;;;
11;84;28.729.722;;;;;;
11;118,8;25.707.778;;;;;;
11;44,8;27.486.806;;;;;;
11;147;27.573.056;;;;;;
11;null;27.655.769;;;;;;
11;null;25.949.846;;;;;;
11;null;null;;;;;;
11;139,4;2.628.875;;;;;;
11;124,4;26.873.333;;;;;;
11;245,2;26.917.385;;;;;;
11;null;null;;;;;;
11;null;null;;;;;;
11;null;null;;;;;;
12;209,2;27.092.561;;;;;;
12;105,8;26.958.468;;;;;;
12;121;27.286.156;;;;;;
12;211;27.657.661;;;;;;
12;null;null;;;;;;
12;64,2;27.557.124;;;;;;
12;83,2;28.277.151;;;;;;
12;132,2;27.761.425;;;;;;
12;87,6;27.320.833;;;;;;
12;null;null;;;;;;
12;218,6;27.309.946;;;;;;
12;336,4;27.156.989;;;;;;
12;51,2;27.619.489;;;;;;
12;113,6;27.569.136;;;;;;
12;null;null;;;;;;
12;null;null;;;;;;
