time;prec;temp;;;;;;
1;76,2;27.356.048;;;;;;
1;167,6;27.153.763;;;;time;prec;time
1;null;null;;;;Jan;121,9;27.254.906
2;null;null;;;;Fev;161;26203607
2;144,8;26.334.226;;;;Mar;70;14555780
2;177,2;26.072.988;;;;Abr;68,2;22886806
2;null;null;;;;Mai;53,6;20.450.941
3;null;null;;;;Jun;42,4;9.621.371
3;null;2.545.408;;;;Jul;1,9;20.779.368
3;70;26.566.152;;;;Ago;157;21.122.850
3;null;null;;;;Set;64,93333333;25.456.637
4;null;null;;;;Out;257;25.288.643
4;null;null;;;;Nov;182,4;26.615.787
4;68,2;22.886.806;;;;Dez;158,4666667;18.907.451
4;null;null;;;;;;
5;38,2;21.216.667;;;;;;
5;null;null;;;;;;
5;69;19.685.215;;;;;;
5;null;null;;;;;;
6;35,8;19.221.667;;;;;;
6;null;null;;;;;;
6;49;21.075;;;;;;
6;null;null;;;;;;
7;2;21.261.962;;;;;;
7;null;null;;;;;;
7;1,8;20.296.774;;;;;;
7;null;null;;;;;;
8;92;20.312.634;;;;;;
8;null;null;;;;;;
8;222;21.933.065;;;;;;
8;null;null;;;;;;
9;137,2;23.229.305;;;;;;
9;null;null;;;;;;
9;26,4;26.303.801;;;;;;
9;31,2;26.836.806;;;;;;
10;178,4;26.017.876;;;;;;
10;null;null;;;;;;
10;null;null;;;;;;
10;335,6;24.559.409;;;;;;
11;295,2;26.159.167;;;;;;
11;141,6;27.452.639;;;;;;
11;null;null;;;;;;
11;110,4;26.235.555;;;;;;
12;106,2;27.072.446;;;;;;
12;313,8;2.604.879;;;;;;
12;null;null;;;;;;
12;55,4;27.045.027;;;;;;
