time;prec;temp;;;;;;
1;255,4;26.816.263;;;;;;
1;null;null;;;;time;prec;temp
1;null;null;;;;Jan;255,4;26.816.263
2;null;25.814.474;;;;Fev;#DIV/0!;25.814.474
2;null;null;;;;Mar;#DIV/0!;#DIV/0!
2;null;null;;;;Abr;#DIV/0!;25.148.958
3;null;null;;;;Mai;40;21.954.973
3;null;null;;;;Jun;31,4;19.825.417
3;null;null;;;;Jul;0;21.606.855
4;null;25.148.958;;;;Ago;118,8;21.638.909
4;null;null;;;;Set;89,2;24.607.639
4;null;null;;;;Out;335;2.409.543
4;null;null;;;;Nov;129;25.611.111
5;40;21.954.973;;;;Dez;198,2;26.755.309
5;null;null;;;;;;
5;null;null;;;;;;
5;null;null;;;;;;
6;31,4;19.825.417;;;;;;
6;null;null;;;;;;
6;null;null;;;;;;
6;null;null;;;;;;
7;0;21.606.855;;;;;;
7;null;null;;;;;;
7;null;null;;;;;;
7;null;null;;;;;;
8;118,8;19.120.564;;;;;;
8;null;null;;;;;;
8;null;null;;;;;;
8;null;24.157.253;;;;;;
9;170,4;22.383.333;;;;;;
9;null;null;;;;;;
9;null;null;;;;;;
9;8;26.831.944;;;;;;
10;335;2.440.121;;;;;;
10;null;null;;;;;;
10;null;null;;;;;;
10;null;2.378.965;;;;;;
11;129;24.881.111;;;;;;
11;null;null;;;;;;
11;null;null;;;;;;
11;null;26.341.111;;;;;;
12;198,2;26.276.344;;;;;;
12;null;null;;;;;;
12;null;null;;;;;;
12;null;27.234.274;;;;;;
