time;prec;temp;;;;;;
1;560,8;25.250.269;;;;time;prec;temp
1;null;null;;;;Jan;235;20.848.016
1;308,6;24.968.151;;;;Fev;179,2;26.280.510
1;344,2;2.526.206;;;;Mar;150,4333333;20.145.932
1;null;null;;;;Abr;58,525;22.644.642
1;null;null;;;;Mai;61,9;18.079.796
1;190;25.957.393;;;;Jun;20,8;21.096.167
1;101;26.475;;;;Jul;22,7;19.581.824
1;96;27.842.835;;;;Ago;16,5;18.875.722
1;null;null;;;;Set;41,875;23.609.095
1;null;null;;;;Out;81,71111111;21.755.857
1;null;26.411.775;;;;Nov;41,875;24.447.362
1;44,4;27.905.029;;;;Dez;211,4444444;24.300.795
1;null;26.744.011;;;;;;
1;null;null;;;;;;
2;98,2;26.029.167;;;;;;
2;null;null;;;;;;
2;180;25.750.505;;;;;;
2;null;26.399.256;;;;;;
2;null;null;;;;;;
2;null;null;;;;;;
2;252,8;25.705.804;;;;;;
2;171,8;26.832.292;;;;;;
2;193,2;26.295.685;;;;;;
2;null;27.334.039;;;;;;
2;null;null;;;;;;
2;null;25.897.331;;;;;;
2;null;null;;;;;;
2;null;null;;;;;;
2;null;null;;;;;;
3;136,4;26.118.145;;;;;;
3;null;null;;;;;;
3;166,6;2.564.543;;;;;;
3;null;null;;;;;;
3;null;null;;;;;;
3;null;null;;;;;;
3;218,8;25.711.638;;;;;;
3;181,8;25.605.242;;;;;;
3;153,2;25.108.333;;;;;;
3;null;null;;;;;;
3;null;26.007.917;;;;;;
3;45,8;27.407.065;;;;;;
3;null;2.644.575;;;;;;
3;null;null;;;;;;
3;null;null;;;;;;
4;86,2;25.577.011;;;;;;
4;null;null;;;;;;
4;13,2;24.168.611;;;;;;
4;null;null;;;;;;
4;null;null;;;;;;
4;null;null;;;;;;
4;94,2;2.335.625;;;;;;
4;87,2;25.490.278;;;;;;
4;53,8;25.278.194;;;;;;
4;57;25.937.054;;;;;;
4;32,4;24.475.833;;;;;;
4;44,2;24.877.808;;;;;;
4;null;25.661.368;;;;;;
4;null;null;;;;;;
4;null;null;;;;;;
5;102,4;21.688.176;;;;;;
5;null;null;;;;;;
5;35,4;22.255.376;;;;;;
5;null;null;;;;;;
5;null;2.080.699;;;;;;
5;null;null;;;;;;
5;20,6;22.511.021;;;;;;
5;16,6;21.627.419;;;;;;
5;124,6;22.348.118;;;;;;
5;155,8;21.485.997;;;;;;
5;34;23.941.263;;;;;;
5;5,8;22.638.172;;;;;;
5;null;221.721;;;;;;
5;null;null;;;;;;
5;null;null;;;;;;
6;4,4;20.822.247;;;;;;
6;null;21.093.087;;;;;;
6;37;19.433.056;;;;;;
6;null;21.890.625;;;;;;
6;null;19.313.695;;;;;;
6;null;null;;;;;;
6;79,2;22.526.667;;;;;;
6;8;21.765.139;;;;;;
6;34,4;21.259.861;;;;;;
6;null;19.294.765;;;;;;
6;0,4;21.157.917;;;;;;
6;0;22.514.583;;;;;;
6;3;22.082.361;;;;;;
6;null;null;;;;;;
6;null;null;;;;;;
7;43,2;20.157.605;;;;;;
7;null;null;;;;;;
7;11,8;21.423.387;;;;;;
7;0,4;22.313.978;;;;;;
7;null;22.114.831;;;;;;
7;null;null;;;;;;
7;24,4;1.982.337;;;;;;
7;102,4;21.154.839;;;;;;
7;37,8;21.833.871;;;;;;
7;2,2;20.990.457;;;;;;
7;0;20.016.801;;;;;;
7;0;22.187.634;;;;;;
7;4,8;21.224.328;;;;;;
7;null;null;;;;;;
7;null;null;;;;;;
8;0;22.544.822;;;;;;
8;null;null;;;;;;
8;12,2;22.691.528;;;;;;
8;null;21.014.845;;;;;;
8;16;23.363.307;;;;;;
8;null;null;;;;;;
8;0;21.426.613;;;;;;
8;0;23.418.548;;;;;;
8;12,6;23.239.785;;;;;;
8;41,2;22.529.435;;;;;;
8;20;22.919.758;;;;;;
8;10;22,5;;;;;;
8;53;23.336.425;;;;;;
8;null;23.575;;;;;;
8;null;null;;;;;;
9;23,2;26.753.333;;;;;;
9;null;null;;;;;;
9;24,4;24.626.208;;;;;;
9;null;null;;;;;;
9;null;25.254.861;;;;;;
9;null;27.313.826;;;;;;
9;15,4;24.759.583;;;;;;
9;null;25.939.862;;;;;;
9;57,4;2.577.375;;;;;;
9;51,2;23.256.389;;;;;;
9;2,4;26.874.444;;;;;;
9;88,8;25.081.389;;;;;;
9;72,2;27.262.778;;;;;;
9;null;null;;;;;;
9;null;null;;;;;;
10;76,8;27.563.055;;;;;;
10;87;2.635.121;;;;;;
10;34,4;25.116.142;;;;;;
10;null;25.174.242;;;;;;
10;null;null;;;;;;
10;null;null;;;;;;
10;122,8;2.575.121;;;;;;
10;null;null;;;;;;
10;83,8;27.368.952;;;;;;
10;42,8;25.676.204;;;;;;
10;100,2;26.910.618;;;;;;
10;139,4;26.544.758;;;;;;
10;48,2;27.994.355;;;;;;
10;null;null;;;;;;
10;null;null;;;;;;
11;null;27.318.954;;;;;;
11;79,6;25.785.632;;;;;;
11;142,4;25.898.816;;;;;;
11;117,8;26.683.333;;;;;;
11;62;25.444.444;;;;;;
11;null;null;;;;;;
11;null;null;;;;;;
11;52,4;26.541.944;;;;;;
11;176,8;25.346.839;;;;;;
11;215;26.521.111;;;;;;
11;118,2;2.581.375;;;;;;
11;176;25.709.861;;;;;;
11;null;25.578.965;;;;;;
11;168,6;27.133.472;;;;;;
11;null;null;;;;;;
11;null;27.270.958;;;;;;
12;399,8;25.780.829;;;;;;
12;null;null;;;;;;
12;182;26.274.392;;;;;;
12;315,6;25.168.145;;;;;;
12;null;null;;;;;;
12;null;null;;;;;;
12;235,8;27.371.102;;;;;;
12;114,4;27.163.172;;;;;;
12;185;2.604.664;;;;;;
12;null;26.431.728;;;;;;
12;130,4;26.289.152;;;;;;
12;246,4;25.872.126;;;;;;
12;93,6;27.139.919;;;;;;
12;null;27.213.511;;;;;;
12;null;null;;;;;;
12;null;null;;;;;;
