time;prec;temp;;;;;;
1;null;null;;;;time;prec;temp
1;null;null;;;;Jan;#DIV/0!;#DIV/0!
1;null;null;;;;Fev;#DIV/0!;#DIV/0!
2;null;null;;;;Mar;142,2;26.280.376
2;null;null;;;;Abr;153,6;24.958.889
2;null;null;;;;Mai;60,6;22.183.333
2;null;null;;;;Jun;0,2;20.900.972
3;142,2;26.280.376;;;;Jul;0;20.916.532
3;null;null;;;;Ago;1,6;22.032.019
3;null;null;;;;Set;#DIV/0!;#DIV/0!
3;null;null;;;;Out;#DIV/0!;#DIV/0!
4;153,6;24.958.889;;;;Nov;#DIV/0!;26.447.685
4;null;null;;;;Dez;#DIV/0!;#DIV/0!
4;null;null;;;;;;
4;null;null;;;;;;
5;60,6;22.183.333;;;;;;
5;null;null;;;;;;
5;null;null;;;;;;
5;null;null;;;;;;
6;0,2;20.900.972;;;;;;
6;null;null;;;;;;
6;null;null;;;;;;
6;null;null;;;;;;
7;0;20.916.532;;;;;;
7;null;null;;;;;;
7;null;null;;;;;;
7;null;null;;;;;;
8;1,6;22.032.019;;;;;;
8;null;null;;;;;;
8;null;null;;;;;;
8;null;null;;;;;;
9;null;null;;;;;;
9;null;null;;;;;;
9;null;null;;;;;;
9;null;null;;;;;;
10;null;null;;;;;;
10;null;null;;;;;;
10;null;null;;;;;;
10;null;null;;;;;;
11;null;26.447.685;;;;;;
11;null;null;;;;;;
11;null;null;;;;;;
11;null;null;;;;;;
12;null;null;;;;;;
12;null;null;;;;;;
12;null;null;;;;;;
12;null;null;;;;;;
