time;prec;temp;;;;;;
1;210,8;28.365.457;;;;time;prec;temp
1;225,4;2.739.879;;;;Jan;140,475;23.937.080
1;78,2;27.351.981;;;;Fev;177,4857143;23.987.750
1;216,2;28.103.299;;;;Mar;97,32;25.165.522
1;null;null;;;;Abr;97,75555556;17.865.591
1;160,8;28.710.215;;;;Mai;123,32;21.829.581
1;58,2;2.900.914;;;;Jun;44,725;20.050.590
1;null;null;;;;Jul;34,11111111;17.494.216
1;147,6;29.108.392;;;;Ago;21,94;19.005.044
1;null;null;;;;Set;42,85454545;21.092.737
1;null;29.552.285;;;;Out;86,82222222;25038938,42
1;null;27.792.876;;;;Nov;156,8545455;27.279.739
1;26,6;30.091.398;;;;Dez;95,55;28.131.704
1;null;28.591.187;;;;;;
1;null;null;;;;;;
2;236,8;27.701.514;;;;;;
2;231;27.064.655;;;;;;
2;126,2;27.563.163;;;;;;
2;162,2;28.631.845;;;;;;
2;null;null;;;;;;
2;213,4;27.961.494;;;;;;
2;170,4;28.553.125;;;;;;
2;null;267.125;;;;;;
2;102,4;28.410.119;;;;;;
2;null;28.700.641;;;;;;
2;null;2.831.756;;;;;;
2;null;26.832.738;;;;;;
2;null;28.952.257;;;;;;
2;null;28.370.313;;;;;;
2;null;null;;;;;;
3;15;27.987.634;;;;;;
3;154,2;26.801.344;;;;;;
3;50,2;28.150.134;;;;;;
3;76,4;28.218.952;;;;;;
3;152,6;26.607.915;;;;;;
3;106,2;2.624.664;;;;;;
3;139;27.022.988;;;;;;
3;218,4;26.078.898;;;;;;
3;35,8;26.902.285;;;;;;
3;25,4;25.984.812;;;;;;
3;null;27.537.769;;;;;;
3;null;26.601.613;;;;;;
3;null;26.632.773;;;;;;
3;null;null;;;;;;
3;null;null;;;;;;
4;63,8;26.392.301;;;;;;
4;67,4;24.232.361;;;;;;
4;1,6;27,1;;;;;;
4;29;248.875;;;;;;
4;126,4;25.256.389;;;;;;
4;199,6;24.795;;;;;;
4;null;25.273.106;;;;;;
4;43,8;25.574.306;;;;;;
4;249,6;26.054.306;;;;;;
4;null;26.160.278;;;;;;
4;null;24.326.806;;;;;;
4;null;26.167.083;;;;;;
4;98,6;2.542.056;;;;;;
4;null;null;;;;;;
4;null;null;;;;;;
5;71,4;20.177.301;;;;;;
5;66;20.982.603;;;;;;
5;61,8;23.808.871;;;;;;
5;160,2;19.533.602;;;;;;
5;19,6;21.363.441;;;;;;
5;120,4;22.305.029;;;;;;
5;null;23.497.977;;;;;;
5;299,4;21.181.183;;;;;;
5;158,2;22.933.065;;;;;;
5;null;19.584.409;;;;;;
5;null;22.766.263;;;;;;
5;150,4;22.918.011;;;;;;
5;125,8;22.732.797;;;;;;
5;null;null;;;;;;
5;null;null;;;;;;
6;0,4;21.613.696;;;;;;
6;27,2;18.273.943;;;;;;
6;22,2;19.149.445;;;;;;
6;4,2;21.503.333;;;;;;
6;8,8;20.439.444;;;;;;
6;null;20.888.782;;;;;;
6;null;null;;;;;;
6;172;20.938.472;;;;;;
6;null;null;;;;;;
6;null;16.722.882;;;;;;
6;null;20.728.611;;;;;;
6;101,4;18.442.325;;;;;;
6;21,6;21.855.556;;;;;;
6;null;null;;;;;;
6;null;null;;;;;;
7;16,4;19.210.881;;;;;;
7;24,8;23.257.527;;;;;;
7;98,4;19.861.351;;;;;;
7;null;2.113.766;;;;;;
7;28,2;21.001.747;;;;;;
7;null;1.881.968;;;;;;
7;null;20.680.929;;;;;;
