time;prec;temp;;;;;;
1;null;null;;;;;;
1;206,2;26.723.521;;;;time;prec;temp
1;186;26.790.323;;;;Jan;207,6666667;26288978,33
1;230,8;25.353.091;;;;Fev;138,6;25918423
2;null;null;;;;Mar;87,53333333;25.974.648
2;163,4;26.131.845;;;;Abr;37,2;16.817.368
2;117;26.119.109;;;;Mai;48,4;20.723.992
2;135,4;25.504.315;;;;Jun;35,6;21603194
3;156,6;26.150.941;;;;Jul;0;21.135.855
3;null;25.415.554;;;;Ago;46,1;22.594.601
3;45,8;26.230.213;;;;Set;60,73333333;18.388.208
3;60,2;26.101.882;;;;Out;170,6666667;26.082.303
4;22;24.245.556;;;;Nov;163,0666667;19.547.142
4;null;null;;;;Dez;169,9;26.276.747
4;60,8;23.759.167;;;;;;
4;28,8;2.447.381;;;;;;
5;25,6;21.839.651;;;;;;
5;null;null;;;;;;
5;71,2;19.608.333;;;;;;
5;null;null;;;;;;
6;null;null;;;;;;
6;null;null;;;;;;
6;35,6;21.603.194;;;;;;
6;null;null;;;;;;
7;null;21.408.135;;;;;;
7;null;null;;;;;;
7;0;20.863.575;;;;;;
7;null;null;;;;;;
8;80,2;20.411.559;;;;;;
8;null;null;;;;;;
8;12;22.295.161;;;;;;
8;null;25.077.083;;;;;;
9;128;229.625;;;;;;
9;null;null;;;;;;
9;36,4;27.617.222;;;;;;
9;17,8;27.317.778;;;;;;
10;134,6;25.768.011;;;;;;
10;null;null;;;;;;
10;105,2;27.251.478;;;;;;
10;272,2;25.227.419;;;;;;
11;173,2;25.144.861;;;;;;
11;null;261.625;;;;;;
11;201,8;26.174.305;;;;;;
11;114,2;26.607.778;;;;;;
12;126,2;26.631.855;;;;;;
12;267,8;25.515.188;;;;;;
12;125,2;26.495.161;;;;;;
12;160,4;26.464.785;;;;;;
