time;prec;temp;;;;;;
1;367,6;24.601.216;;;;;;
1;250,6;25.703.056;;;;time;prec;temp
1;193,4;25.442.608;;;;Jan;164,3636364;23.706.432
1;114,2;25.753.693;;;;Fev;133,3833333;22.261.498
1;90,6;25.710.963;;;;Mar;156,8923077;25.355.987
1;210,8;25.875.941;;;;Abr;78,6;20.075.616
1;172,2;25.800.134;;;;Mai;99,03076923;20.368.382
1;null;null;;;;Jun;65,4;16362852,69
1;181,6;2.550.914;;;;Jul;47,81428571;17.716.716
1;null;24.852.823;;;;Ago;44,12307692;19.767.378
1;118,6;26.652.285;;;;Set;77,7;21.759.589
1;89,8;26.454.032;;;;Out;137,0923077;23.351.529
1;18,6;25.079.517;;;;Nov;134,6714286;19.954.465
2;250,4;25.388.393;;;;Dez;158,0428571;24.170.668
2;188,4;26.322.619;;;;;;
2;297,2;25.574.851;;;;;;
2;116,2;2.604.296;;;;;;
2;61,4;25.765.379;;;;;;
2;166,4;26.241.964;;;;;;
2;148,6;25.869.196;;;;;;
2;null;26.366.346;;;;;;
2;171;26.081.696;;;;;;
2;10,8;24.651.236;;;;;;
2;133,2;26.018.304;;;;;;
2;53;26.030.316;;;;;;
2;4;2.484.881;;;;;;
3;121,4;25.757.527;;;;;;
3;176,4;26.010.618;;;;;;
3;110,2;24.960.097;;;;;;
3;139,8;24.675.318;;;;;;
3;131,6;25.162.775;;;;;;
3;222,2;24.534.409;;;;;;
3;267,2;25.036.828;;;;;;
3;243,4;24.886.828;;;;;;
3;256,8;25.413.172;;;;;;
3;188;26.126.747;;;;;;
3;113,6;25.108.199;;;;;;
3;49,4;26.186.495;;;;;;
3;19,6;25.768.817;;;;;;
4;8,8;24.041.806;;;;;;
4;58;23.046.806;;;;;;
4;154;23.256.806;;;;;;
4;120;23.228.611;;;;;;
4;173,6;21.915;;;;;;
4;83,8;23.249.583;;;;;;
4;104,4;23.510.833;;;;;;
4;74,4;24.890.556;;;;;;
4;138,4;21.937.222;;;;;;
4;9;24.076.945;;;;;;
4;47;24.109.861;;;;;;
4;48;2.217.625;;;;;;
4;2,4;23.394.444;;;;;;
5;70,8;21.370.296;;;;;;
5;112;18.238.827;;;;;;
5;21,8;19.337.266;;;;;;
5;113,2;20.233.029;;;;;;
5;39;21.088.441;;;;;;
5;194,6;19.497.312;;;;;;
5;135,4;20.388.979;;;;;;
5;201,6;19.267.742;;;;;;
5;234,2;22.468.548;;;;;;
5;51,2;20.956.317;;;;;;
5;67,4;21.922.984;;;;;;
5;37,8;18.839.919;;;;;;
5;8,4;21.179.301;;;;;;
6;null;null;;;;;;
6;66,6;17.544.583;;;;;;
6;7,2;19.382.083;;;;;;
6;61,2;17.775.833;;;;;;
6;185,6;19.188.345;;;;;;
6;218,4;19.833.128;;;;;;
6;45,6;2.006.125;;;;;;
6;58;2.007.875;;;;;;
6;48,2;17.095.042;;;;;;
6;83;19.229.028;;;;;;
6;47,6;18.710.278;;;;;;
6;19;21.127.917;;;;;;
6;3,8;20.449.861;;;;;;
6;6;18.366.987;;;;;;
7;8,8;20.904.032;;;;;;
7;111,2;18.567.608;;;;;;
7;33,2;18.799.194;;;;;;
7;88,8;19.809.005;;;;;;
7;25;18.280.517;;;;;;
7;25,6;18.337.804;;;;;;
7;137,4;18.568.414;;;;;;
7;151;1.954.543;;;;;;
7;18;19.356.989;;;;;;
7;0;18.923.118;;;;;;
7;0;19.674.059;;;;;;
7;67,2;18.359.274;;;;;;
7;0,2;19.454.704;;;;;;
7;3;17.044.758;;;;;;
8;53,4;22.098.118;;;;;;
8;202,2;2.034.422;;;;;;
8;0;19.941.801;;;;;;
8;28,4;21.170.296;;;;;;
8;3,4;22.527.832;;;;;;
8;0,8;19.045.699;;;;;;
8;10,8;21.756.317;;;;;;
8;3,6;22.800.134;;;;;;
8;113,6;20.654.839;;;;;;
8;12,6;22.173.925;;;;;;
8;88;18.659.409;;;;;;
8;2;21.540.323;;;;;;
8;54,8;20.989.247;;;;;;
8;null;21.350.926;;;;;;
9;96,8;21.108.889;;;;;;
9;79,4;22.002.917;;;;;;
9;29,4;23.279.861;;;;;;
9;72,2;22.684.167;;;;;;
9;56,2;23.882.271;;;;;;
9;85,4;22.825.972;;;;;;
9;225;24.435;;;;;;
9;180,6;24.090.556;;;;;;
9;12,4;20.833.472;;;;;;
9;1,8;25.997.639;;;;;;
9;168,4;21.653.333;;;;;;
9;28,6;25.113.333;;;;;;
9;22,8;25.090.139;;;;;;
9;28,8;26.047.264;;;;;;
10;110,2;24.983.871;;;;;;
10;167,8;24.363.362;;;;;;
10;114,6;22.696.348;;;;;;
10;257;24.599.768;;;;;;
10;90,4;26.123.247;;;;;;
10;118,8;24.014.444;;;;;;
10;21,2;26.722.043;;;;;;
10;194,2;25.293.145;;;;;;
10;142,8;24.055.511;;;;;;
10;null;24.302.554;;;;;;
10;216;24.936.559;;;;;;
10;67,2;26.474.731;;;;;;
10;33,6;25.914.989;;;;;;
10;248,4;2.440.831;;;;;;
11;155;25.262.361;;;;;;
11;200,6;26.859.861;;;;;;
11;101,6;23.628.472;;;;;;
11;79,6;24.886.806;;;;;;
11;245,4;26.078.593;;;;;;
11;72,8;25.954.306;;;;;;
11;173;24.861.528;;;;;;
11;296,6;252.325;;;;;;
11;85,8;24.935;;;;;;
11;62,8;24.272.778;;;;;;
11;171,2;25.088.333;;;;;;
11;95,2;26.995.417;;;;;;
11;16,4;25.170.755;;;;;;
11;129,4;26.035;;;;;;
12;112,6;2.617.621;;;;;;
12;224,8;25.651.344;;;;;;
12;180,2;25.436.828;;;;;;
12;115,4;25.727.688;;;;;;
12;172,4;26.739.171;;;;;;
12;85,4;26.822.177;;;;;;
12;243;25.718.011;;;;;;
12;194,8;25.641.964;;;;;;
12;168;24.966.667;;;;;;
12;209,4;25.356.183;;;;;;
12;167,8;25.877.823;;;;;;
12;249;25.304.704;;;;;;
12;47,4;26.027.419;;;;;;
12;42,4;26.501.747;;;;;;
