time;prec;temp;;;;;;
1;87,6;27.061.828;;;;;;
1;119;26.650.538;;;;time;prec;temp
1;245,6;25.378.495;;;;Jan;150,7333333;26.363.620
2;null;null;;;;Fev;175,8666667;17801287,33
2;183,2;2.624.628;;;;Mar;69,6;25411228
2;102;25.764.799;;;;Abr;35,13333333;23545829
2;242,4;25.014.435;;;;Mai;41,6;11.298.911
3;null;null;;;;Jun;47,93333333;20.358.717
3;142;24.863.979;;;;Jul;1,333333333;19.605.735
3;13,2;25.598.603;;;;Ago;59,7;10.813.106
3;53,6;25.771.102;;;;Set;50,6;24.663.264
4;null;null;;;;Out;176,2;25.926.143
4;29,8;24.473.876;;;;Nov;87,73333333;25.707.736
4;61,4;22.994.167;;;;Dez;185,5;25.849.093
4;14,2;23.169.444;;;;;;
5;43,2;2.124.879;;;;;;
5;null;2.230.979;;;;;;
5;76,8;19.228.226;;;;;;
5;4,8;21.611.559;;;;;;
6;10,2;19.957.263;;;;;;
6;null;null;;;;;;
6;60,4;21.405.417;;;;;;
6;73,2;19.713.472;;;;;;
7;0;20.682.661;;;;;;
7;null;null;;;;;;
7;2;20.440.188;;;;;;
7;2;17.694.355;;;;;;
8;48,8;194.625;;;;;;
8;null;null;;;;;;
8;70,6;21.431.586;;;;;;
8;null;null;;;;;;
9;87;22.629.444;;;;;;
9;null;null;;;;;;
9;14,2;26.697.083;;;;;;
9;null;null;;;;;;
10;256,4;25.084.409;;;;;;
10;null;null;;;;;;
10;96;26.767.876;;;;;;
10;null;null;;;;;;
11;80,6;25.035.278;;;;;;
11;null;25.899.275;;;;;;
11;68,4;25.945.833;;;;;;
11;114,2;25.950.556;;;;;;
12;140,2;26.329.301;;;;;;
12;267,4;25.303.495;;;;;;
12;218,8;25.981.586;;;;;;
12;115,6;25.781.989;;;;;;
