time;prec;temp;;;;;;
1;203;24.458.766;;;;;;
1;225,4;25.528.472;;;;time;prec;temp
1;null;26.107.243;;;;Jan;158,8;21.763.301
1;89,8;26.956.989;;;;Fev;147,0666667;23.597.913
1;112,8;25.405.511;;;;Mar;132,7555556;22.562.601
1;97,6;2.588.619;;;;Abr;169,2666667;22.515.376
1;159,8;25.797.516;;;;Mai;190,08;17.716.700
1;200,2;2.598.078;;;;Jun;72,11428571;15.038.685
1;117;25.697.984;;;;Jul;45,08888889;16.660.263
1;279,2;24.427.688;;;;Ago;96,92;17.170.818
1;103,2;26.413.844;;;;Set;95,02222222;18.497.498
1;null;25.178.898;;;;Out;208,8444444;21.455.820
1;null;null;;;;Nov;196,08;24.430.078
2;131,2;2.549.321;;;;Dez;177,38;21.053.272
2;160,4;25.941.815;;;;;;
2;null;25.114.595;;;;;;
2;69,8;27.127.874;;;;;;
2;76,4;25.048.066;;;;;;
2;57;26.330.804;;;;;;
2;208,8;24.842.857;;;;;;
2;268,8;25.455.029;;;;;;
2;208,2;25.653.572;;;;;;
2;null;24.843.889;;;;;;
2;143;24.959.226;;;;;;
2;null;25.307.902;;;;;;
2;null;null;;;;;;
3;44;25.706.048;;;;;;
3;127;24.806.989;;;;;;
3;null;24.678.848;;;;;;
3;76,2;25.096.909;;;;;;
3;202,4;2.363.319;;;;;;
3;147,2;23.618.889;;;;;;
3;131,2;24.077.419;;;;;;
3;131,4;23.264.382;;;;;;
3;179;24.625.941;;;;;;
3;null;null;;;;;;
3;156,4;24.060.484;;;;;;
3;null;25.889.382;;;;;;
3;null;null;;;;;;
4;22;23.885.972;;;;;;
4;87,4;22.323.889;;;;;;
4;null;null;;;;;;
4;401,6;22.307.917;;;;;;
4;164,2;21.305.139;;;;;;
4;149,4;21.948.512;;;;;;
4;230,2;22.406.528;;;;;;
4;108,8;24.162.222;;;;;;
4;246,2;20.950.556;;;;;;
4;null;23.953.125;;;;;;
4;113,6;22.616.667;;;;;;
4;null;21.808.611;;;;;;
4;null;null;;;;;;
5;264,4;20.633.611;;;;;;
5;124,8;17.383.602;;;;;;
5;18,4;18.760.349;;;;;;
5;74,2;19.884.946;;;;;;
5;107,4;19.231.399;;;;;;
5;null;19.466.186;;;;;;
5;317;19.120.968;;;;;;
5;312;17.070.564;;;;;;
5;217;20.236.021;;;;;;
5;89,4;2.028.078;;;;;;
5;376,2;20.381.989;;;;;;
5;null;18.402.688;;;;;;
5;null;null;;;;;;
6;null;14.138.816;;;;;;
