time;prec;temp;;;;;;
1;211;24.648.936;;;;;;
1;297,4;2.528.695;;;;time;prec;temp
1;null;24.957.393;;;;Jan;155,9333333;18.676.338
1;133,2;25.354.704;;;;Fev;102,3;21.619.093
1;165,6;2.540.457;;;;Mar;161,4;23.366.147
1;191;24.977.957;;;;Abr;78,98;19.878.930
1;57,2;25.940.095;;;;Mai;94,75;18.997.861
1;null;249.875;;;;Jun;84,42222222;18.280.072
1;267,4;25.253.764;;;;Jul;28,86666667;20.127.652
1;33,4;24.577.285;;;;Ago;29,1;18.688.578
1;47,2;26.531.183;;;;Set;69,3;24152849,18
1;null;26.162.634;;;;Out;87,21818182;22.091.227
1;null;2.467.914;;;;Nov;109,7166667;23.311.892
2;92,4;25.277.841;;;;Dez;102,0833333;25.650.806
2;122,2;26.083.482;;;;;;
2;null;24.917.857;;;;;;
2;153,8;25.572.557;;;;;;
2;83;2.539.003;;;;;;
2;120,4;25.613.244;;;;;;
2;null;25.349.851;;;;;;
2;null;25.734.914;;;;;;
2;77,2;25.548.065;;;;;;
2;104,6;24.510.863;;;;;;
2;64,8;2.594.375;;;;;;
2;null;25.687.069;;;;;;
2;null;null;;;;;;
3;225;25.361.828;;;;;;
3;178;25.933.065;;;;;;
3;null;2.433.174;;;;;;
3;80,8;24.499.328;;;;;;
3;234,2;25.297.557;;;;;;
3;179,2;24.332.124;;;;;;
3;null;25.164.919;;;;;;
3;179,8;24.886.021;;;;;;
3;64;25.024.597;;;;;;
3;null;25.729.704;;;;;;
3;214;25.108.333;;;;;;
3;97,6;26.623.118;;;;;;
3;null;null;;;;;;
4;3,2;24.916.944;;;;;;
4;103,2;23.403.194;;;;;;
4;null;23.568.889;;;;;;
4;119,2;2.353.125;;;;;;
4;237,8;22.364.444;;;;;;
4;69,6;23.604.861;;;;;;
4;null;23.840.139;;;;;;
4;20;251.675;;;;;;
4;132,2;22.224.722;;;;;;
4;11,4;24.512.917;;;;;;
4;18,8;24.310.556;;;;;;
4;74,4;23.195.694;;;;;;
4;null;null;;;;;;
5;62,6;21.986.694;;;;;;
5;46,6;18.848.925;;;;;;
5;null;20.307.796;;;;;;
5;99,6;20.596.102;;;;;;
5;38;22.104.704;;;;;;
5;238,2;20.086.156;;;;;;
5;null;21.010.081;;;;;;
5;111,8;19.783.736;;;;;;
5;null;null;;;;;;
5;11,8;2.171.713;;;;;;
5;null;22.105.833;;;;;;
5;149,4;19.974.731;;;;;;
5;null;null;;;;;;
6;78,8;18.651.806;;;;;;
6;10,8;20.785.972;;;;;;
6;null;19.276.389;;;;;;
6;235,6;19.725.972;;;;;;
6;216,8;20.531.389;;;;;;
6;81;20.500.972;;;;;;
6;null;21.108.333;;;;;;
6;46,6;18.587.351;;;;;;
6;null;null;;;;;;
6;1;19.463.597;;;;;;
6;31;22.236.638;;;;;;
6;58,2;212.375;;;;;;
6;null;null;;;;;;
7;90;19.424.328;;;;;;
7;13,4;19.863.979;;;;;;
7;0;21.040.188;;;;;;
7;26,8;19.573.522;;;;;;
7;48,4;19.544.892;;;;;;
7;null;19.660.081;;;;;;
7;null;20.443.011;;;;;;
7;18;20.698.522;;;;;;
7;null;null;;;;;;
7;0;21.002.823;;;;;;
7;60,8;19.497.177;;;;;;
7;2,4;20.655.645;;;;;;
7;null;null;;;;;;
8;134;21.243.414;;;;;;
8;7,8;2.216.279;;;;;;
8;null;22.248.521;;;;;;
8;4;23.809.306;;;;;;
8;0;2.012.621;;;;;;
8;null;22.879.301;;;;;;
8;null;24.777.016;;;;;;
8;56;21.811.962;;;;;;
8;null;null;;;;;;
8;17,2;19.731.048;;;;;;
8;0;22.412.366;;;;;;
8;13,8;22.432.527;;;;;;
8;null;null;;;;;;
9;null;null;;;;;;
9;121,4;22.412.083;;;;;;
9;59,4;24.266.528;;;;;;
9;null;23.679.028;;;;;;
9;96,6;25.068.056;;;;;;
9;79,6;23.444.722;;;;;;
9;164,4;25.470.278;;;;;;
9;55,2;25.168.611;;;;;;
9;42,4;21.722.778;;;;;;
9;null;null;;;;;;
9;32,2;22.402.361;;;;;;
9;31,4;25.661.063;;;;;;
9;10,4;26.385.833;;;;;;
9;null;null;;;;;;
10;95,6;24.969.444;;;;;;
10;142,4;24.521.264;;;;;;
10;47,6;2.319.086;;;;;;
10;67,4;24.800.134;;;;;;
10;130,8;26.256.452;;;;;;
10;252,2;24.086.559;;;;;;
10;50;26.908.737;;;;;;
10;null;25.509.812;;;;;;
10;18,4;24.519.653;;;;;;
10;79,8;24.853.898;;;;;;
10;67,6;25.291.532;;;;;;
10;null;26.374.059;;;;;;
10;7,6;26.406.452;;;;;;
10;null;2.460.093;;;;;;
11;147,4;25.158.158;;;;;;
11;94,8;26.491.667;;;;;;
11;0;23.852.083;;;;;;
11;183,4;24.965.694;;;;;;
11;184,2;25.879.028;;;;;;
11;158,6;25.764.028;;;;;;
11;139;24.472.083;;;;;;
11;null;25.751.667;;;;;;
11;48,4;25.065.833;;;;;;
11;230,6;24.692.361;;;;;;
11;70;24.978.889;;;;;;
11;51,8;267.825;;;;;;
11;8,4;25.715.278;;;;;;
11;null;null;;;;;;
12;118,6;25.850.806;;;;;;
12;169,4;25.332.796;;;;;;
12;0;25.703.091;;;;;;
12;111,8;25.724.597;;;;;;
12;69,8;26.772.581;;;;;;
12;130,6;26.071.102;;;;;;
12;48;25.143.011;;;;;;
12;0;25.610.618;;;;;;
12;165,8;24.883.871;;;;;;
12;231,6;24.970.968;;;;;;
12;61,4;26.071.505;;;;;;
12;118;25.040.995;;;;;;
12;null;26.284.543;;;;;;
12;null;null;;;;;;
