time;prec;temp;;;;;;
1;215,8;25.081.609;;;;;;
1;190,8;24.186.022;;;;time;prec;temp
1;184,8;25.291.129;;;;Jan;199,7333333;19.434.208
1;259,8;25.029.167;;;;Fev;269,44;24.748.699
1;null;24.852.554;;;;Mar;196,0666667;25.141.547
1;207;2.464.207;;;;Abr;119,64;21.486.687
1;140,2;2.538.871;;;;Mai;54,1;20.096.865
1;null;26.030.107;;;;Jun;16,11428571;19.604.817
1;null;null;;;;Jul;22,1;19.879.178
2;265,4;24.286.756;;;;Ago;5,371428571;21.974.974
2;269;23.987.202;;;;Set;38,2;19.420.284
2;178,4;24.607.292;;;;Out;76,32;26.622.984
2;null;25.662.213;;;;Nov;172,92;22237892,86
2;null;24.596.131;;;;Dez;188,9333333;22.458.963
2;318,4;24.416.071;;;;;;
2;316;25.213.095;;;;;;
2;null;25.220.833;;;;;;
2;null;null;;;;;;
3;183,2;25.203.879;;;;;;
3;283;24.683.065;;;;;;
3;233,4;24.588.038;;;;;;
3;77,6;25.390.323;;;;;;
3;null;25.052.688;;;;;;
3;250,6;25.078.226;;;;;;
3;148,6;25.210.618;;;;;;
3;null;25.925.538;;;;;;
3;null;null;;;;;;
4;45,6;23.845.694;;;;;;
4;88,4;24.756.111;;;;;;
4;197;24.699.722;;;;;;
4;58;25,27;;;;;;
4;null;24.327.083;;;;;;
4;209,2;24.812.778;;;;;;
4;null;24.546.389;;;;;;
4;null;24.905.694;;;;;;
4;null;null;;;;;;
5;24,4;23.261.694;;;;;;
5;72,2;22.325.806;;;;;;
5;101,4;23.186.559;;;;;;
5;1,2;23.195.565;;;;;;
5;55,6;24.334.005;;;;;;
5;69,8;23.175;;;;;;
5;null;23.025.538;;;;;;
5;null;21.422.581;;;;;;
5;null;null;;;;;;
6;73;22.982.879;;;;;;
6;18,6;22.515.972;;;;;;
6;14,6;228.475;;;;;;
6;0;21.311.111;;;;;;
6;2,8;22.064.306;;;;;;
6;3,4;21.459.861;;;;;;
6;0,4;23.220.377;;;;;;
6;null;23.055.556;;;;;;
6;null;null;;;;;;
7;25,4;21.745.699;;;;;;
7;140;2.192.621;;;;;;
7;9;22.942.876;;;;;;
7;0;23.042.876;;;;;;
7;1;21.700.481;;;;;;
7;1,4;22.459.274;;;;;;
7;0;21.713.844;;;;;;
7;0;23.235.753;;;;;;
7;null;null;;;;;;
8;0;2.232.164;;;;;;
8;0,2;24.780.914;;;;;;
8;19;26.020.296;;;;;;
8;0,2;24.018.145;;;;;;
8;null;26.156.205;;;;;;
8;18,2;23.123.253;;;;;;
8;0;24.201.344;;;;;;
8;0;25.267.473;;;;;;
8;null;null;;;;;;
9;52,2;25.315;;;;;;
9;46,8;26.577.361;;;;;;
9;null;null;;;;;;
9;null;24.388.056;;;;;;
9;24,4;2.730.977;;;;;;
9;94;25.584.167;;;;;;
9;11,8;28.047.917;;;;;;
9;0;28.588.195;;;;;;
9;null;null;;;;;;
10;119,4;25.427.016;;;;;;
10;82;27.113.038;;;;;;
10;127,8;26.811.425;;;;;;
10;null;25.547.984;;;;;;
10;null;null;;;;;;
10;null;null;;;;;;
10;45,8;26.777.688;;;;;;
10;6,6;28.060.753;;;;;;
10;null;null;;;;;;
11;null;null;;;;;;
11;175,8;25.240.694;;;;;;
11;218;24.705.833;;;;;;
11;141,6;26.137.917;;;;;;
11;null;24.791.667;;;;;;
11;186,6;25.618.056;;;;;;
11;null;null;;;;;;
11;142,6;2.559.625;;;;;;
11;null;26.611.458;;;;;;
11;null;null;;;;;;
12;130,6;25.764.469;;;;;;
12;182,2;24.692.339;;;;;;
12;354,4;2.446.129;;;;;;
12;108,8;25.928.629;;;;;;
12;null;25.070.161;;;;;;
12;null;24.747.396;;;;;;
12;214,4;25.595.161;;;;;;
12;143,2;25.427.419;;;;;;
12;null;null;;;;;;
12;null;null;;;;;;
