time;prec;temp;;;;;;
1;249;23.159.409;;;;time;prec;temp
1;61,4;22.554.167;;;;Jan;169,52;19.352.137
1;null;null;;;;Fev;130,9777778;19.325.142
1;null;null;;;;Mar;164,3333333;17.998.570
1;null;null;;;;Abr;97,14;18.071.073
1;370,8;2.232.379;;;;Mai;39,9;19.293.931
1;166;23.218.548;;;;Jun;20,61818182;17.361.206
1;170,4;23.092.339;;;;Jul;14,05454545;15.417.004
1;97,8;24.602.735;;;;Ago;8;16.416.728
1;249,2;23.492.742;;;;Set;29,82;24.278.375
1;null;22.021.614;;;;Out;76,57777778;22.249.699
1;49;23.225;;;;Nov;146,7;23.326.978
1;205,4;24.068.817;;;;Dez;147,54;19257606,2
1;76,2;24.407.527;;;;;;
1;null;null;;;;;;
2;64;234.919;;;;;;
2;89,2;22.395.259;;;;;;
2;null;null;;;;;;
2;null;null;;;;;;
2;null;null;;;;;;
2;286,6;2.346.681;;;;;;
2;47;22.850.893;;;;;;
2;147,2;23.464.732;;;;;;
2;195,4;23.282.441;;;;;;
2;168,8;24.253.305;;;;;;
2;83,6;23.591.964;;;;;;
2;97;23.059.673;;;;;;
2;null;23.689.667;;;;;;
2;null;23.407.025;;;;;;
2;null;null;;;;;;
3;28;23.995.833;;;;;;
3;87;22.375;;;;;;
3;203,2;23.434.724;;;;;;
3;null;24.324.129;;;;;;
3;null;null;;;;;;
3;217,6;22.648.253;;;;;;
3;27,4;23.542.529;;;;;;
3;319;22.990.323;;;;;;
3;292,8;22.652.957;;;;;;
3;28;2.398.629;;;;;;
3;null;2.354.134;;;;;;
3;null;24.104.435;;;;;;
3;276;23.514.516;;;;;;
3;null;null;;;;;;
3;null;null;;;;;;
4;31;23.792.403;;;;;;
4;94,8;224.825;;;;;;
4;2,2;22.931.667;;;;;;
4;null;23.397.477;;;;;;
4;65,8;2.303.006;;;;;;
4;194,6;22.720.556;;;;;;
4;24;217.025;;;;;;
4;37,6;22.982.083;;;;;;
4;226,4;23.015.882;;;;;;
4;85;24.439.167;;;;;;
4;null;22.584.861;;;;;;
4;null;22.886.806;;;;;;
4;210;23.428.194;;;;;;
4;null;null;;;;;;
4;null;null;;;;;;
5;2,4;20.084.318;;;;;;
5;27,6;19.587.068;;;;;;
5;13,6;2.149.879;;;;;;
5;16,8;19.638.441;;;;;;
5;28,8;20.449.597;;;;;;
5;157,4;19.878.067;;;;;;
5;null;21.722.312;;;;;;
5;1,6;20.448.925;;;;;;
5;93,8;20.685.618;;;;;;
5;29,4;20.800.269;;;;;;
5;null;22.674.462;;;;;;
5;null;21.115.591;;;;;;
5;27,6;21.586.559;;;;;;
5;null;null;;;;;;
5;null;null;;;;;;
6;0;20.946.461;;;;;;
6;1;20.125.025;;;;;;
6;10;19.089.176;;;;;;
6;0,8;20.917.361;;;;;;
6;23,8;19.545;;;;;;
6;81,6;20.103.056;;;;;;
6;81,6;21.198.283;;;;;;
6;14;20.618.333;;;;;;
6;9,8;20.370.556;;;;;;
6;null;19.084.936;;;;;;
6;null;20.176.103;;;;;;
6;0;2.047.125;;;;;;
6;4,2;20.999.722;;;;;;
6;null;null;;;;;;
6;null;null;;;;;;
7;5,4;19.793.219;;;;;;
7;0;21.421.237;;;;;;
7;0,4;2.174.122;;;;;;
7;1,4;2.136.586;;;;;;
7;0;2.131.707;;;;;;
7;5,8;19.833.199;;;;;;
7;2,6;19.376.882;;;;;;
7;117,6;20.023.925;;;;;;
7;20,8;21.000.672;;;;;;
7;null;null;;;;;;
7;null;null;;;;;;
7;0;21.298.994;;;;;;
7;0,6;20.396.505;;;;;;
7;null;null;;;;;;
7;null;null;;;;;;
8;0;22.214.944;;;;;;
8;3;23.286.694;;;;;;
8;34,2;2.178.293;;;;;;
8;3,4;2.246.596;;;;;;
8;6,6;22.632.124;;;;;;
8;0;22.367.778;;;;;;
8;0,2;20.769.624;;;;;;
8;0;22.978.495;;;;;;
8;11;23.266.263;;;;;;
8;null;null;;;;;;
8;null;null;;;;;;
8;null;null;;;;;;
8;21,6;2.226.465;;;;;;
8;null;null;;;;;;
8;null;null;;;;;;
9;0;25.646.805;;;;;;
9;13,2;22.679.861;;;;;;
9;null;23.783.918;;;;;;
9;5,4;25.025.013;;;;;;
9;11;24.734.722;;;;;;
9;50,4;24.646.111;;;;;;
9;5;23.327.639;;;;;;
9;59,6;24.018.333;;;;;;
9;73,4;24.767.222;;;;;;
9;12,8;22.373.472;;;;;;
9;null;null;;;;;;
9;null;null;;;;;;
9;67,4;26.059.028;;;;;;
9;null;null;;;;;;
9;null;null;;;;;;
10;25,6;24.854.687;;;;;;
10;null;2.406.939;;;;;;
10;null;null;;;;;;
10;null;null;;;;;;
10;161;23.096.371;;;;;;
10;41,8;24.975.269;;;;;;
10;106,6;23.202.285;;;;;;
10;13,2;25.139.785;;;;;;
10;99,8;25.353.495;;;;;;
10;17,6;23.144.676;;;;;;
10;63,2;24.186.559;;;;;;
10;null;23.829.764;;;;;;
10;160,4;24.556.855;;;;;;
10;null;null;;;;;;
10;null;null;;;;;;
11;36,8;23.196.726;;;;;;
11;null;null;;;;;;
11;null;null;;;;;;
11;null;null;;;;;;
11;91;23.229.306;;;;;;
11;125,6;23.792.639;;;;;;
11;106;23.472.778;;;;;;
11;42,8;22.748.195;;;;;;
