time;prec;temp;;;;;;
1;213,8;27.715.726;;;;time;prec;temp
1;226,8;26.887.769;;;;Jan;161,88;27.757.575
1;71,6;28.100.278;;;;Fev;159,3777778;24.637.717
1;null;null;;;;Mar;111,0545455;23.115.353
1;231,6;27.320.699;;;;Abr;52,65454545;24.739.342
1;117,2;27.781.855;;;;Mai;73,8;22.289.300
1;192;28.649.462;;;;Jun;27,94;19.578.972
1;112;26.898.521;;;;Jul;10,06;21.080.230
1;30,8;29.109.093;;;;Ago;18,46666667;22.978.691
1;322,4;28.058.065;;;;Set;23,36363636;20.368.943
1;null;28.002.554;;;;Out;70,63333333;28514204,31
1;null;26.641.688;;;;Nov;120,1090909;23.955.894
1;null;null;;;;Dez;138,5818182;28.207.835
1;100,6;29.226.759;;;;;;
1;null;26.456.012;;;;;;
2;87,2+B2B17:B31;27.539.156;;;;;;
2;209,8;27.413.218;;;;;;
2;104;27.598.255;;;;;;
2;null;null;;;;;;
2;432,4;26.518.155;;;;;;
2;87,2;27.518.391;;;;;;
2;73,2;27.510.714;;;;;;
2;88,6;26.537.202;;;;;;
2;271;27.872.768;;;;;;
2;null;null;;;;;;
2;null;null;;;;;;
2;null;null;;;;;;
2;null;null;;;;;;
2;124,2;27.995.334;;;;;;
2;44;2.775.416;;;;;;
3;65,6;28.119.904;;;;;;
3;95,4;27.631.183;;;;;;
3;2,4;27.672.715;;;;;;
3;null;null;;;;;;
3;260,4;26.563.858;;;;;;
3;111,6;26.977.554;;;;;;
3;211,2;2.756.954;;;;;;
3;273;27.034.005;;;;;;
3;21;27.732.124;;;;;;
3;null;null;;;;;;
3;null;null;;;;;;
3;null;null;;;;;;
3;62,6;2.799.321;;;;;;
3;48,4;29.500.276;;;;;;
3;70;27.480.988;;;;;;
4;23,8;27.643.194;;;;;;
4;48,8;25.781.528;;;;;;
4;0,4;28.142.778;;;;;;
4;null;null;;;;;;
4;55,4;27.151.528;;;;;;
4;93;26.633.333;;;;;;
4;85,2;26.145.139;;;;;;
4;17,4;27.071.389;;;;;;
4;35,2;27.681.389;;;;;;
4;null;null;;;;;;
4;null;null;;;;;;
4;null;null;;;;;;
4;106,2;26.662.361;;;;;;
4;77,4;2.696.125;;;;;;
4;36,4;26.523.998;;;;;;
5;91;22.172.307;;;;;;
5;85,2;2.294.212;;;;;;
5;43,8;26.180.316;;;;;;
5;null;null;;;;;;
5;0,6;23.835.484;;;;;;
5;86,4;24.293.817;;;;;;
5;48;24.163.038;;;;;;
5;300,2;23.002.688;;;;;;
5;76,8;24.947.451;;;;;;
5;9,6;22.439.247;;;;;;
5;null;23.890.833;;;;;;
5;null;null;;;;;;
5;74,2;24.383.737;;;;;;
5;59,2;23.670.296;;;;;;
5;10,6;24.487.471;;;;;;
6;0;23.034.837;;;;;;
6;null;2.128.986;;;;;;
6;null;22.938.368;;;;;;
6;null;null;;;;;;
6;3,6;22.742.385;;;;;;
6;50;22.712.639;;;;;;
6;75,2;23.047.121;;;;;;
6;12,2;22.829.305;;;;;;
6;null;2.522.295;;;;;;
6;8,6;19.930.139;;;;;;
6;71;22.726.528;;;;;;
6;null;null;;;;;;
6;28;24.084.167;;;;;;
6;19,2;23.340.972;;;;;;
6;11,6;22.488.889;;;;;;
7;17;21.702.597;;;;;;
7;4,4;25.416.264;;;;;;
7;null;23.888.316;;;;;;
7;null;null;;;;;;
7;11,4;23.540.774;;;;;;
7;0,4;21.913.038;;;;;;
7;null;21.810.901;;;;;;
7;53,4;21.747.043;;;;;;
7;null;null;;;;;;
7;0,6;23.496.505;;;;;;
7;0,2;23.221.237;;;;;;
7;null;21.182.937;;;;;;
7;7,4;21.982.527;;;;;;
7;0,2;24.117.473;;;;;;
7;5,6;23.375;;;;;;
8;2,2;21.939.138;;;;;;
8;32,8;26.138.575;;;;;;
8;26;24.838.056;;;;;;
8;null;null;;;;;;
8;14;24.950.431;;;;;;
8;0;26.197.222;;;;;;
8;1,6;22.465.188;;;;;;
8;7,8;25.154.167;;;;;;
8;null;null;;;;;;
8;57,4;24.839.247;;;;;;
8;35,6;25.850.269;;;;;;
8;null;null;;;;;;
8;17;24.817.083;;;;;;
8;22,2;2.624.207;;;;;;
8;5;25.930.709;;;;;;
9;0,2;28.519.305;;;;;;
9;10,4;25.607.471;;;;;;
9;7,6;2.589.454;;;;;;
9;null;null;;;;;;
9;23,6;26.870.259;;;;;;
9;16,2;2.876.125;;;;;;
9;56;25.715.432;;;;;;
9;51,2;28.256.389;;;;;;
9;null;null;;;;;;
9;59,8;24.805.139;;;;;;
9;null;null;;;;;;
9;null;null;;;;;;
9;19,8;28.135;;;;;;
9;6,4;28.237.083;;;;;;
9;5,8;30.553.581;;;;;;
10;null;null;;;;;;
10;154;27.659.128;;;;;;
10;52,2;28.633.151;;;;;;
10;64,8;28.583.477;;;;;;
10;41,2;27.384.226;;;;;;
10;132;27.913.844;;;;;;
10;11,6;29.510.081;;;;;;
10;27,4;27.164.516;;;;;;
10;115,4;29.577.285;;;;;;
10;55,8;28.167.411;;;;;;
10;61;27.834.864;;;;;;
10;null;null;;;;;;
10;null;null;;;;;;
10;11,4;28.573.188;;;;;;
10;120,8;29.835.051;;;;;;
10;null;29.848.434;;;;;;
11;250,6;27.609.668;;;;;;
11;117;26.747.701;;;;;;
11;145;2.853.058;;;;;;
11;null;null;;;;;;
11;116;2.673.375;;;;;;
11;23,8;28.916.111;;;;;;
11;208,2;28.013.333;;;;;;
11;72,4;28.364.445;;;;;;
11;249;27.395.695;;;;;;
11;75,8;28.794.444;;;;;;
11;null;26.888.333;;;;;;
11;null;null;;;;;;
11;null;null;;;;;;
11;52;29.257.761;;;;;;
11;11,4;29.956.801;;;;;;
11;null;null;;;;;;
12;245;27.478.167;;;;;;
12;146,6;27.450.538;;;;;;
12;77,6;28.129.746;;;;;;
12;null;null;;;;;;
12;53,2;28.806.317;;;;;;
12;130,4;28.679.301;;;;;;
12;148;28.611.828;;;;;;
12;237,6;28.279.435;;;;;;
12;111,8;27.548.253;;;;;;
12;170,4;28.826.075;;;;;;
12;null;27.694.893;;;;;;
12;null;null;;;;;;
12;null;null;;;;;;
12;72,4;27.963.084;;;;;;
12;131,4;29.026.377;;;;;;
12;null;null;;;;;;
