time;prec;temp;;;;;;
1;320;25.369.489;;;;time;prec;temp
1;181;24.958.468;;;;Jan;180,72;22.971.290
1;118,6;24.468.528;;;;Fev;159,74;23.408.732
1;200;25.162.146;;;;Mar;98,84;21.338.945
1;137,6;25.075.941;;;;Abr;91,93333333;23.027.196
1;null;null;;;;Mai;71,97777778;18.745.436
1;95;25.153.226;;;;Jun;42,28;15589116
1;264,2;25.024.462;;;;Jul;42,84444444;15.615.841
1;87,8;25.730.242;;;;Ago;19,38;18.806.145
1;null;24,92;;;;Set;59,56666667;19.746.161
1;179,4;25.514.113;;;;Out;108,9272727;23.006.770
1;null;null;;;;Nov;133,94;21.125.984
1;223,6;26.227.554;;;;Dez;121,82;23.532.344
1;null;null;;;;;;
1;null;null;;;;;;
2;208,6;25.297.736;;;;;;
2;297,4;24.603.892;;;;;;
2;21,2;24.987.919;;;;;;
2;36,8;26.131.696;;;;;;
2;168,2;25.084.077;;;;;;
2;null;2.439.693;;;;;;
2;205,6;25.416.071;;;;;;
2;101,6;25.586.012;;;;;;
2;122,2;25.475.744;;;;;;
2;null;null;;;;;;
2;185;25.452.232;;;;;;
2;null;25.018.845;;;;;;
2;250,8;25.410.863;;;;;;
2;null;null;;;;;;
2;null;null;;;;;;
3;null;25.857.499;;;;;;
3;132;2.448.078;;;;;;
3;61;25.188.038;;;;;;
3;30,8;26.029.032;;;;;;
3;null;24.972.513;;;;;;
3;66,6;24.046.909;;;;;;
3;85,6;2.526.681;;;;;;
3;184;24.068.817;;;;;;
3;59,8;25.002.554;;;;;;
3;null;null;;;;;;
3;87;25.318.611;;;;;;
3;95;25.795.296;;;;;;
3;186,6;24.813.306;;;;;;
3;null;null;;;;;;
3;null;null;;;;;;
4;null;24.379.844;;;;;;
4;104,8;22.889.937;;;;;;
4;22,6;23.663.611;;;;;;
4;2;22.677.222;;;;;;
4;146,6;22.888.937;;;;;;
4;null;22.915.833;;;;;;
4;179,8;21.518.056;;;;;;
4;38;22.942.917;;;;;;
4;101;23.265.695;;;;;;
4;null;null;;;;;;
4;188,6;21.634.861;;;;;;
4;null;23.779.583;;;;;;
4;44;23.769.861;;;;;;
4;null;null;;;;;;
4;null;null;;;;;;
5;null;21.186.616;;;;;;
5;null;19.869.085;;;;;;
5;45,2;20.955.139;;;;;;
5;1,2;17.828.006;;;;;;
5;8,2;19.302.377;;;;;;
5;null;19.718.011;;;;;;
5;null;20.543.683;;;;;;
5;135,4;18.984.946;;;;;;
5;103;19.981.317;;;;;;
5;115,6;1.897.164;;;;;;
5;105,6;22.004.973;;;;;;
5;52,4;20.217.339;;;;;;
5;81,2;21.202.016;;;;;;
5;null;null;;;;;;
5;null;null;;;;;;
6;null;null;;;;;;
6;null;1.791.951;;;;;;
6;null;16.896.215;;;;;;
6;1;19.184.905;;;;;;
6;16,8;17.219.115;;;;;;
6;69;18.359.028;;;;;;
6;106,8;1.930.601;;;;;;
6;50;19.353.333;;;;;;
6;41,6;19.353.889;;;;;;
6;46;16.540.556;;;;;;
6;69,8;18.156.327;;;;;;
6;11,4;18.272.083;;;;;;
6;10,4;20.011.389;;;;;;
6;null;null;;;;;;
6;null;null;;;;;;
7;null;15.819.855;;;;;;
7;8;19.699.372;;;;;;
7;null;1.960.457;;;;;;
7;null;19.349.275;;;;;;
7;4,4;19.558.333;;;;;;
7;20,6;17.469.624;;;;;;
7;30,8;17.724.328;;;;;;
7;135,2;1.766.371;;;;;;
7;86,6;18.990.591;;;;;;
7;33,6;18.322.849;;;;;;
7;null;null;;;;;;
7;0;19.137.769;;;;;;
7;66,4;17.591.263;;;;;;
7;null;null;;;;;;
7;null;null;;;;;;
8;11,2;18.942.386;;;;;;
8;null;21.550.333;;;;;;
8;null;20.348.785;;;;;;
8;0;20.035.185;;;;;;
8;13,2;20.874.569;;;;;;
8;0,4;20.837.947;;;;;;
8;1,8;1.784.664;;;;;;
8;11,4;20.771.237;;;;;;
8;7,4;21.605.645;;;;;;
8;84,2;19.922.177;;;;;;
8;null;null;;;;;;
8;61,6;18.383.199;;;;;;
8;2,6;20.617.607;;;;;;
8;null;null;;;;;;
8;null;null;;;;;;
9;0,4;24.753.194;;;;;;
9;16,2;20.910.714;;;;;;
9;35,8;21.689.177;;;;;;
9;null;23.150.681;;;;;;
9;57;2.219.875;;;;;;
9;44,6;22.860.972;;;;;;
9;44,4;2.175.625;;;;;;
9;121,8;24.103.056;;;;;;
9;163,4;23.513.611;;;;;;
9;34;20.615.972;;;;;;
9;22;24.949.583;;;;;;
9;157,8;21.171.111;;;;;;
9;17,4;24.586.528;;;;;;
9;null;null;;;;;;
9;null;null;;;;;;
10;106;25.170.933;;;;;;
10;14,8;24.665.013;;;;;;
10;106;2.425.757;;;;;;
10;null;22.945.076;;;;;;
10;72;24.468.023;;;;;;
10;124,4;25.358.333;;;;;;
10;69,4;23.726.753;;;;;;
10;37,8;26.395.968;;;;;;
10;175,8;25.006.317;;;;;;
10;113,8;23.980.107;;;;;;
10;123,2;24.281.913;;;;;;
10;255;24.793.683;;;;;;
10;null;25.870.132;;;;;;
10;null;null;;;;;;
10;null;null;;;;;;
11;183,2;24.581.897;;;;;;
11;null;25.665.217;;;;;;
11;89;2.682.125;;;;;;
11;110,4;23.469.515;;;;;;
11;132,2;24.426.806;;;;;;
11;223;25.877.361;;;;;;
11;70,8;25.489.167;;;;;;
11;209,4;24.521.111;;;;;;
11;145;2.552.875;;;;;;
11;37,6;24.879.167;;;;;;
11;null;24.592.958;;;;;;
11;138,8;24.773.611;;;;;;
11;null;null;;;;;;
11;null;null;;;;;;
11;null;null;;;;;;
12;null;null;;;;;;
12;83,4;25.294.086;;;;;;
12;53,2;25.851.344;;;;;;
12;108,8;25.409.677;;;;;;
12;85,8;2.531.586;;;;;;
12;null;25.228.167;;;;;;
12;82;26.788.038;;;;;;
12;85,6;26.186.962;;;;;;
12;179,4;25.304.839;;;;;;
12;249,2;25.433.123;;;;;;
12;204,2;24.903.226;;;;;;
12;null;null;;;;;;
12;86,6;25.924.731;;;;;;
12;null;null;;;;;;
12;null;null;;;;;;
12;null;null;;;;;;
