time;prec;temp;;;;;
1;98,4;24.486.968;;;time;prec;temp
1;null;null;;;Jan;204,0823529;19.323.496
1;null;null;;;Fev;225,6266667;21.493.955
1;null;null;;;Mar;143,0375;21296648,79
1;206;2.446.035;;;Abr;117,7692308;21.036.164
1;426,2;24.351.122;;;Mai;174,3076923;17.500.482
1;305,2;23.716.936;;;Jun;84,06153846;16.779.306
1;202;2.329.859;;;Jul;62,22666667;14.751.533
1;270,2;2.402.412;;;Ago;53,54666667;15.470.564
1;206,8;24.476.747;;;Set;86,98666667;17.184.817
1;88,6;24.861.394;;;Out;157,2266667;22.145.450
1;106,4;24.765.995;;;Nov;196,1;23.687.933
1;196,2;24.131.183;;;Dez;190,76;22.304.234
1;264,2;24.893.437;;;;;
1;189;24.679.704;;;;;
1;147,8;24.666.129;;;;;
1;273,4;24.248.253;;;;;
1;172,4;25.876.344;;;;;
1;204,8;2.507.379;;;;;
1;111,8;23.659.543;;;;;
2;240,2;22.888.464;;;;;
2;null;null;;;;;
2;null;null;;;;;
2;null;null;;;;;
2;null;24.121.022;;;;;
2;408;23.924.459;;;;;
2;439,8;23.487.069;;;;;
2;155,2;24.280.925;;;;;
2;229,2;24.854.464;;;;;
2;161,4;23.664.286;;;;;
2;null;24.827.687;;;;;
2;126,6;2.462.753;;;;;
2;202;24.587.054;;;;;
2;183,4;24.497.768;;;;;
2;384,2;24,65;;;;;
2;194,4;24.812.054;;;;;
2;232,6;23.663.244;;;;;
2;246;24.281.845;;;;;
2;150,4;24.718.965;;;;;
2;31;24.325.149;;;;;
3;68,2;25,45;;;;;
3;null;null;;;;;
3;null;null;;;;;
3;null;null;;;;;
3;205,4;24.271.806;;;;;
3;92,6;24.541.071;;;;;
3;41,2;23.610.349;;;;;
3;90,8;24.460.484;;;;;
3;167,2;2.464.207;;;;;
3;73,4;23.034.781;;;;;
3;80,4;23.990.067;;;;;
3;160,6;23.882.471;;;;;
3;203,6;23.189.382;;;;;
3;137,8;23.760.753;;;;;
3;149,2;23.086.962;;;;;
3;216,6;24.079.435;;;;;
3;191;24.293.145;;;;;
3;312,2;23.767.473;;;;;
3;98,4;25.352.957;;;;;
3;null;24.257.661;;;;;
4;41,8;24.771.131;;;;;
4;null;null;;;;;
4;null;null;;;;;
4;null;null;;;;;
4;null;22.055.553;;;;;
4;121,8;22.411.932;;;;;
