time;prec;temp;;;;;;
1;265,8;23.599.147;;;;;;
1;null;null;;;;time;prec;temp
1;null;23.449.114;;;;Jan;191,6333333;23.888.370
1;null;24.166.259;;;;Fev;191,24;21.986.740
1;null;23.551.344;;;;Mar;99,57142857;22.297.335
1;null;23.277.285;;;;Abr;86,73333333;19.298.218
1;185,2;24.114.247;;;;Mai;56,96;17.168.129
1;null;23.336.089;;;;Jun;45,73333333;19.970.111
1;null;null;;;;Jul;28;18.845.361
1;200,6;24.074.597;;;;Ago;22,08;20.671.746
1;194,2;23.654.475;;;;Set;43,54;24.818.273
1;32,6;23.681.897;;;;Out;124,625;18604276,36
1;271,4;24.798.522;;;;Nov;112,3428571;20584115,17
1;null;24.729.167;;;;Dez;102,58;20406730,33
1;null;24.116.667;;;;;;
2;248,6;2.361.437;;;;;;
2;null;null;;;;;;
2;null;23.925.895;;;;;;
2;null;24.514.457;;;;;;
2;null;23.510.417;;;;;;
2;null;23.785.058;;;;;;
2;354,8;23.391.815;;;;;;
2;null;null;;;;;;
2;null;null;;;;;;
2;null;24.444.048;;;;;;
2;29,4;23.993.601;;;;;;
2;null;23.243.849;;;;;;
2;291;24.360.714;;;;;;
2;32,4;24.322.845;;;;;;
2;null;null;;;;;;
3;102,4;24.397.639;;;;;;
3;null;null;;;;;;
3;null;24.184.272;;;;;;
3;null;25.037.295;;;;;;
3;null;23.025.531;;;;;;
3;90,4;23.193.145;;;;;;
3;211;2.399.181;;;;;;
3;null;23.368.056;;;;;;
3;null;null;;;;;;
3;null;24.269.732;;;;;;
3;23,6;24.196.121;;;;;;
3;60,6;24.354.032;;;;;;
3;175,6;24.268.952;;;;;;
3;33,4;24.874.059;;;;;;
3;null;null;;;;;;
4;112;23.860.555;;;;;;
4;null;null;;;;;;
4;null;24.024.256;;;;;;
4;null;null;;;;;;
4;59,2;23.074.306;;;;;;
4;89,6;23.084.583;;;;;;
4;93,8;2.180.875;;;;;;
4;null;23.386.554;;;;;;
4;null;null;;;;;;
4;null;23.933.333;;;;;;
4;null;21.954.167;;;;;;
4;45,6;235.175;;;;;;
4;120,2;23.668.472;;;;;;
4;null;22.878.125;;;;;;
4;null;null;;;;;;
5;45,8;20.042.023;;;;;;
5;null;null;;;;;;
5;null;null;;;;;;
5;null;null;;;;;;
5;3;20.181.317;;;;;;
5;126,2;19.915.591;;;;;;
5;41,4;21.353.033;;;;;;
5;44,6;19.730.278;;;;;;
5;138;2.096.922;;;;;;
5;64,6;20.685.618;;;;;;
5;46,6;22.633.871;;;;;;
5;25,6;21.188.844;;;;;;
5;33,8;2.152.836;;;;;;
5;null;18.869.086;;;;;;
5;null;null;;;;;;
6;3;20.079.704;;;;;;
6;null;20.161.836;;;;;;
6;null;19.180.649;;;;;;
6;null;null;;;;;;
6;51;19.320.139;;;;;;
6;101,6;19.456.142;;;;;;
6;105,4;20.431.869;;;;;;
6;61,2;20.191.092;;;;;;
6;7,4;20.349.167;;;;;;
6;60,8;18.900.139;;;;;;
