time;prec;temp;;;;;;
1;229,6;26.627.149;;;;;;
1;323,8;26.387.284;;;;time;prec;temp
1;null;null;;;;Jan;259,1875;26.722.075
1;391,8;25.917.473;;;;Fev;130,9142857;26.981.834
1;208,2;27.108.333;;;;Mar;133,825;25.498.555
1;480,2;25.839.919;;;;Abr;65,66666667;22.541.108
1;162,4;25.807.796;;;;Mai;65,16666667;22.443.479
1;365;25.684.753;;;;Jun;44,50769231;17.337.309
1;null;null;;;;Jul;32,50909091;20.926.466
1;328,6;26.491.129;;;;Ago;17,82222222;19.223.639
1;214,6;25.946.774;;;;Set;54,16363636;23.522.368
1;164,8;26.899.153;;;;Out;95,55384615;19.196.997
1;97,8;27.505.029;;;;Nov;152,9285714;24.790.768
1;134,4;28.912.769;;;;Dez;160,6266667;24.247.645
1;278,8;27.146.505;;;;;;
1;288,6;26.218.145;;;;;;
1;326,8;26.435.753;;;;;;
1;151,6;28.839.247;;;;;;
1;null;null;;;;;;
1;null;26.508.065;;;;;;
2;304;25.972.403;;;;;;
2;null;27.264.381;;;;;;
2;null;null;;;;;;
2;1,4;27.972.024;;;;;;
2;null;26.216.591;;;;;;
2;100,6;26.782.246;;;;;;
2;30,8;25.897.414;;;;;;
2;118,4;26.708.951;;;;;;
2;null;null;;;;;;
2;81,4;26.535.714;;;;;;
2;115,6;27.893.966;;;;;;
2;241,2;26.305.804;;;;;;
2;61;27.964.286;;;;;;
2;190;26.832.143;;;;;;
2;139,6;27.574.713;;;;;;
2;172,8;27.987.054;;;;;;
2;72,6;26.233.482;;;;;;
2;203,4;27.557.738;;;;;;
2;null;null;;;;;;
2;null;26.992.262;;;;;;
3;41,2;28.017.386;;;;;;
3;122,2;26.363.837;;;;;;
3;null;null;;;;;;
3;29,4;27.911.828;;;;;;
3;155;26.855.966;;;;;;
3;68,8;27.625.417;;;;;;
3;95,4;25.444.892;;;;;;
3;211;26.913.978;;;;;;
3;null;null;;;;;;
3;393,2;2.520.482;;;;;;
